effective_key,management_row,owner,safe_until_jst,remaining_display,state,response_slot,source_file,captured_at_jst,notes,applied_columns
#509:K-3,1105,OWM,2026/06/03 15:00,2d 02:06:58,保護中,15:00-16:00,IMG_1527.PNG,2026/06/01 12:53:02,,"D:I,L; E preserved from current management table value"
#509:J-3,1094,OWM,2026/06/03 23:00,2d 10:06:48,保護中,23:00-24:00,IMG_1528.PNG,2026/06/01 12:53:13,,"D:I,L; E preserved from current management table value"
#503:I-3,866,xjR,2026/06/03 23:00,2d 10:06:40,保護中,23:00-24:00,IMG_1529.PNG,2026/06/01 12:53:20,adopted image_area_ocr #503; original specified_area was #509,"D:I,L; E preserved from current management table value"
#509:H-3,1069,KOCH,2026/06/03 15:00,2d 02:06:30,保護中,15:00-16:00,IMG_1530.PNG,2026/06/01 12:53:31,,"D:I,L; E preserved from current management table value"
#509:G-3,1055,ext,2026/06/03 15:00,2d 02:06:21,保護中,15:00-16:00,IMG_1531.PNG,2026/06/01 12:53:39,,"D:I,L; E preserved from current management table value"
#509:F-3,937,BHE,2026/06/03 15:00,2d 02:06:13,保護中,15:00-16:00,IMG_1532.PNG,2026/06/01 12:53:47,,"D:I,L; E preserved from current management table value"
#509:E-3,917,twD,2026/06/03 23:00,2d 10:06:07,保護中,23:00-24:00,IMG_1533.PNG,2026/06/01 12:53:53,,"D:I,L; E preserved from current management table value"
#509:D-3,953,twD,2026/06/03 23:00,2d 10:06:01,保護中,23:00-24:00,IMG_1534.PNG,2026/06/01 12:54:00,,"D:I,L; E preserved from current management table value"
#534:C-3,1613,SHA,2026/06/04 07:00,2d 18:05:52,保護中,07:00-08:00,IMG_1535.PNG,2026/06/01 12:54:08,adopted image_area_ocr #534; original specified_area was #509,"D:I,L; E preserved from current management table value"
#534:B-3,1572,4tH,2026/06/04 07:00,2d 18:05:43,保護中,07:00-08:00,IMG_1536.PNG,2026/06/01 12:54:18,adopted image_area_ocr #534; original specified_area was #509,"D:I,L; E preserved from current management table value"
#534:A-3,1564,SHA,2026/06/04 07:00,2d 18:05:34,保護中,07:00-08:00,IMG_1537.PNG,2026/06/01 12:54:26,adopted image_area_ocr #534; original specified_area was #509,"D:I,L; E preserved from current management table value"
#534:K-1,1761,Dao,2026/06/03 23:00,2d 10:05:20,保護中,23:00-24:00,IMG_1538.PNG,2026/06/01 12:54:40,adopted image_area_ocr #534; original specified_area was #509,"D:I,L; E preserved from current management table value"
