source_video,observer,player,kill_count,zombie_level,confidence,note
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,torsoboy00,11,130,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,GOLDEN FREEZA,4,110,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,LA 49,4,135,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,LA 49,1,125,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,LA 49,2,135,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,LA 49,5,135,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,LA 49,20,120,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,CHIKO,9,140,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,CHIKO,3,115,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,LA 49,6,145,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,1,135,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,4,140,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,LA 49,2,120,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,2,115,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,16,135,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,LA 49,18,135,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,7,135,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,6,135,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,6,120,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,9,115,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,15,115,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,LA 49,11,135,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,8,125,medium,partially clipped but count and level readable
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,13,115,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,ノンタン,3,115,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,LA 49,5,120,medium,small row visible in contact sheet
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,21,115,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,1,115,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,1,135,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,9,120,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,4,115,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,5,135,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,6,130,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,21,120,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,LA 49,6,115,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,4,120,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,CHIKO,8,150,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,7,115,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,7,120,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,6,115,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,2,115,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,5,130,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,naphtha PhD,14,135,high,visible red event row
ScreenRecording_06-05-2026 01-04-02_1.MP4,manual_contact_sheet,GinjiroR,16,120,high,visible red event row
