reason,target_server,x,y,sheet_row,existing_at,event_time,existing_owner,owner_for_sheet,image,source_text,kind_sheet,existing_type,event_type
existing_newer,#509,449,49,989,2026/05/28 0:52,2026/05/27 00:52:11,破壊,破壊,IMG_1290.PNG,"#476[ALjが#509領有中のLV.1都市#509(449,49)を攻 撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:52:11",,,
existing_newer,#509,649,49,993,2026/05/28 3:04,2026/05/27 03:04:40,破壊,破壊,IMG_1290.PNG,"#476[476K]が#509領有中のLV.1都市#509(649,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 03:04:40",,,
existing_newer,#509,549,49,991,2026/05/28 3:09,2026/05/27 03:09:40,破壊,破壊,IMG_1290.PNG,"#476[476k]が#509領有中のLV.1都市#509(549,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 03:09:40",,,
existing_newer,#511,149,249,1250,2026/05/28 10:36,2026/05/27 10:36:13,破壊,破壊,IMG_1290.PNG,"#523[50Uが#511領有中のLV.1都市#511(149,249)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 10:36:13",,,
existing_newer,#480,349,149,567,2026/05/28 12:01,2026/05/27 12:01:52,破壊,破壊,IMG_1291.PNG,"#440[GoDs]が#480[BgNa]領有中のLV.1都市 #480(349,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 2026-5-27 12:01:52",,,
existing_newer,#509,749,549,1039,2026/05/28 12:01,2026/05/27 12:01:56,破壊,破壊,IMG_1291.PNG,"#503[GX99]が#509[FHX]領有中のLV.2都市 #509(749,549)を攻撃し、陣宮のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:01:56",,,
existing_newer,#511,549,749,1296,2026/05/28 12:03,2026/05/27 12:03:31,破壊,破壊,IMG_1291.PNG,"#476[476X]が#511[DaNG]領有中のLV.2都市 #511(549,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:03:31",,,
existing_newer,#511,649,749,1191,2026/05/28 12:06,2026/05/27 12:06:12,破壊,破壊,IMG_1291.PNG,"#476[476X]が#511[DaNG]領有中のLV.2都市 #511(649,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:06:12",,,
existing_newer,#511,849,649,1289,2026/05/28 12:07,2026/05/27 12:07:38,破壊,破壊,IMG_1292.PNG,"#480[BgNa]が#511領有中のLV.1都市#511(849,649)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2025-5-27 12:07:38",,,
existing_newer,#511,149,149,1237,2026/05/28 12:07,2026/05/27 12:07:41,破壊,破壊,IMG_1292.PNG,"#523[K4TRが#511[2N7]領有中のLV.1都市#511(149,149)を 攻撃し、陣営のために破壊宝箱x2を勝ち取りました 2026-5-27 12:07:41",,,
existing_newer,#534,449,249,1638,2026/05/28 12:11,2026/05/27 12:11:39,破壊,破壊,IMG_1292.PNG,"#476[476c]が#534[SHA]領有中のLV.2都市 #534(449,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2025-5-27 12:11:39",,,
existing_newer,#534,349,249,1647,2026/05/28 12:13,2026/05/27 12:13:53,破壊,破壊,IMG_1292.PNG,"#476[476c]が#534[5HA]領有中のLV.2都市 #534(349,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:13:53",,,
row_not_found,#511,249,49,,,2026/05/27 12:14:39,,破壊,IMG_1293.PNG,"#523[u30]が#511領有中のLV.1都市#511(249,49)を攻 撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 12:14:39",都市,,
existing_newer,#509,849,749,1066,2026/05/28 12:17,2026/05/27 12:17:15,破壊,破壊,IMG_1293.PNG,"#503[5tj]が#509[MOn]領有中のLV.1都市#509(849,749)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 12:17:15",,,
existing_newer,#480,749,249,573,2026/05/28 12:17,2026/05/27 12:17:50,破壊,破壊,IMG_1293.PNG,"#509[5s0]が#480[CDf8]領有中のLV.2都市 #480(749,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:17:50",,,
existing_newer,#511,349,149,1239,2026/05/28 12:19,2026/05/27 12:19:24,破壊,破壊,IMG_1293.PNG,"#523[K4TRが#511領有中のLV.1都市#511(349,149)を 攻撃し、陣営のために破壊宝箱＊を勝ち取りました 2026-5-27 12:19:24",,,
existing_newer,#511,149,449,1271,2026/05/28 12:19,2026/05/27 12:19:34,破壊,破壊,IMG_1293.PNG,"#523[EDFS]が#511領有中のLV.1都市#511(149,449)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 12:19:34",,,
existing_newer,#509,849,249,1013,2026/05/28 12:19,2026/05/27 12:19:52,破壊,破壊,IMG_1294.PNG,"#480[RCON]が#509[5s0]領有中のLV.1都市 #509(849,249)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 2026-5-27 12:19:52",,,
existing_newer,#480,649,249,572,2026/05/28 12:20,2026/05/27 12:20:01,破壊,破壊,IMG_1294.PNG,"#509[5s0]が#480[CDf8]領有中のLv.2都市 #480(649,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:20:01",,,
existing_newer,#511,249,149,1238,2026/05/28 12:14,2026/05/27 12:23:26,破壊,破壊,IMG_1295.PNG,"#523[u30]が#511領有中のLV.1都市#511(249,149)を攻 撃し、陣営のために破壊宝箱x2を勝ち取りました 2026-5-27 12:23:26",,,
existing_newer,#511,649,449,1185,2026/05/28 12:25,2026/05/27 12:25:14,破壊,破壊,IMG_1295.PNG,"#480[BgNa]が#511[SVa]領有中のLV.3都市 #511(649,449)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました 2026-5-27 12:25:14",,,
existing_newer,#511,849,949,1320,2026/05/28 12:28,2026/05/27 12:28:41,破壊,破壊,IMG_1295.PNG,"#480[AAOA]が#511領有中のLV.1都市#511(849,949)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 12:28:41",,,
