reason,target_server,x,y,sheet_row,existing_at,event_time,existing_owner,owner_for_sheet,image,source_text,kind_sheet,existing_type,event_type
existing_newer,#480,978,799,509,2026/05/22 0:18,2026/05/21 23:50:00,Digg,Digg,IMG_0552.PNG,"連盟DiggがLv.1漁場#480(X:978,Y:799)を 占領",,,
existing_newer,#509,799,299,956,2026/05/30 15:29,2026/05/22 15:19:00,RCON,OWM,IMG_0575.PNG,"連盟OWMがLv.2漁場 #509(X:799,Y:299) C 占領",,,
existing_newer,#440,20,399,61,2026/05/31 15:14,2026/05/22 16:39:00,476X,IMP,IMG_0576.PNG,"連盟IMpがLv.1漁場 #440(X:20,Y:399) を占 領",,,
existing_newer,#440,99,499,60,2026/05/30 23:41,2026/05/22 16:44:00,476X,TrX,IMG_0577.PNG,"連盟TrXがLv.1漁場#440(X:99,Y:499)を占領",,,
existing_newer,#8061,74,74,1986,2026/05/22 18:09,2026/05/22 17:48:00,fIrE,fIrE,IMG_0578.PNG,"連盟fIrEがLv.6漁場#8061(X:74,Y:74)を占領",,,
existing_newer,#8061,74,174,1984,2026/05/22 18:26,2026/05/22 18:18:00,fIrE,fIrE,IMG_0578.PNG,"連盟fIrEがLv.6漁場#8061(X:74,Y:174)を占 領",,,
existing_newer,#440,20,299,59,2026/06/03 23:41,2026/05/22 18:36:00,476M,TrX,IMG_0579.PNG,"連盟TrXがLv.1漁場#440(X:20,Y:299)を占領",,,
existing_newer,#8061,124,124,1982,2026/06/05 3:58,2026/05/22 19:08:00,EDFS,NBNH,IMG_0580.PNG,"連盟NBNHがLv.7漁場 #8061(X:124,Y:124) を占領",,,
low_confidence_owner_no_letter,#503,699,299,717,,2026/05/22 20:46:00,299,299,IMG_0581.PNG,"連盟299がLv.3漁場 #503(X:699,Y:299) を占 領",,,
existing_newer,#480,199,978,508,2026/05/29 21:23,2026/05/22 20:46:00,Lghs,GX99,IMG_0581.PNG,"連盟GX99がLv.1漁場 #480(X:199,Y:978) 占領",,,
existing_newer,#480,299,978,507,2026/06/03 23:49,2026/05/22 20:46:00,JDX,GX99,IMG_0582.PNG,"連盟GX99がLv.1漁場 #480(X:299,Y:978) 占領",,,
