sheet_row,position_key,target_server,x,y,previous_type,previous_owner,previous_acquired_at,new_type,new_owner,new_acquired_at,image,action,time_source,source_text
718,#503:J-9,#503,399,899,漁場,FarM,2026/05/22 14:10,漁場,FarM,2026/05/22 14:10,IMG_0574.PNG,first_occupy,visible_time,"連盟FarMがLv.1漁場 #503(X:399,Y:899) を 占領"
1989,中央:中央-17-3,#8061,124,174,漁場,476X,2026/05/22 15:10,漁場,476X,2026/05/22 15:10,IMG_0575.PNG,occupy,visible_time,"連盟476XがLv.7漁場 #8061(X:124,Y:174) を 占領"
955,#509:D-3,#509,99,299,漁場,tWD,2026/05/22 15:35,漁場,tWD,2026/05/22 15:35,IMG_0575.PNG,occupy,visible_time,"連盟tWDがLv.1漁場 #509(X:99,Y:299) を占 領"
1988,中央:中央-16-3,#8061,124,224,漁場,476M,2026/05/22 15:35,漁場,476M,2026/05/22 15:35,IMG_0575.PNG,occupy,visible_time,"連盟476MがLv.7漁場 #8061(X:124,Y:224) を占領"
62,#440:C-13,#440,599,199,漁場,DOLU,2026/05/22 16:20,漁場,DOLU,2026/05/22 16:20,IMG_0576.PNG,occupy,visible_time,"連盟DOLUがLv.2漁場 #440(X:599,Y:199) h 占領"
1987,中央:中央-19-5,#8061,224,74,漁場,476M,2026/05/22 17:46,漁場,476M,2026/05/22 17:46,IMG_0577.PNG,occupy,visible_time,"連盟476MがLv.6漁場 #8061(X:224,Y:74) を 占領"
1985,中央:中央-18-2,#8061,74,124,漁場,WUG,2026/05/22 18:18,漁場,WUG,2026/05/22 18:18,IMG_0578.PNG,occupy,visible_time,"連盟WUGがLV.6漁場 #8061(X:74,Y:124) 东 占領"
1983,中央:中央-16-2,#8061,74,224,漁場,WUG,2026/05/22 18:36,漁場,WUG,2026/05/22 18:36,IMG_0579.PNG,occupy,visible_time,"連盟WUGがLv.6漁場 #8061(X:74,Y:224) 东 占領"
270,#476:D-15,#476,699,299,漁場,R6q,2026/05/22 18:36,漁場,R6q,2026/05/22 18:36,IMG_0579.PNG,occupy,visible_time,"連盟R6qがLv.3漁場#476(X:699,Y:299)を占 領"
269,#476:C-17,#476,799,199,漁場,R6q,2026/05/22 19:08,漁場,R6q,2026/05/22 19:08,IMG_0580.PNG,occupy,visible_time,"連盟R6qがLv.2漁場 #476(X:799,Y:199) を占 領"
1173,#511:F-15,#511,699,499,漁場,sbM,2026/05/22 20:18,漁場,sbM,2026/05/22 20:18,IMG_0581.PNG,occupy,visible_time,"連盟sbMがLv.3漁場 #511(X:699,Y:499) を占 領"
1593,#534:G-15,#534,699,599,漁場,KTVS,2026/05/22 20:40,漁場,KTVS,2026/05/22 20:40,IMG_0581.PNG,occupy,visible_time,"連盟KTVSがLv.3漁場 #534(X:699,Y:599) 东 占領"
1592,#534:K-11,#534,499,978,漁場,f4j,2026/05/22 20:46,漁場,f4j,2026/05/22 20:46,IMG_0582.PNG,occupy,visible_time,"連盟f4jがLv.1漁場 #534(X:499,Y:978) を占 領"
954,#509:E-13,#509,599,399,漁場,FHX,2026/05/22 21:12,漁場,FHX,2026/05/22 21:12,IMG_0583.PNG,occupy,visible_time,"連盟FHXがLV.4漁場 #509(X:599,Y:399) )を占 領"
1172,#511:G-15,#511,699,599,漁場,sbM,2026/05/22 21:12,漁場,sbM,2026/05/22 21:12,IMG_0583.PNG,occupy,visible_time,"連盟sbMがLv.3漁場 #511(X:699,Y:599) を占 領"
58,#440:E-11,#440,499,399,漁場,GoDs,2026/05/22 21:44,漁場,GoDs,2026/05/22 21:44,IMG_0584.PNG,occupy,visible_time,"連盟GoDsがLv.4漁場 #440(X:499,Y:399) 占領"
1980,中央:中央-3-3,#8061,124,874,漁場,476C,2026/05/22 22:26,漁場,476C,2026/05/22 22:26,IMG_0585.PNG,occupy,visible_time,"連盟476CがLv.7漁場 #8061(X:124,Y:874) を 占領"
