issue,key,management_row,type,owner,expected,full_map,map_row,map_column,memo
owned_key_not_in_template,中央:中央-1-1,2085,漁場,476A,476A,,,,画像1: #8061 X:24 Y:974 Lv5
owned_key_not_in_template,中央:中央-1-10,2056,漁場,VEX,VEX,,,,画像10: #8061 X:474 Y:974 Lv5
owned_key_not_in_template,中央:中央-1-11,2055,漁場,VEX,VEX,,,,画像10: #8061 X:524 Y:974 Lv5
owned_key_not_in_template,中央:中央-1-12,2041,漁場,VEX,VEX,,,,OCR IMG_0446.PNG / #8061 X:574 Y:974 Lv.5 / 中立/未登録→VEX
owned_key_not_in_template,中央:中央-1-13,2031,漁場,KTVS,KTVS,,,,"OCR IMG_0525.PNG / #8061 X:624 Y:974 Lv.5 / 中立/未登録 -> KTVS
重複整理 2026/05/23: 旧行140(MOn / 2026/05/20 04:10)を最新行422(KTVS / 2026/05/21 11:07)へ統合"
owned_key_not_in_template,中央:中央-1-14,2028,漁場,4tH,4tH,,,,OCR IMG_0526.PNG / #8061 X:674 Y:974 Lv.5 / 中立/未登録 -> 4tH
owned_key_not_in_template,中央:中央-1-15,2026,漁場,AoW,AoW,,,,Dropbox red OCR IMG_1922.PNG / #8061 X:724 Y:974 Lv.5 漁場 / OCR+Paddle checked
owned_key_not_in_template,中央:中央-1-16,2004,漁場,TkTk,TkTk,,,,手入力ログ 2026/05/27 23:46 / #8061 X:774 Y:974 Lv.5 漁場 / BHE -> TkTk / 奪取
owned_key_not_in_template,中央:中央-1-17,1954,漁場,Lghs,Lghs,,,,赤字OCR IMG_0872.PNG / #8061 X:824 Y:974 Lv.5 / MOn -> Lghs
owned_key_not_in_template,中央:中央-1-18,1974,漁場,JDX,JDX,,,,Dropbox赤字OCR IMG_1272.PNG / #8061 X:874 Y:974 Lv.5 漁場 / MOn -> JDX / 画像内時刻で補正（23:51->23:46） / 奪取
owned_key_not_in_template,中央:中央-1-19,1957,漁場,one,one,,,,"赤字OCR IMG_0753.PNG / #8061 X:924 Y:974 Lv.5 / FHX -> FHX
2026/05/28 02:40 サイドバー: 所有変更 FHX -> one"
owned_key_not_in_template,中央:中央-1-2,2082,漁場,476B,476B,,,,画像2/14: #8061 X:74 Y:974 Lv5
owned_key_not_in_template,中央:中央-1-20,2083,漁場,Lghs,Lghs,,,,画像2/11: #8061 X:974 Y:974 Lv5
owned_key_not_in_template,中央:中央-1-3,2078,漁場,476d,476d,,,,追加画像4: #8061 X:124 Y:974 Lv5
owned_key_not_in_template,中央:中央-1-4,2008,漁場,476C,476C,,,,"OCR IMG_0548.PNG / #8061 X:174 Y:974 Lv.5 / 中立/放棄 -> 476C
重複整理 2026/05/23: 旧行145(KTVS / 放棄 2026/05/20 11:00)を最新行448(476C / 2026/05/21 23:04)へ統合"
owned_key_not_in_template,中央:中央-1-5,2079,漁場,VEX,VEX,,,,画像5/16: #8061 X:224 Y:974 Lv5
owned_key_not_in_template,中央:中央-1-6,2066,漁場,KOCH,KOCH,,,,Dropbox red OCR IMG_1915.PNG / #8061 X:274 Y:974 Lv.5 漁場 / OCR+Paddle checked
owned_key_not_in_template,中央:中央-1-7,2005,漁場,KOCH,KOCH,,,,Dropbox red OCR IMG_1923.PNG / #8061 X:324 Y:974 Lv.5 漁場 / OCR+Paddle checked
owned_key_not_in_template,中央:中央-1-8,2057,漁場,476Z,476Z,,,,画像9: #8061 X:374 Y:974 Lv5
owned_key_not_in_template,中央:中央-1-9,2052,漁場,476A,476A,,,,画像13: #8061 X:424 Y:974 Lv5
owned_key_not_in_template,中央:中央-10-15,1820,祭壇,GX99,GX99,,,,グレー吹き出しOCR IMG_1136.PNG / #8061 X:724 Y:524 Lv.2 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-10-16,1821,祭壇,Lghs,Lghs,,,,グレー吹き出しOCR IMG_1127.PNG / #8061 X:774 Y:524 Lv.2 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-10-17,1822,祭壇,COZy,COZy,,,,グレー吹き出しOCR IMG_1137.PNG / #8061 X:824 Y:524 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-10-18,2016,漁場,GcC,GcC,,,,OCR IMG_0537.PNG / #8061 X:874 Y:524 Lv.7 / 中立/未登録 -> GcC
owned_key_not_in_template,中央:中央-10-19,2014,漁場,GoDs,GoDs,,,,OCR IMG_0538.PNG / #8061 X:924 Y:524 Lv.6 / 中立/未登録 -> GoDs
owned_key_not_in_template,中央:中央-10-20,2000,漁場,AAOA,AAOA,,,,OCR IMG_0563.PNG / #8061 X:974 Y:524 Lv.5 / 中立/未登録 -> AAOA
owned_key_not_in_template,中央:中央-10-3,1914,漁場,WUG,WUG,,,,RAW_OCR_LOG row19 / #8061 X:124 Y:524 Lv.7 漁場 / 中立/未登録 -> WUG / 画像:89BF5F89
owned_key_not_in_template,中央:中央-10-4,1823,祭壇,476T,476T,,,,グレー吹き出しOCR IMG_1135.PNG / #8061 X:174 Y:524 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-10-5,1824,祭壇,476T,476T,,,,グレー吹き出しOCR IMG_1139.PNG / #8061 X:224 Y:524 Lv.2 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-10-6,1808,祭壇,476T,476T,,,,グレー吹き出しOCR IMG_1142.PNG / #8061 X:274 Y:524 Lv.2 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-11-15,1776,祭壇,AAOA,AAOA,,,,RAW_OCR_LOG row56 / #8061 X:724 Y:474 Lv.2 こだまの祭壇 / 中立/未登録 -> AAOA / 画像:D1EB3C7D
owned_key_not_in_template,中央:中央-11-16,1825,祭壇,TkTk,TkTk,,,,RAW_OCR_LOG row49 / #8061 X:774 Y:474 Lv.2 こだまの祭壇 / 中立/未登録 -> TkTk / 画像:BBE70268
owned_key_not_in_template,中央:中央-11-17,1777,祭壇,WbW,WbW,,,,RAW_OCR_LOG row54 / #8061 X:824 Y:474 Lv.1 どくろの祭壇 / 中立/未登録 -> WbW / 画像:D1EB3C7D
owned_key_not_in_template,中央:中央-11-18,2017,漁場,BAJ,BAJ,,,,OCR IMG_0536.PNG / #8061 X:874 Y:474 Lv.7 / 中立/未登録 -> BAJ / BAj→BAJ
owned_key_not_in_template,中央:中央-11-19,1999,漁場,AAOA,AAOA,,,,OCR IMG_0564.PNG / #8061 X:924 Y:474 Lv.6 / 中立/未登録 -> AAOA
owned_key_not_in_template,中央:中央-11-2,1915,漁場,fIrE,fIrE,,,,RAW_OCR_LOG row16 / #8061 X:74 Y:474 Lv.6 漁場 / 中立/未登録 -> fIrE / 画像:9C4193FD
owned_key_not_in_template,中央:中央-11-20,2012,漁場,PmP,PmP,,,,OCR IMG_0543.PNG / #8061 X:974 Y:474 Lv.5 / 中立/未登録 -> PmP
owned_key_not_in_template,中央:中央-11-4,1826,祭壇,SHA0,SHA0,,,,グレー吹き出しOCR IMG_1137.PNG / #8061 X:174 Y:474 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-11-5,1809,祭壇,MOE,MOE,,,,グレー吹き出しOCR IMG_1141.PNG / #8061 X:224 Y:474 Lv.2 祭壇 / 画像内表示
owned_key_not_in_template,中央:中央-11-6,1827,祭壇,2N7,2N7,,,,グレー吹き出しOCR IMG_1131.PNG / #8061 X:274 Y:474 Lv.2 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-12-1,2107,漁場,476X,476X,,,,動画OCR 20260529_214926_trim15 crop_0179.png / #8061 X:24 Y:424 Lv.5 漁場 / 中立/未登録 -> 476X / 時刻は前後スクショから推定（18:37以降、19:20前）
owned_key_not_in_template,中央:中央-12-15,1778,祭壇,WbW,WbW,,,,RAW_OCR_LOG row55 / #8061 X:724 Y:424 Lv.2 こだまの祭壇 / 中立/未登録 -> WbW / 画像:D1EB3C7D
owned_key_not_in_template,中央:中央-12-16,1828,祭壇,BgNa,BgNa,,,,グレー吹き出しOCR IMG_1127.PNG / #8061 X:774 Y:424 Lv.1 祭壇 / 時刻は前後スクショから推定 / OCR補正:BqNa->BgNa
owned_key_not_in_template,中央:中央-12-17,1829,祭壇,PmP,PmP,,,,グレー吹き出しOCR IMG_1132.PNG / #8061 X:824 Y:424 Lv.1 祭壇 / 時刻は前後スクショから推定
owned_key_not_in_template,中央:中央-12-18,2019,漁場,AAOA,AAOA,,,,Dropbox赤字OCR IMG_1275.PNG / #8061 X:874 Y:424 Lv.7 漁場 / BAJ -> AAOA
owned_key_not_in_template,中央:中央-12-19,1989,漁場,BgNa,BgNa,,,,手入力ログ 2026/05/28 12:20 / #8061 X:924 Y:424 Lv.6 漁場 / GcC -> BgNa
owned_key_not_in_template,中央:中央-12-2,1935,漁場,WUG,WUG,,,,手入力ログ 2026/05/24 18:31 / #8061 X:74 Y:424 Lv.6 漁場 / 中立/未登録 -> WUG
owned_key_not_in_template,中央:中央-12-20,2024,漁場,PmP,PmP,,,,OCR IMG_0528.PNG / #8061 X:974 Y:424 Lv.5 / 中立/未登録 -> PmP
