image,image_path,screen_type,event_time,actor_server,actor_alliance,opponent_alliance,target_server,x,y,level,terrain,kind_raw,kind_sheet,action,owner_for_sheet,confidence,time_source,source_text
IMG_0552.PNG,/Users/mba2025/Library/CloudStorage/GoogleDrive-ktzkstsh@gmail.com/.tmp/2584/拠点取得スクショ/IMG_0552.PNG,timeline_chat,2026/05/24 09:08:44,,FHX,,#8061,874,874,7,,漁場,漁場,occupy,FHX,low,image_metadata_inferred,"連盟FHXがLV.7漁場 #8061(X:874,Y:874)を 占領"
IMG_0552.PNG,/Users/mba2025/Library/CloudStorage/GoogleDrive-ktzkstsh@gmail.com/.tmp/2584/拠点取得スクショ/IMG_0552.PNG,timeline_chat,2026/05/21 23:50:00,,Digg,,#480,978,799,1,,漁場,漁場,first_occupy,Digg,medium,visible_time,"連盟DiggがLV.1漁場 #480(X:978,Y:799)を 占領"
IMG_0552.PNG,/Users/mba2025/Library/CloudStorage/GoogleDrive-ktzkstsh@gmail.com/.tmp/2584/拠点取得スクショ/IMG_0552.PNG,timeline_chat,2026/05/24 00:18:00,,YDR,,#503,899,599,1,,漁場,漁場,occupy,YDR,medium,visible_time,"連盟YDRがLV.1漁場 #503(X:899,Y:599)を占 領"
IMG_0552.PNG,/Users/mba2025/Library/CloudStorage/GoogleDrive-ktzkstsh@gmail.com/.tmp/2584/拠点取得スクショ/IMG_0552.PNG,timeline_chat,2026/05/24 00:18:00,,ALj,,#8061,24,574,5,,漁場,漁場,occupy,ALj,medium,visible_time,"連盟ALjがLV.5漁場 #8061(X:24,Y:574)を占 領"
IMG_0553.PNG,/Users/mba2025/Library/CloudStorage/GoogleDrive-ktzkstsh@gmail.com/.tmp/2584/拠点取得スクショ/IMG_0553.PNG,timeline_chat,2026/05/24 00:30:00,,ALj,,#8061,24,574,5,,漁場,漁場,occupy,ALj,low,previous_image_visible_time,"連盟ALjがLV.5漁場 #8061(X:24,Y:574)を占 領"
IMG_0553.PNG,/Users/mba2025/Library/CloudStorage/GoogleDrive-ktzkstsh@gmail.com/.tmp/2584/拠点取得スクショ/IMG_0553.PNG,timeline_chat,2026/05/24 00:30:00,,GX99,,#503,99,299,1,,漁場,漁場,occupy,GX99,medium,visible_time,"連盟GX99がLV.1漁場 #503(X:99,Y:299)を占 領"
IMG_0553.PNG,/Users/mba2025/Library/CloudStorage/GoogleDrive-ktzkstsh@gmail.com/.tmp/2584/拠点取得スクショ/IMG_0553.PNG,timeline_chat,2026/05/24 00:47:00,,fIrE,,#476,899,20,1,,漁場,漁場,occupy,fIrE,medium,visible_time,"連盟fIrEがLV.1漁場 #476(X:899,Y:20)を占領"
IMG_0554.PNG,/Users/mba2025/Library/CloudStorage/GoogleDrive-ktzkstsh@gmail.com/.tmp/2584/拠点取得スクショ/IMG_0554.PNG,timeline_chat,2026/05/24 01:03:00,,fIrE,,#476,899,20,1,,漁場,漁場,occupy,fIrE,low,previous_image_visible_time,"連盟fIrEがLV.1漁場 #476(X:899,Y:20)を占領"
IMG_0554.PNG,/Users/mba2025/Library/CloudStorage/GoogleDrive-ktzkstsh@gmail.com/.tmp/2584/拠点取得スクショ/IMG_0554.PNG,timeline_chat,2026/05/24 01:03:00,,0TT,,#509,699,978,1,,漁場,漁場,occupy,0TT,medium,visible_time,"連盟OTTがLV.1漁場 #509(X:699,Y:978)を占 領"
IMG_0554.PNG,/Users/mba2025/Library/CloudStorage/GoogleDrive-ktzkstsh@gmail.com/.tmp/2584/拠点取得スクショ/IMG_0554.PNG,timeline_chat,2026/05/24 01:55:00,,VEX,,#8061,324,974,5,,漁場,漁場,occupy,VEX,medium,visible_time,"連盟VEXがLV.5漁場 #8061(X:324,Y:974)を 占領"
IMG_0554.PNG,/Users/mba2025/Library/CloudStorage/GoogleDrive-ktzkstsh@gmail.com/.tmp/2584/拠点取得スクショ/IMG_0554.PNG,timeline_chat,2026/05/24 03:07:00,,MOn,,#8061,824,974,5,,漁場,漁場,occupy,MOn,medium,visible_time,"連盟MOnがLV.5漁場 #8061(X:824,Y:974)を 占領"
IMG_0555.PNG,/Users/mba2025/Library/CloudStorage/GoogleDrive-ktzkstsh@gmail.com/.tmp/2584/拠点取得スクショ/IMG_0555.PNG,timeline_chat,2026/05/24 03:08:00,,MOn,,#8061,824,974,5,,漁場,漁場,occupy,MOn,low,previous_image_visible_time,"連盟MOnがLV.5漁場 #8061(X:824,Y:974)を 占領"
IMG_0555.PNG,/Users/mba2025/Library/CloudStorage/GoogleDrive-ktzkstsh@gmail.com/.tmp/2584/拠点取得スクショ/IMG_0555.PNG,timeline_chat,2026/05/24 03:08:00,,BHE,,#8061,774,974,5,,漁場,漁場,occupy,BHE,medium,visible_time,"連盟BHEがLV.5漁場 #8061(X:774,Y:974)を 占領"
IMG_0555.PNG,/Users/mba2025/Library/CloudStorage/GoogleDrive-ktzkstsh@gmail.com/.tmp/2584/拠点取得スクショ/IMG_0555.PNG,timeline_chat,2026/05/24 03:08:00,,YDR,,#503,978,699,1,,漁場,漁場,occupy,YDR,medium,visible_time,"連盟YDRがLV.1漁場 #503(X:978,Y:699)を占 領"
