reason,sheet_row,target_server,x,y,existing_at,event_time,existing_owner,owner_for_sheet,image,source_text,existing_type,event_type,kind_sheet
existing_newer,518,#480,978,799,2026/05/22 0:18,2026/05/21 23:50:00,Digg,Digg,IMG_0552.PNG,"連盟DiggがLV.1漁場 #480(X:978,Y:799)を 占領",,,
existing_newer,727,#503,399,899,2026/05/22 14:10,2026/05/22 12:35:00,FarM,FarM,IMG_0574.PNG,"連盟FarMがLV.1漁場 #503(X:399,Y:899)を 占領",,,
existing_newer,1998,#8061,124,174,2026/05/23 11:08,2026/05/22 15:10:00,BgNa,476X,IMG_0575.PNG,"連盟476XがLV.7漁場 #8061(X:124,Y:174)を 占領",,,
existing_newer,965,#509,799,299,2026/05/30 15:29,2026/05/22 15:10:00,RCON,OWM,IMG_0575.PNG,"連盟OWMがLV.2漁場 #509(X:799,Y:299)を 占領",,,
existing_newer,964,#509,99,299,2026/05/22 15:35,2026/05/22 15:19:00,tWD,tWD,IMG_0575.PNG,"連盟tWDがLV.1漁場 #509(X:99,Y:299)を占 領",,,
existing_newer,1997,#8061,124,224,2026/05/23 11:08,2026/05/22 15:35:00,2N7,476M,IMG_0575.PNG,"連盟476MがLV.7漁場 #8061(X:124,Y:224) を占領",,,
existing_newer,65,#440,20,399,2026/05/31 15:14,2026/05/22 16:20:00,476X,IMP,IMG_0576.PNG,"連盟IMpがLV.1漁場 #440(X:20,Y:399)を占 領",,,
existing_newer,64,#440,99,499,2026/05/24 6:53,2026/05/22 16:44:00,ANH2,TrX,IMG_0577.PNG,"連盟TrXがLV.1漁場 #440(X:99,Y:499)を占領",,,
existing_newer,1996,#8061,224,74,2026/05/23 11:23,2026/05/22 16:53:00,JL0,476M,IMG_0577.PNG,"連盟476MがLV.6漁場 #8061(X:224,Y:74)を 占領",,,
existing_newer,1995,#8061,74,74,2026/05/22 18:09,2026/05/22 17:46:00,fIrE,fIrE,IMG_0578.PNG,"連盟fIrEがLV.6漁場 #8061(X:74,Y:74)を占領",,,
existing_newer,1994,#8061,74,124,2026/05/23 11:42,2026/05/22 18:09:00,JL0,WUG,IMG_0578.PNG,"連盟WUGがLV.6漁場 #8061(X:74,Y:124)を 占領",,,
existing_newer,1992,#8061,74,224,2026/05/23 12:24,2026/05/22 18:36:00,SVa,WUG,IMG_0579.PNG,"連盟WUGがLV.6漁場 #8061(X:74,Y:224)を 占領",,,
existing_newer,63,#440,20,299,2026/05/24 8:43,2026/05/22 18:36:00,TrX,TrX,IMG_0579.PNG,"連盟TrXがLV.1漁場 #440(X:20,Y:299)を占領",,,
existing_newer,1182,#511,699,499,2026/05/22 20:18,2026/05/22 19:26:00,sbM,sbM,IMG_0581.PNG,"連盟sbMがLV.3漁場 #511(X:699,Y:499)を占 領",,,
existing_newer,1602,#534,699,599,2026/05/22 20:40,2026/05/22 20:18:00,KTVS,KTVS,IMG_0581.PNG,"連盟KTVSがLV.3漁場 #534(X:699,Y:599)を 占領",,,
existing_newer,726,#503,699,299,2026/05/22 20:46,2026/05/22 20:18:00,299,299,IMG_0581.PNG,"連盟299がLV.3漁場 #503(X:699,Y:299)を占 領",,,
existing_newer,517,#480,199,978,2026/05/29 21:23,2026/05/22 20:46:00,Lghs,GX99,IMG_0581.PNG,"連盟GX99がLV.1漁場 #480(X:199,Y:978)を 占領",,,
