source,raw_name,raw_comment,match,score,method,form,first_m,job
IMG_8180.PNG,ヤギサトツ,航空49.2,ヤギサトツ,1.0,fuzzy,航,49.2,
IMG_8180.PNG,Maーー,航空75.85M 指導者,Maーー,1.0,fuzzy,航,75.85,指導者
IMG_8180.PNG,HIDEGONDx,航空68.3エンジニアリング,HIDEGONDx,1.0,fuzzy,航,68.3,エンジニア
IMG_8180.PNG,naphtha Phol,航空70.89Mエンジニア,naphtha PhD,1.0,fuzzy,航,70.89,エンジニア
IMG_8181.PNG,Pe-suke.f,ルシ戦車62.1Mエンジニア,Pe-sukeR,0.857,fuzzy,戦,62.1,エンジニア
IMG_8181.PNG,あつない卯,戦車61.18M engineer,あつないR,1.0,fuzzy,戦,61.18,
IMG_8181.PNG,きょたぽ,ロケラン62.03Mエンジニア,きょたぱ,1.0,manual,ロ,62.03,エンジニア
IMG_8181.PNG,かえるchan.f,航空71.53 指導者,かえるChanR,0.875,fuzzy,航,71.53,指導者
IMG_8182.PNG,ぷるPuru,戦車57.3M始動,ぷるPuru,1.0,fuzzy,戦,57.3,
IMG_8182.PNG,Revo GARO,ロケラン76.57指導者,Revo GARO,1.0,fuzzy,ロ,76.57,指導者
IMG_8182.PNG,ちゅうちぇ,戦車57.4 エンジニア,ちゅうちぇ,1.0,fuzzy,戦,57.4,エンジニア
IMG_8182.PNG,ケロ丸,アダスカ56.63エンジニア,ケロ丸,1.0,fuzzy,,56.63,エンジニア
IMG_8182.PNG,tama選手！,戦車58.22M+ゴリラエンジ,tama選手R,1.0,fuzzy,戦,58.22,
IMG_8182.PNG,ノンタン,戦車65エンジニア,ノンタン,1.0,fuzzy,戦,65.0,エンジニア
IMG_8183.PNG,ReVoFuYuMin,=56M Chi huy,RevoFuYuMin,1.0,fuzzy,,56.0,
IMG_8183.PNG,YOSAKOI,戦車エンジニア57,YOSAKOI,1.0,fuzzy,戦,57.0,エンジニア
IMG_8183.PNG,OLDヤンガス,戦車46.63Mエンジニア,OLDヤンガス,1.0,fuzzy,戦,46.63,エンジニア
IMG_8183.PNG,Fateの晚国,［JDXJRAMETT VU,Fateの晩风,1.0,manual,,,
IMG_8184.PNG,ボッサ,戦車60.9M,ボッサ,1.0,fuzzy,戦,60.9,
IMG_8184.PNG,hiro628国,戦車58.1Mエンジニア,hiro628,1.0,fuzzy,戦,58.1,エンジニア
IMG_8184.PNG,だあむ,航空59.39エンジニア,だあむ,1.0,fuzzy,航,59.39,エンジニア
IMG_8184.PNG,ツナ缶食べ隊,戦車53エンジニア,ツナ缶食べ隊,1.0,fuzzy,戦,53.0,エンジニア
IMG_8185.PNG,三SUN SUN三,戦車56M エンジニア,三SUN SUN三,1.0,fuzzy,戦,56.0,エンジニア
IMG_8185.PNG,ふみっちゃん,ルシウス戦車62.6Mエンジニ,ふみっちゃん,1.0,fuzzy,戦,62.6,
IMG_8185.PNG,スコア80,ロケラン63.1Mエンジニア,スコア80,1.0,fuzzy,ロ,63.1,エンジニア
IMG_8185.PNG,50L265,マーフィー航空機67Mエン,SOL265,1.0,manual,航,67.0,
IMG_8186.PNG,50L265,マーフィー航空機67M エン,SOL265,1.0,manual,航,67.0,
IMG_8186.PNG,GinjirouR,本：70M私エンジニア,GinjirouR,1.0,fuzzy,,70.0,エンジニア
IMG_8186.PNG,いたちごっこ！,★163.9指導者,いたちごっこR,1.0,fuzzy,,,指導者
IMG_8186.PNG,Nikoruko,戦車私58.51Mエンジニア,Nikoruko,1.0,fuzzy,戦,58.51,エンジニア
IMG_8186.PNG,himoペよ星に,戦車57.7mエンジニア,himoぺよ星,0.8,fuzzy,戦,57.7,エンジニア
IMG_8186.PNG,uhats マイケル,戦車57Mエンジニア,whats マイケル,1.0,manual,戦,57.0,エンジニア
IMG_8187.PNG,CHIKO un,戦車72.6M私指導者,CHIKO un,1.0,fuzzy,戦,72.6,指導者
IMG_8187.PNG,渋猫選手！！,ロケラン79.29M戦争指導者,渋猫選手R,0.909,fuzzy,ロ,79.29,指導者
IMG_8187.PNG,こうしゅう,戦車53.20M エンジニア,こうしゅう,1.0,fuzzy,戦,53.2,エンジニア
IMG_8187.PNG,TONKUN,戦車65.34Mエンジニア,TONKUN,1.0,fuzzy,戦,65.34,エンジニア
IMG_8187.PNG,黒猫 nuda,航空76.2Mエンジニア,黒猫 nuda,1.0,fuzzy,航,76.2,エンジニア
IMG_8187.PNG,pecten,戦車44.7M私エンジニア,pecten,1.0,fuzzy,戦,44.7,エンジニア
IMG_8187.PNG,GOLDEN FREEZA,戦車56.77Mエンジニア,GOLDEN FREEZA,1.0,fuzzy,戦,56.77,エンジニア
IMG_8188.PNG,レッチャ,46.42戦車エンジニア,レッチャ,1.0,fuzzy,戦,46.42,エンジニア
IMG_8188.PNG,馬券師もつお国,ロケラン69.08M 指導者,馬券師もつお,1.0,fuzzy,ロ,69.08,指導者
IMG_8189.PNG,Revo nikoora,ロケラン63.2M エンジニア,Revo nikoora,1.0,manual,ロ,63.2,エンジニア
IMG_8189.PNG,SPOZOT,戦車60.9Mエンジニア,SPD20T,1.0,manual,戦,60.9,エンジニア
IMG_8189.PNG,RevosHoBo.f,ルシ戦車69.6Mエンジニヤ,RevoSHoBoR,1.0,manual,戦,69.6,
IMG_8189.PNG,Revo nutswa,戦車60Mエンジニア,Revo nutswa,1.0,fuzzy,戦,60.0,エンジニア
