row,name,old_total,new_total,old_band,new_band,old_form,new_form,old_first,new_first,old_job,new_job,changed,sources
2,Revo GARO,407.68,390.85,2_75M以上〜80M未満,2_75M以上〜80M未満,戦,ロ,46.21,76.57,エンジニア,指導者,True,IMG_8161.PNG;IMG_8182.PNG
3,レバブル子,395.19,393.08,3_70M以上〜75M未満,3_70M以上〜75M未満,ロ,ロ,74,74,指導者,指導者,True,IMG_8162.PNG
4,ssi103,383.96,411.51,1_80M以上,1_80M以上,航,航,84,84,指導者,指導者,True,IMG_8159.PNG
5,K’awiil,373.17,430.2,1_80M以上,1_80M以上,航,航,85.58,85.58,指導者,指導者,True,IMG_8159.PNG
6,RevoLoveR,371.58,352.45,2_75M以上〜80M未満,2_75M以上〜80M未満,航,航,75.63,75.63,指導者,指導者,True,IMG_8160.PNG
7,naphtha PhD,370.42,370.2,3_70M以上〜75M未満,3_70M以上〜75M未満,航,航,70.3,70.89,エンジニア,エンジニア,True,IMG_8162.PNG;IMG_8163.PNG;IMG_8180.PNG
8,Hirogeo R,360.2,347.45,4_65M以上〜70M未満,3_70M以上〜75M未満,戦,戦,69.09,69.09,指導者,指導者,True,IMG_8163.PNG
9,Revo Geruge,355.31,400.02,3_70M以上〜75M未満,3_70M以上〜75M未満,ロ,ロ,73.1,73.1,エンジニア,エンジニア,True,IMG_8162.PNG
10,BCCR,352.65,350.88,4_65M以上〜70M未満,4_65M以上〜70M未満,戦,戦,65.28,65.28,エンジニア,エンジニア,True,IMG_8165.PNG
11,RAMETT vu,352.43,405.63,2_75M以上〜80M未満,2_75M以上〜80M未満,ロ,ロ,76.61,76.61,指導者,指導者,True,IMG_8161.PNG
12,Maーー,352.37,394.47,3_70M以上〜75M未満,2_75M以上〜80M未満,航,航,75,75.85,指導者,指導者,True,IMG_8160.PNG;IMG_8161.PNG;IMG_8180.PNG
13,CHIKO un,344.57,362.76,3_70M以上〜75M未満,3_70M以上〜75M未満,戦,戦,71.7,72.6,指導者,指導者,True,IMG_8163.PNG;IMG_8187.PNG
