source,choice,raw_name,power_raw,total_m,match,score,method
IMG_8159.PNG,1,ossi103,411514715,411.51,ssi103,1.0,manual
IMG_8159.PNG,1,K'auiil,430200434,430.2,K’awiil,0.833,fuzzy
IMG_8160.PNG,2,黒猫 nuda,357415393,357.42,黒猫 nuda,1.0,fuzzy
IMG_8160.PNG,2,RevoLove！,352449293,352.45,RevoLoveR,1.0,manual
IMG_8160.PNG,2,Maーー,394470436,394.47,Maーー,1.0,fuzzy
IMG_8160.PNG,2,渋猫選手！,373386821,373.39,渋猫選手R,1.0,manual
IMG_8161.PNG,2,UVEUU,352449293,352.45,,0.364,unmatched
IMG_8161.PNG,2,Maーー,394470436,394.47,Maーー,1.0,fuzzy
IMG_8161.PNG,2,渋猫選手！,373386821,373.39,渋猫選手R,1.0,manual
IMG_8161.PNG,2,RAMETC VU,405631415,405.63,RAMETT vu,1.0,manual
IMG_8161.PNG,2,Revo GARO,390850291,390.85,Revo GARO,1.0,fuzzy
IMG_8162.PNG,3,◎まったり子,393080691,393.08,レバブル子,1.0,manual
IMG_8162.PNG,3,Revo Geruge,400019783,400.02,Revo Geruge,1.0,fuzzy
IMG_8162.PNG,3,GinjirouR,326090312,326.09,GinjirouR,1.0,fuzzy
IMG_8162.PNG,3,naphtha Pho,370201236,370.2,naphtha PhD,1.0,manual
IMG_8163.PNG,3,IUU,326090312,326.09,,0.444,unmatched
IMG_8163.PNG,3,naphtha Pho,370201236,370.2,naphtha PhD,1.0,manual
IMG_8163.PNG,3,CHIKO un,362756670,362.76,CHIKO un,1.0,fuzzy
IMG_8163.PNG,3,かえるChan！,348948698,348.95,かえるChanR,1.0,manual
IMG_8163.PNG,3,Hirogeo P,347454530,347.45,Hirogeo R,1.0,manual
IMG_8164.PNG,4,TONKUN,336559004,336.56,TONKUN,1.0,fuzzy
IMG_8164.PNG,4,RevosHoBoRe,349967701,349.97,RevoSHoBoR,1.0,manual
IMG_8164.PNG,4,50L265,349441143,349.44,SOL265,1.0,manual
IMG_8164.PNG,4,馬券師もつお,372766586,372.77,馬券師もつお,1.0,fuzzy
IMG_8165.PNG,4,マリオ mario,374263353,374.26,マリオ mario,1.0,fuzzy
IMG_8165.PNG,4,BCC%,350884268,350.88,BCCR,1.0,manual
IMG_8165.PNG,4,ノンタン,300607943,300.61,ノンタン,1.0,fuzzy
IMG_8165.PNG,4,HIDEGONDX,304980041,304.98,HIDEGONDx,1.0,fuzzy
IMG_8166.PNG,4,DLEし,350884268,350.88,,0.5,unmatched
IMG_8166.PNG,4,ノンタン,300607943,300.61,ノンタン,1.0,fuzzy
IMG_8166.PNG,4,HIDEGONDX,304980041,304.98,HIDEGONDx,1.0,fuzzy
IMG_8166.PNG,4,カラトリ君,269884453,269.88,カラトリ君,1.0,fuzzy
IMG_8166.PNG,4,●雉猫くるさん,298625283,298.63,雉猫くるさん,1.0,fuzzy
IMG_8167.PNG,5,AJuMiN,304258156,304.26,AyuMiN,0.833,fuzzy
IMG_8167.PNG,5,いたちごっこゅ,334350983,334.35,いたちごっこR,0.857,fuzzy
IMG_8167.PNG,5,ふみっちゃん,323230077,323.23,ふみっちゃん,1.0,fuzzy
IMG_8167.PNG,5,ちゃっぴ chappi,316035944,316.04,ちゃっぴ chappi,1.0,fuzzy
IMG_8168.PNG,5,sakimaru,332432157,332.43,sakimaru,1.0,fuzzy
IMG_8168.PNG,5,Revo nikoora,318765142,318.77,Revo nikoora,1.0,manual
IMG_8168.PNG,5,Pe-suke！,314736054,314.74,Pe-sukeR,1.0,fuzzy
IMG_8168.PNG,5,・きょたぽ,291380186,291.38,,0.667,unmatched
IMG_8169.PNG,5,c gllg,291380186,291.38,,0.267,unmatched
IMG_8169.PNG,5,DaoETあつし,296527413,296.53,DaoETあつし,1.0,fuzzy
IMG_8169.PNG,5,•もこ,268838200,268.84,もこP,0.8,fuzzy
IMG_8169.PNG,5,北池袋,344516812,344.52,北池袋,1.0,fuzzy
IMG_8169.PNG,5,スコア80,280886153,280.89,スコア80,1.0,fuzzy
IMG_8170.PNG,6,枝マメロx,287518832,287.52,枝マメDx,0.857,fuzzy
IMG_8170.PNG,6,あつない！,270449532,270.45,あつないR,1.0,fuzzy
IMG_8170.PNG,6,Lastかえる丸,264333682,264.33,LastかえるR,0.875,fuzzy
IMG_8170.PNG,6,SPD2OT,309158822,309.16,SPD20T,1.0,fuzzy
IMG_8171.PNG,6,,309158822,309.16,,0.0,unmatched
IMG_8171.PNG,6,Revo nutsua,277754425,277.75,Revo nutswa,0.9,fuzzy
IMG_8171.PNG,6,ボッサ,307600301,307.6,ボッサ,1.0,fuzzy
IMG_8171.PNG,6,Ririco %,277835446,277.84,RiricoR,0.923,fuzzy
IMG_8171.PNG,6,Fateの晚図,288575918,288.58,Fateの晩风,0.769,fuzzy
IMG_8172.PNG,7,hiro628,321856968,321.86,hiro628,1.0,fuzzy
IMG_8172.PNG,7,むだあむ,263107906,263.11,だあむ,0.857,fuzzy
IMG_8172.PNG,7,◎はぶーぶ,281692175,281.69,はぶーぶ,1.0,fuzzy
IMG_8172.PNG,7,▶torsoboyoo,321727944,321.73,torsoboy00,1.0,fuzzy
IMG_8173.PNG,7,,321856968,321.86,,0.0,unmatched
IMG_8173.PNG,7,むだあむ,263107906,263.11,だあむ,0.857,fuzzy
IMG_8173.PNG,7,はぶーぶ,281692175,281.69,はぶーぶ,1.0,fuzzy
IMG_8173.PNG,7,torsoboyoo,321727944,321.73,torsoboy00,1.0,manual
IMG_8173.PNG,7,tama選手！,276625079,276.63,tama選手R,1.0,fuzzy
IMG_8174.PNG,8,Nikoruko,287046131,287.05,Nikoruko,1.0,fuzzy
IMG_8174.PNG,8,三SUN SUN三,285954228,285.95,三SUN SUN三,1.0,fuzzy
IMG_8174.PNG,8,himoペよ星,321108131,321.11,himoぺよ星,1.0,manual
IMG_8174.PNG,8,GOLDEN FREEZA,305258023,305.26,GOLDEN FREEZA,1.0,fuzzy
IMG_8175.PNG,8,ケロ丸,276105317,276.11,ケロ丸,1.0,fuzzy
IMG_8175.PNG,8,Revo 鷲況,247635938,247.64,,0.667,unmatched
IMG_8175.PNG,8,PRIUS A,288508660,288.51,PRIUS A,1.0,fuzzy
IMG_8175.PNG,8,uhats マイケル,266944813,266.94,whats マイケル,1.0,manual
IMG_8176.PNG,8,RevoFuYuMin,272563449,272.56,RevoFuYuMin,1.0,fuzzy
IMG_8176.PNG,8,ちゅうちぇ,249139048,249.14,ちゅうちぇ,1.0,fuzzy
IMG_8176.PNG,8,YOSAKOI,292751878,292.75,YOSAKOI,1.0,fuzzy
IMG_8176.PNG,8,EI KAMA,270745593,270.75,El KAMA,0.833,fuzzy
IMG_8177.PNG,8,,272563449,272.56,,0.0,unmatched
IMG_8177.PNG,8,ちゅうちぇ,249139048,249.14,ちゅうちぇ,1.0,fuzzy
IMG_8177.PNG,8,YOSAKOI,292751878,292.75,YOSAKOI,1.0,fuzzy
IMG_8177.PNG,8,EI KAMA,270745593,270.75,El KAMA,0.833,fuzzy
IMG_8177.PNG,8,ぷるPuru,251402326,251.4,ぷるPuru,1.0,fuzzy
IMG_8178.PNG,9,ATLANTIC HALO,228633055,228.63,ATLANTIC HALO,1.0,fuzzy
IMG_8178.PNG,9,Shawawaga,263312124,263.31,Shawawaga,1.0,fuzzy
IMG_8178.PNG,9,kaaaaat,253743582,253.74,kaaaaat,1.0,fuzzy
IMG_8178.PNG,9,SUPREMO,240642063,240.64,SÜPRĒMŌ,1.0,manual
IMG_8179.PNG,9,,253743582,253.74,,0.0,unmatched
IMG_8179.PNG,9,SUPREMO,240642063,240.64,SÜPRĒMŌ,1.0,manual
IMG_8179.PNG,9,PHL Pjia,252496909,252.5,PHL Pjia,1.0,fuzzy
IMG_8179.PNG,9,こうしゅう,306005840,306.01,こうしゅう,1.0,fuzzy
IMG_8179.PNG,9,ツナ缶食べ隊,253860292,253.86,ツナ缶食べ隊,1.0,fuzzy
