name,option,total_m,band,source,note
K’awiil,1,438.8,1_80M以上,IMG_8197.PNG,OCR matched
ssi103,1,421.48,1_80M以上,IMG_8197.PNG,OCR matched
渋猫選手R,2,403.37,2_75M以上〜80M未満,IMG_8199.PNG,OCR matched
RAMETT vu,2,401.01,2_75M以上〜80M未満,IMG_8199.PNG,OCR matched
Revo Geruge,3,399.71,3_70M以上〜75M未満,IMG_8200.PNG,OCR matched
RevoLoveR,2,396.05,2_75M以上〜80M未満,IMG_8198.PNG,OCR matched
Maーー,2,394.51,2_75M以上〜80M未満,IMG_8199.PNG,OCR matched
Revo GARO,2,388.33,2_75M以上〜80M未満,IMG_8199.PNG,OCR matched
まったり子,,383.2,3_70M以上〜75M未満,IMG_8200.PNG;frame_004.png,User clarified レバブル子 renamed to まったり子.
マリオ mario,4,374.2,4_65M以上〜70M未満,IMG_8203.PNG,OCR matched
馬券師もつお,4,370.54,4_65M以上〜70M未満,IMG_8202.PNG,OCR matched
naphtha PhD,3,368.35,3_70M以上〜75M未満,IMG_8201.PNG,OCR matched
かえるChanR,3,360.68,3_70M以上〜75M未満,IMG_8201.PNG,OCR matched
CHIKO un,3,359.88,3_70M以上〜75M未満,IMG_8201.PNG,OCR matched
黒猫 nuda,,358.97,2_75M以上〜80M未満,IMG_8198.PNG,OCR matched the name but vote score was below the original safe threshold because the header text was included.
SOL265,4,356.74,4_65M以上〜70M未満,IMG_8202.PNG,OCR matched
BCCR,4,348.53,4_65M以上〜70M未満,IMG_8203.PNG,OCR matched
Hirogeo R,3,347.49,3_70M以上〜75M未満,IMG_8201.PNG,OCR matched
RevoSHoBoR,4,341.65,4_65M以上〜70M未満,IMG_8202.PNG,OCR matched
北池袋,5,338.95,5_62M以上〜65M未満,IMG_8208.PNG,OCR matched
sakimaru,5,337.94,5_62M以上〜65M未満,IMG_8206.PNG,OCR matched
TONKUN,4,336.04,4_65M以上〜70M未満,IMG_8202.PNG,OCR matched
いたちごっこR,5,330.93,5_62M以上〜65M未満,IMG_8205.PNG,OCR matched
GinjirouR,3,328.9,3_70M以上〜75M未満,IMG_8200.PNG,OCR matched
hiro628,7,319.98,7_58M以上〜60M未満,IMG_8209.PNG,OCR matched
torsoboy00,7,318.63,7_58M以上〜60M未満,IMG_8210.PNG,OCR matched
Revo nikoora,5,318.21,5_62M以上〜65M未満,IMG_8206.PNG,OCR matched
ちゃっぴ chappi,5,316.08,5_62M以上〜65M未満,IMG_8205.PNG,OCR matched
himoぺよ星,8,315.95,8_55M以上〜58M未満,IMG_8213.PNG,OCR matched
雉猫くるさん,4,312.59,4_65M以上〜70M未満,IMG_8204.PNG,OCR matched
Pe-sukeR,5,311.26,5_62M以上〜65M未満,IMG_8206.PNG,OCR matched
ふみっちゃん,5,310.68,5_62M以上〜65M未満,IMG_8205.PNG,OCR matched
AyuMiN,5,309.06,5_62M以上〜65M未満,IMG_8205.PNG,OCR matched
HIDEGONDx,4,307.88,4_65M以上〜70M未満,IMG_8204.PNG,OCR matched
こうしゅう,9,306.26,9_50M以上～55M未満,IMG_8218.PNG,OCR matched
ボッサ,6,304.69,6_60M以上〜62M未満,IMG_8212.PNG,OCR matched
SPD20T,6,303.06,6_60M以上〜62M未満,IMG_8211.PNG,OCR matched
DaoETあつし,5,302.08,5_62M以上〜65M未満,IMG_8207.PNG,OCR matched
GOLDEN FREEZA,8,301.37,8_55M以上〜58M未満,IMG_8213.PNG,OCR matched
もこP,5,299.12,5_62M以上〜65M未満,IMG_8208.PNG,OCR matched
枝マメDx,6,293.01,6_60M以上〜62M未満,IMG_8211.PNG,OCR matched
ユパパパ,5,291.53,5_62M以上〜65M未満,IMG_8208.PNG,OCR matched
ノンタン,4,291.33,4_65M以上〜70M未満,IMG_8204.PNG,OCR matched
YOSAKOI,8,290.32,8_55M以上〜58M未満,IMG_8216.PNG,OCR matched
あつないR,6,289.96,6_60M以上〜62M未満,IMG_8211.PNG,OCR matched
PRIUS A,8,286.76,8_55M以上〜58M未満,IMG_8214.PNG,OCR matched
Nikoruko,8,286.56,8_55M以上〜58M未満,IMG_8213.PNG,OCR matched
三SUN SUN三,8,286.05,8_55M以上〜58M未満,IMG_8213.PNG,OCR matched
きょたぱ,5,283.45,5_62M以上〜65M未満,IMG_8206.PNG,OCR matched
はぶーぶ,7,282.91,7_58M以上〜60M未満,IMG_8210.PNG,OCR matched
スコア80,5,281.6,5_62M以上〜65M未満,IMG_8208.PNG,OCR matched
Revo nutswa,6,279.63,6_60M以上〜62M未満,IMG_8212.PNG,OCR matched
tama選手R,7,278.56,7_58M以上〜60M未満,IMG_8210.PNG,OCR matched
RiricoR,6,278.09,6_60M以上〜62M未満,IMG_8212.PNG,OCR matched
ケロ丸,8,278.01,8_55M以上〜58M未満,IMG_8214.PNG,OCR matched
El KAMA,8,273.81,8_55M以上〜58M未満,IMG_8216.PNG,OCR matched
RevoFuYuMin,8,273.4,8_55M以上〜58M未満,IMG_8215.PNG,OCR matched
Fateの晩风,6,271.93,6_60M以上〜62M未満,IMG_8212.PNG,OCR matched
ヤギサトツ,10,268.35,a_50M未満,IMG_8221.PNG,OCR matched
whats マイケル,8,268.33,8_55M以上〜58M未満,IMG_8214.PNG,OCR matched
LastかえるR,6,266.26,6_60M以上〜62M未満,IMG_8211.PNG,OCR matched
だあむ,7,263.53,7_58M以上〜60M未満,IMG_8210.PNG,OCR matched
カラトリ君,4,262.35,4_65M以上〜70M未満,IMG_8204.PNG,OCR matched
Shawawaga,9,259.96,9_50M以上～55M未満,IMG_8217.PNG,OCR matched
呷八覇,10,258.03,a_50M未満,IMG_8221.PNG,OCR matched
ツナ缶食べ隊,9,256.92,9_50M以上～55M未満,IMG_8218.PNG,OCR matched
ぷるPuru,8,252.96,8_55M以上〜58M未満,IMG_8216.PNG,OCR matched
kaaaaat,9,252.91,9_50M以上～55M未満,IMG_8217.PNG,OCR matched
ちゅうちぇ,8,249.38,8_55M以上〜58M未満,IMG_8216.PNG,OCR matched
PHL Pjia,9,249.31,9_50M以上～55M未満,IMG_8218.PNG,OCR matched
Revo 鷹R,8,242.81,8_55M以上〜58M未満,IMG_8214.PNG,OCR matched
SÜPRĒMŌ,9,240.64,9_50M以上～55M未満,IMG_8218.PNG,OCR matched
