source,option,raw_name,matched_name,match_score,total_m,band,ocr_text
IMG_8197.PNG,1,ossi103,ssi103,0.99,421.48,1_80M以上,戦力：421481666
IMG_8197.PNG,1,K'auiil,K’awiil,0.833,438.8,1_80M以上,戦力：438803037
IMG_8198.PNG,2,黒猫 nuda 以下の方が選択肢「2」を選びました,黒猫 nuda,0.436,358.97,2_75M以上〜80M未満,戦力：358973308
IMG_8198.PNG,2,RevoLove!e,RevoLoveR,0.99,396.05,2_75M以上〜80M未満,戦力：396045899
IMG_8198.PNG,2,Maーー,Maーー,1.0,394.51,2_75M以上〜80M未満,戦力：394511730
IMG_8198.PNG,2,渋猫選手况,渋猫選手R,0.8,403.37,2_75M以上〜80M未満,戦力：403365545
IMG_8199.PNG,2,LUVEUU 以下の方が選択肢「2」を選びました,,0.0,396.05,2_75M以上〜80M未満,戦力：396045899 LV.35
IMG_8199.PNG,2,Maーー,Maーー,1.0,394.51,2_75M以上〜80M未満,戦力：394511730
IMG_8199.PNG,2,E5 渋猫選手！,渋猫選手R,0.864,403.37,2_75M以上〜80M未満,戦力：403365545
IMG_8199.PNG,2,RAMETC VU,RAMETT vu,0.875,401.01,2_75M以上〜80M未満,戦力：401006876
IMG_8199.PNG,2,Revo GARO,Revo GARO,1.0,388.33,2_75M以上〜80M未満,戦力：388328505
IMG_8200.PNG,3,◎まったり子,,0.0,383.2,3_70M以上〜75M未満,戦力：383198808
IMG_8200.PNG,3,Revo Geruge,Revo Geruge,1.0,399.71,3_70M以上〜75M未満,戦力：399713811
IMG_8200.PNG,3,GinjirouR,GinjirouR,1.0,328.9,3_70M以上〜75M未満,戦力：328896240
IMG_8200.PNG,3,naphtha Pho,naphtha PhD,0.9,368.35,3_70M以上〜75M未満,戦力：368352091
IMG_8201.PNG,3,IUU 以下の方が選択肢「3」を選びました,,0.0,328.9,3_70M以上〜75M未満,戦力：328896240
IMG_8201.PNG,3,naphtha Pho,naphtha PhD,0.9,368.35,3_70M以上〜75M未満,戦力：368352091
IMG_8201.PNG,3,CHIKO un,CHIKO un,1.0,359.88,3_70M以上〜75M未満,戦力：359876347
IMG_8201.PNG,3,かえるChan！,かえるChanR,1.0,360.68,3_70M以上〜75M未満,戦力 ：360683753
IMG_8201.PNG,3,Hirogeo J,Hirogeo R,0.875,347.49,3_70M以上〜75M未満,戦力：347489880
IMG_8202.PNG,4,TONKUN,TONKUN,1.0,336.04,4_65M以上〜70M未満,戦力：336039220
IMG_8202.PNG,4,RevosHoBoRe,RevoSHoBoR,0.99,341.65,4_65M以上〜70M未満,戦力：341647667
IMG_8202.PNG,4,50L265,SOL265,0.833,356.74,4_65M以上〜70M未満,戦力：356736532
IMG_8202.PNG,4,馬券師もつお,馬券師もつお,1.0,370.54,4_65M以上〜70M未満,戦力：370535652
IMG_8203.PNG,4,◎マリオ mario,マリオ mario,1.0,374.2,4_65M以上〜70M未満,戦力：374202041
IMG_8203.PNG,4,BCCR BCCR,BCCR,0.667,348.53,4_65M以上〜70M未満,戦力：348526239
IMG_8203.PNG,4,ノンタン,ノンタン,1.0,291.33,4_65M以上〜70M未満,戦力：291328710
IMG_8203.PNG,4,HIDEGONPX,HIDEGONDx,0.889,307.88,4_65M以上〜70M未満,戦力：307883039
IMG_8204.PNG,4,DLEし 以下の方が選択肢「4」を選びました BCC,,0.0,348.53,4_65M以上〜70M未満,戦力：348526239
IMG_8204.PNG,4,ノンタン,ノンタン,1.0,291.33,4_65M以上〜70M未満,戦力：291328710
IMG_8204.PNG,4,HIDEGONDX,HIDEGONDx,1.0,307.88,4_65M以上〜70M未満,戦力：307883039
IMG_8204.PNG,4,カラトリ君,カラトリ君,1.0,262.35,4_65M以上〜70M未満,戦力 ：262347966
IMG_8204.PNG,4,●雉猫くるさん,雉猫くるさん,1.0,312.59,4_65M以上〜70M未満,戦力：312591801
IMG_8205.PNG,5,AJuMiN,AyuMiN,0.833,309.06,5_62M以上〜65M未満,戦力：309055030
IMG_8205.PNG,5,いたちごっこゅ,いたちごっこR,0.857,330.93,5_62M以上〜65M未満,戦力：330933969
IMG_8205.PNG,5,ふみっちゃん,ふみっちゃん,1.0,310.68,5_62M以上〜65M未満,戦力：310677212
IMG_8205.PNG,5,ちゃっぴ chappi うやっぴ,ちゃっぴ chappi,0.864,316.08,5_62M以上〜65M未満,戦力：316078344
IMG_8206.PNG,5,© sakimaru,sakimaru,1.0,337.94,5_62M以上〜65M未満,戦力：337935628
IMG_8206.PNG,5,Revo nikoora,Revo nikoora,1.0,318.21,5_62M以上〜65M未満,戦力：318208442
IMG_8206.PNG,5,Pe-suke！,Pe-sukeR,1.0,311.26,5_62M以上〜65M未満,戦力：311257061
IMG_8206.PNG,5,◎きょたぽ,きょたぱ,0.75,283.45,5_62M以上〜65M未満,戦力：283453106
IMG_8207.PNG,5,aDaOETあつし,DaoETあつし,0.99,302.08,5_62M以上〜65M未満,戦力：302081753
IMG_8207.PNG,5,ユパパパ,ユパパパ,1.0,291.53,5_62M以上〜65M未満,戦力：291530529
IMG_8207.PNG,5,◎もこP,もこP,1.0,299.12,5_62M以上〜65M未満,戦力：299122840
IMG_8207.PNG,5,北池袋,北池袋,1.0,338.95,5_62M以上〜65M未満,戦力：338949805
IMG_8208.PNG,5,BWンV 以下の方が選択肢「5」を選びました,,0.0,302.08,5_62M以上〜65M未満,戦力：302081753
IMG_8208.PNG,5,ユパパパ,ユパパパ,1.0,291.53,5_62M以上〜65M未満,戦力：291530529
IMG_8208.PNG,5,◎もご,もこP,0.817,299.12,5_62M以上〜65M未満,戦力：299122840
IMG_8208.PNG,5,北池袋,北池袋,1.0,338.95,5_62M以上〜65M未満,戦力：338949805
IMG_8208.PNG,5,スコア80,スコア80,1.0,281.6,5_62M以上〜65M未満,戦力：281596805
IMG_8209.PNG,7,hiro628,hiro628,1.0,319.98,7_58M以上〜60M未満,戦力：319976291
IMG_8209.PNG,7,むだあむ,だあむ,0.9,263.53,7_58M以上〜60M未満,戦力：263531901
IMG_8209.PNG,7,むはぶーぶ,はぶーぶ,0.95,282.91,7_58M以上〜60M未満,戦力：282907792
IMG_8209.PNG,7,▶torsoboyoo,torsoboy00,1.0,318.63,7_58M以上〜60M未満,戦力：318630808
IMG_8210.PNG,7,以下の方が選択肢「7」を選びました,,0.0,319.98,7_58M以上〜60M未満,戦力：319976291
IMG_8210.PNG,7,むだあむ,だあむ,0.9,263.53,7_58M以上〜60M未満,戦力：263531901
IMG_8210.PNG,7,はぶーぶ,はぶーぶ,1.0,282.91,7_58M以上〜60M未満,戦力：282907792
IMG_8210.PNG,7,torsoboyoo,torsoboy00,1.0,318.63,7_58M以上〜60M未満,戦力：318630808
IMG_8210.PNG,7,tama選手！,tama選手R,1.0,278.56,7_58M以上〜60M未満,戦力：278561219
IMG_8211.PNG,6,枝マメロx,枝マメDx,0.8,293.01,6_60M以上〜62M未満,戦力：293009693
IMG_8211.PNG,6,あつない！,あつないR,1.0,289.96,6_60M以上〜62M未満,戦力：289959706
IMG_8211.PNG,6,Lastかえる丸,LastかえるR,0.875,266.26,6_60M以上〜62M未満,戦力：266260090
IMG_8211.PNG,6,SPD2OT,SPD20T,1.0,303.06,6_60M以上〜62M未満,戦力：303056964
IMG_8212.PNG,6,■■ 以下の方が選択肢「6」を選びました,,0.0,303.06,6_60M以上〜62M未満,戦力：303056964
IMG_8212.PNG,6,Revo nutsua,Revo nutswa,0.9,279.63,6_60M以上〜62M未満,戦力：279626011
IMG_8212.PNG,6,ボッサ,ボッサ,1.0,304.69,6_60M以上〜62M未満,戦力：304685069
IMG_8212.PNG,6,Ririco 9,RiricoR,0.857,278.09,6_60M以上〜62M未満,戦力 ：278092943
IMG_8212.PNG,6,Fateの晚図,Fateの晩风,0.714,271.93,6_60M以上〜62M未満,戦力：271925579
IMG_8213.PNG,8,Nikoruko,Nikoruko,1.0,286.56,8_55M以上〜58M未満,戦力：286557844
IMG_8213.PNG,8,三SUN SUN三,三SUN SUN三,1.0,286.05,8_55M以上〜58M未満,戦力：286054328
IMG_8213.PNG,8,himoペよ星,himoぺよ星,0.857,315.95,8_55M以上〜58M未満,戦力：315954668
IMG_8213.PNG,8,GOLDEN FREEZA,GOLDEN FREEZA,1.0,301.37,8_55M以上〜58M未満,戦力：301371493
IMG_8214.PNG,8,ケロ丸,ケロ丸,1.0,278.01,8_55M以上〜58M未満,戦力：278012346
IMG_8214.PNG,8,Revo 鷲況,Revo 鷹R,1.0,242.81,8_55M以上〜58M未満,戦力：242811666
IMG_8214.PNG,8,PRIUS A,PRIUS A,1.0,286.76,8_55M以上〜58M未満,戦力：286764299
IMG_8214.PNG,8,uhats マイケル,whats マイケル,0.889,268.33,8_55M以上〜58M未満,戦力：268325293
IMG_8215.PNG,8,y RevoFuYuMin,RevoFuYuMin,0.99,273.4,8_55M以上〜58M未満,戦力：273395074
IMG_8215.PNG,8,ちゅうちぇ,ちゅうちぇ,1.0,249.38,8_55M以上〜58M未満,戦力：249380911
