image,raw_name,matched_name,match_score,comment_text,form,first_m,job
IMG_2367.PNG,ATLANTIC HALO,ATLANTIC HALO,1.0,戦車50.93M私エンジニア,戦,50.93,エンジニア
IMG_2367.PNG,AyUMiN,AyuMiN,1.0,戦車64Mえんじにあ,戦,64,
IMG_2371.PNG,JBCC.7,BCCR,0.667,BCC 戦車ルシウス 66.47 ENGINEER,戦,66.47,エンジニア
IMG_2369.PNG,BOSS B,Boss B,1.0,Tank 45.05M Enqineer,戦,45.05,
IMG_2372.PNG,JCHIKO Un,CHIKO un,0.933,戦車73.2M指導者,戦,73.2,指導者
IMG_2365.PNG,jpaOETあつし,DaoETあつし,0.824,戦車64.03M私エンジニア,戦,64.03,エンジニア
IMG_2374.PNG,GOLDEN FREEZA,GOLDEN FREEZA,1.0,戦車57.06Mエンジニア てロ,戦,57.06,エンジニア
IMG_2373.PNG,GinjirouR,GinjirouR,1.0,70.5Mエンジニア,,70.5,エンジニア
IMG_2366.PNG,Hirogeo 9,Hirogeo R,0.875,戦車70.3m指導者 AN,戦,70.3,指導者
IMG_2377.PNG,K18footballer,K18footballer,1.0,戦車 50.96 エンジニア,戦,50.96,エンジニア
IMG_2370.PNG,JK' auil,K’awiil,0.714,航空86.76M 戦争指導者,航,86.76,指導者
IMG_2377.PNG,jLastかえるみ,LastかえるR,0.824,+60.72Mn 指導者,,60.72,指導者
IMG_2366.PNG,Maーー,Maーー,1.0,航空75.9M指導者でする,航,75.9,指導者
IMG_2377.PNG,Nikoruko,Nikoruko,1.0,戦車 58.73Mエンジニア,戦,58.73,エンジニア
IMG_2366.PNG,J0LDヤンガス園,OLDヤンガス,0.75,戦車46.76Mエンジニア,戦,46.76,エンジニア
IMG_2372.PNG,jPHL pjia,PHL Pjia,0.933,Tank 50.32 Engineer 恩,戦,50.32,エンジニア
IMG_2365.PNG,Pe-suke.f,Pe-sukeR,0.857,ルシ戦車62.5Mエンジニア,戦,62.5,エンジニア
IMG_2365.PNG,JRAMETT W,RAMETT vu,0.75,ロケラン79.2M指導者,ロ,79.2,指導者
IMG_2367.PNG,Revo GARO,Revo GARO,1.0,ロケラン78M 指導者,ロ,78,指導者
IMG_2368.PNG,Rev nikoora,Revo nikoora,0.952,ロケラン64.7Mエンジニア,ロ,64.7,エンジニア
IMG_2376.PNG,Revo nutswa,Revo nutswa,1.0,戦車60Mエンジニア,戦,60,エンジニア
IMG_2369.PNG,RevoLove.,RevoLoveR,0.941,航空マ176.71M 指導者 A',航,76.71,指導者
IMG_2376.PNG,RevoSHOBO.7,RevoSHoBoR,0.9,戦車70.3Mエンジニア 品,戦,70.3,エンジニア
IMG_2375.PNG,IRirico .z,RiricoR,0.8,戦車：60.47Mエンジニア,戦,60.47,エンジニア
IMG_2366.PNG,50L265,SOL265,0.667,マーフィー航空 67M エンジニア,航,67,エンジニア
IMG_2373.PNG,5PD20T,SPD20T,0.833,戦車62Mエンジニア,戦,62,エンジニア
IMG_2376.PNG,Shamshie,Shamshie,1.0,"51.40M tank, engineer",戦,51.4,エンジニア
IMG_2374.PNG,ISUPREMO,SÜPRĒMŌ,0.533,51.59m leader,,51.59,指導者
IMG_2370.PNG,JTONKUN,TONKUN,0.923,戦車65.79M エンジニア,戦,65.79,エンジニア
IMG_2376.PNG,Wolvere5523,Wolveress23,0.818,52.85M aircraft engineer A',航,52.85,エンジニア
IMG_2375.PNG,YOSAKOI,YOSAKOI,1.0,戦車57エンジニア,戦,57,エンジニア
IMG_2374.PNG,himoペよ星,himoぺよ星,0.857,せんしゃ58.3mエンジニア,,58.3,エンジニア
IMG_2365.PNG,hiro628,hiro628,1.0,戦車58.6Mエンジニア,戦,58.6,エンジニア
IMG_2366.PNG,jjiitan .218,ji i tan R18,0.842,戦車58.44エンジニア,戦,58.44,エンジニア
IMG_2373.PNG,Jkaaaaat,kaaaaat,0.933,tank 53.67 engineer,戦,53.67,エンジニア
IMG_2369.PNG,jnaphtha Pho,naphtha PhD,0.857,航空71.57M指導者,航,71.57,指導者
IMG_2374.PNG,jpecten,pecten,0.923,戦車44.9M私エンジニア,戦,44.9,エンジニア
IMG_2375.PNG,sakimaru,sakimaru,1.0,戦車64.04Mエンジニア AN,戦,64.04,エンジニア
IMG_2365.PNG,ssi103,ssi103,1.0,=86M 指導者 AN,,86,指導者
IMG_2369.PNG,jtama選手！,tama選手R,0.857,58.50M戦車+私 エンジニア,戦,58.5,エンジニア
IMG_2368.PNG,uhats マイケル,whats マイケル,0.889,戦車58M 私エンジニア,戦,58,エンジニア
IMG_2370.PNG,あつない分,あつないR,0.8,戦車61.79M engineer,戦,61.79,エンジニア
IMG_2375.PNG,いたちごっこタ,いたちごっこR,0.857,+64指導者 AN,,64,指導者
IMG_2365.PNG,かえるchan.！,かえるChanR,0.933,航空（マーフィー）71.22M指導者,航,71.22,指導者
IMG_2370.PNG,きょたぽ,きょたぱ,1.0,ロケラン63.71Mエンジニア A2,ロ,63.71,エンジニア
IMG_2372.PNG,こうしゅう,こうしゅう,1.0,戦車 53.33M エンジニア,戦,53.33,エンジニア
IMG_2371.PNG,だあむ,だあむ,1.0,航空59.41エンジニア,航,59.41,エンジニア
IMG_2368.PNG,ちゃっぴ chappi,ちゃっぴ chappi,1.0,戦車63.69Mエンジニア,戦,63.69,エンジニア
IMG_2375.PNG,ちゅうちぇ,ちゅうちぇ,1.0,戦車57.7エンジニア,戦,57.7,エンジニア
IMG_2373.PNG,はぶーぶ,はぶーぶ,1.0,59.57戦車エンジニア,戦,59.57,エンジニア
IMG_2373.PNG,ふみっちゃん,ふみっちゃん,1.0,ルシウス戦車63Mエンジニア,戦,63,エンジニア
IMG_2370.PNG,ぷるPuru,ぷるPuru,1.0,戦車57.57M指導 -T,戦,57.57,
IMG_2374.PNG,）もるこ5,もこP,0.571,アダスカ59.4M指導者,戦,59.4,指導者
IMG_2374.PNG,カラトリ君,カラトリ君,1.0,戦車67.4私指導者です,戦,67.4,指導者
IMG_2364.PNG,ケロ丸,ケロ丸,1.0,アダスカ56.73エンジニア AN,戦,56.73,エンジニア
IMG_2371.PNG,スコア80,スコア80,1.0,ロケラン64.82エンジニア,ロ,64.82,エンジニア
IMG_2371.PNG,ゾンビ屋響子,ゾンビ屋響子,1.0,戦車62.74エンジニア,戦,62.74,エンジニア
IMG_2367.PNG,ツナ缶食べ隊,ツナ缶食べ隊,1.0,戦車53mエンジニア,戦,53,エンジニア
IMG_2369.PNG,ノンタン,ノンタン,1.0,戦車65.1エンジニア A2,戦,65.1,エンジニア
IMG_2368.PNG,ボッサ,ボッサ,1.0,戦車61M ●エンジニア,戦,61,エンジニア
IMG_2369.PNG,マリオ mario,マリオ mario,1.0,ロケラン70. 8M指導者 A2,ロ,70.8,指導者
IMG_2364.PNG,ヤギサトツ,ヤギサトツ,1.0,航空50.5（ 雲エンジニア,航,50.5,エンジニア
IMG_2372.PNG,ユパパパ,ユパパパ,1.0,戦車63.80Mエンジニアス I,戦,63.8,エンジニア
IMG_2368.PNG,三SUNSUN三,三SUN SUN三,1.0,56.20Mエンジニア,,56.2,エンジニア
IMG_2367.PNG,北池袋園,北池袋,0.857,ルシ戦65.6M指導者,戦,65.6,指導者
IMG_2375.PNG,指揮官の鷹,指揮官の鷹,1.0,ロケラン66.4M 指導者 AN,ロ,66.4,指導者
IMG_2376.PNG,枝マメDX,枝マメDx,1.0,アゴ付き戦車62.31Mエンジン屋,戦,62.31,エンジニア
IMG_2377.PNG,桃nagareda,桃nagareda,1.0,戦車50.01Mエンジニア AN,戦,50.01,エンジニア
IMG_2367.PNG,渋猫選手卵,渋猫選手R,0.8,ロケラン81.76戦争指導者 AN,ロ,81.76,指導者
IMG_2372.PNG,くるKurud,雉猫くるさん,1.0,Tank 66.7 Engineer A：,戦,66.7,エンジニア
IMG_2368.PNG,馬券師もつお,馬券師もつお,1.0,ロケラン71.04M 指導者,ロ,71.04,指導者
IMG_2372.PNG,黒猫 nuda,黒猫 nuda,1.0,航空76.3エンジニア T,航,76.3,エンジニア
