image,option,band,raw_name,matched_name,match_score,power_raw,total_m,name_conf,power_conf
IMG_2340.PNG,1,1_80M以上,K'auiil,K’awiil,1.0,467025470,467.03,0.30,1.00
IMG_2340.PNG,1,1_80M以上,sSi103,ssi103,1.0,452538759,452.54,0.30,1.00
IMG_2340.PNG,1,1_80M以上,渋猫選手！,渋猫選手R,1.0,450345302,450.35,0.30,1.00
IMG_2342.PNG,2,2_75M以上〜80M未満,Maーー,Maーー,1.0,394408865,394.41,0.30,1.00
IMG_2342.PNG,2,2_75M以上〜80M未満,RAMETI VU,Rameπ vu,1.0,363604348,363.6,0.30,0.50
IMG_2342.PNG,2,2_75M以上〜80M未満,Revo GARO,Revo GARO,1.0,430215175,430.22,0.30,1.00
IMG_2341.PNG,2,2_75M以上〜80M未満,Revo Geruge,Revo Geruge,1.0,393636090,393.64,0.50,1.00
IMG_2342.PNG,2,2_75M以上〜80M未満,RevoLoveR,RevoLoveR,1.0,410391167,410.39,0.30,1.00
IMG_2341.PNG,2,2_75M以上〜80M未満,レバブル子,まったり子,1.0,401909444,401.91,1.00,1.00
IMG_2341.PNG,2,2_75M以上〜80M未満,黒猫 nuda,黒猫 nuda,1.0,344223583,344.22,0.50,1.00
IMG_2344.PNG,3,3_70M以上〜75M未満,CHIKO un,CHIKO un,1.0,358129680,358.13,0.50,1.00
IMG_2343.PNG,3,3_70M以上〜75M未満,GinjirouR,GinjirouR,1.0,349371930,349.37,0.50,1.00
IMG_2344.PNG,3,3_70M以上〜75M未満,Hirogeo P,Hirogeo R,1.0,343792116,343.79,0.30,1.00
IMG_2343.PNG,3,3_70M以上〜75M未満,RevosHOBoRe,RevoSHoBoR,1.0,368201860,368.2,0.30,0.50
IMG_2343.PNG,3,3_70M以上〜75M未満,naphtha Pho,naphtha PhD,1.0,389367028,389.37,0.50,1.00
IMG_2344.PNG,3,3_70M以上〜75M未満,かえるchan！,かえるChanR,1.0,352401759,352.4,0.30,0.50
IMG_2344.PNG,3,3_70M以上〜75M未満,マリオ mario,マリオ mario,1.0,387833608,387.83,0.30,0.50
IMG_2343.PNG,3,3_70M以上〜75M未満,馬券師もつお,馬券師もつお,1.0,368906429,368.91,1.00,1.00
IMG_2345.PNG,4,4_65M以上〜70M未満,S0L265,SOL265,1.0,365360333,365.36,0.30,1.00
IMG_2345.PNG,4,4_65M以上〜70M未満,TONKUN,TONKUN,1.0,328836360,328.84,1.00,1.00
IMG_2346.PNG,4,4_65M以上〜70M未満,カラトリ君,カラトリ君,1.0,271452547,271.45,1.00,1.00
IMG_2345.PNG,4,4_65M以上〜70M未満,ノンタン,ノンタン,1.0,318375965,318.38,1.00,1.00
IMG_2346.PNG,4,4_65M以上〜70M未満,北池袋,北池袋,1.0,347454646,347.45,1.00,1.00
IMG_2345.PNG,4,4_65M以上〜70M未満,指揮官の鷹,指揮官の鷹,1.0,353591466,353.59,0.50,1.00
IMG_2346.PNG,4,4_65M以上〜70M未満,くるKurud,雉猫くるさん,1.0,297566839,297.57,0.30,0.50
IMG_2347.PNG,5,5_62M以上〜65M未満,AyuMiN,AyuMiN,1.0,316098659,316.1,0.30,0.50
IMG_2349.PNG,5,5_62M以上〜65M未満,DaOETあつし,DaoETあつし,1.0,336543331,336.54,0.50,1.00
IMG_2349.PNG,5,5_62M以上〜65M未満,Pe-suke！,Pe-sukeR,0.923,296368482,296.37,0.50,1.00
IMG_2348.PNG,5,5_62M以上〜65M未満,Revo nikoora,Revo nikoora,1.0,325553912,325.55,0.50,0.50
IMG_2350.PNG,5,5_62M以上〜65M未満,SPD2OT,SPD20T,1.0,305655327,305.66,0.50,1.00
IMG_2348.PNG,5,5_62M以上〜65M未満,sakimaru,sakimaru,1.0,343089509,343.09,1.00,1.00
IMG_2347.PNG,5,5_62M以上〜65M未満,いたちごっこゅ,いたちごっこR,0.857,337013322,337.01,0.30,1.00
IMG_2349.PNG,5,5_62M以上〜65M未満,きょたぽ,きょたぱ,1.0,289247020,289.25,0.50,1.00
IMG_2347.PNG,5,5_62M以上〜65M未満,ちゃっぴ chappi,ちゃっぴ chappi,1.0,333469747,333.47,0.50,0.50
IMG_2347.PNG,5,5_62M以上〜65M未満,ふみっちゃん,ふみっちゃん,1.0,311216270,311.22,1.00,1.00
IMG_2350.PNG,5,5_62M以上〜65M未満,もご『,もこP,0.333,286118102,286.12,0.30,0.50
IMG_2350.PNG,5,5_62M以上〜65M未満,スコア80,スコア80,1.0,281527248,281.53,1.00,1.00
IMG_2348.PNG,5,5_62M以上〜65M未満,◎ゾンビ屋響子,ゾンビ屋響子,1.0,333214880,333.21,0.50,1.00
IMG_2350.PNG,5,5_62M以上〜65M未満,ユパパパ,ユパパパ,1.0,283190150,283.19,1.00,1.00
IMG_2348.PNG,5,5_62M以上〜65M未満,枝マメロx,枝マメDx,1.0,300022260,300.02,0.30,1.00
IMG_2352.PNG,6,6_60M以上〜62M未満,Fateの晚図,Fateの晩风,0.714,257141559,257.14,0.30,1.00
IMG_2351.PNG,6,6_60M以上〜62M未満,Lastかえる況,LastかえるR,0.875,259984490,259.98,0.30,0.50
IMG_2352.PNG,6,6_60M以上〜62M未満,Revo nutsua,Revo nutswa,0.9,297819894,297.82,0.50,1.00
IMG_2352.PNG,6,6_60M以上〜62M未満,Ririco 9,RiricoR,0.857,284165367,284.17,0.30,0.50
IMG_2351.PNG,6,6_60M以上〜62M未満,あつない！,あつないR,0.889,321269291,321.27,0.30,0.50
IMG_2352.PNG,6,6_60M以上〜62M未満,ボッサ,ボッサ,1.0,308961354,308.96,1.00,1.00
IMG_2353.PNG,7,7_58M以上〜60M未満,Nikoruko,Nikoruko,1.0,275200829,275.2,1.00,1.00
IMG_2353.PNG,7,7_58M以上〜60M未満,himoペよ星,himoぺよ星,0.857,294469907,294.47,0.50,1.00
IMG_2353.PNG,7,7_58M以上〜60M未満,hiro628,hiro628,1.0,300236186,300.24,1.00,1.00
IMG_2354.PNG,7,7_58M以上〜60M未満,Jitan 918,ji i tan R18,0.824,277098595,277.1,0.30,1.00
IMG_2355.PNG,7,7_58M以上〜60M未満,tama選手！,tama選手R,0.923,274746447,274.75,0.30,1.00
IMG_2355.PNG,7,7_58M以上〜60M未満,uhats マイケル,whats マイケル,0.889,306645652,306.65,0.50,0.50
IMG_2353.PNG,7,7_58M以上〜60M未満,だあむ,だあむ,1.0,261652201,261.65,1.00,1.00
IMG_2354.PNG,7,7_58M以上〜60M未満,はぶーぶ,はぶーぶ,1.0,313043066,313.04,1.00,1.00
IMG_2354.PNG,7,7_58M以上〜60M未満,もるロう,もるせら,0.5,275642157,275.64,0.30,1.00
IMG_2358.PNG,8,8_55M以上〜58M未満,EI KAMA,El KAMA,1.0,298147339,298.15,0.30,0.50
IMG_2356.PNG,8,8_55M以上〜58M未満,GOLDEN FREEZA,GOLDEN FREEZA,1.0,302394685,302.39,0.50,1.00
