image,screen_type,event_time,actor_server,actor_alliance,opponent_alliance,target_server,x,y,level,terrain,kind_raw,kind_sheet,action,owner_for_sheet,confidence,time_source,source_text
IMG_2378.PNG,timeline_chat,2026/06/20 09:52:57,,SHA,,#534,249,149,1,密林,密林の村,都市,occupy,SHA,low,image_metadata_inferred,"連盟SHAがLV.1密林の村#534(X:249,Y:149) を占領"
IMG_2378.PNG,timeline_chat,2026/06/17 23:01:00,,RCON,,#480,349,649,3,湿地,湿地の集会場,都市,occupy,RCON,medium,visible_time,"連盟RCONがLV.3湿地の集会場 #480(X:349,Y:649)を占領"
IMG_2378.PNG,timeline_chat,2026/06/17 23:01:00,,GX99,,#480,449,749,2,湿地,湿地の兵舎,都市,occupy,GX99,medium,visible_time,"連盟GX99がLV.2湿地の兵舎 #480(X:449,Y:749)を占領"
IMG_2379.PNG,timeline_chat,2026/06/17 23:01:00,,GX99,,#480,449,749,2,湿地,湿地の兵舎,都市,occupy,GX99,low,previous_image_visible_time,"連盟GX99がLV.2湿地の兵舎 #480(X:449,Y:749)を占領"
IMG_2379.PNG,timeline_chat,2026/06/17 23:01:00,,Bye,,#480,549,749,2,湿地,湿地の兵舎,都市,occupy,Bye,low,previous_image_visible_time,"連盟ByeがLV.2湿地の兵舎 #480(X:549,Y:749)を占領"
IMG_2379.PNG,timeline_chat,2026/06/17 23:01:00,,TkTk,,#480,549,649,3,湿地,湿地の集会場,都市,occupy,TkTk,low,previous_image_visible_time,"連盟TkTkがLV.3湿地の集会場 #480(X:549,Y:649)を占領"
IMG_2379.PNG,timeline_chat,2026/06/17 23:04:00,,BgNa,TkTk,#480,599,699,3,,漁場,漁場,steal,BgNa,medium,visible_time,"連盟BgNaは連盟TKTkのLV.3漁場 #480(X:599,Y:699)を奪い"
IMG_2380.PNG,timeline_chat,2026/06/17 23:04:00,,TkTk,,#480,549,649,3,湿地,湿地の集会場,都市,occupy,TkTk,low,previous_image_visible_time,"連盟TkTkがLV.3湿地の集会場 #480(X:549,Y:649)を占領"
IMG_2380.PNG,timeline_chat,2026/06/17 23:04:00,,BgNa,TkTk,#480,599,699,3,,漁場,漁場,steal,BgNa,medium,visible_time,"連盟BgNaは連盟TKTkのLV.3漁場 #480(X:599,Y:699)を奪い"
IMG_2380.PNG,timeline_chat,2026/06/17 23:04:00,,476C,SsQ,#523,399,499,4,,漁場,漁場,steal,476C,medium,visible_time,"連盟476Cは連盟SSQのLV.4漁場 #523(X:399,Y:499)を奪い"
