reason,target_server,x,y,sheet_row,existing_at,event_time,existing_owner,owner_for_sheet,image,source_text
low_confidence_no_material_change,#509,499,599,1048,2026/06/04 7:55,2026/06/18 11:36:00,476A,476A,IMG_2401.PNG,"連盟476AがLV.4漁場 #509(X:499,Y:599)を 占領"
low_confidence_no_material_change,#523,899,199,1379,2026/06/14 19:12,2026/06/18 16:45:00,MOn,MOn,IMG_2404.PNG,"連盟MOnがLV.1漁場 #523(X:899,Y:199)を 占領"
low_confidence_no_material_change,#503,49,749,705,2026/05/22 23:20,2026/06/19 23:15:00,GX99,GX99,IMG_2417.PNG,"連盟GX99は連盟GX99のLV.2交易地 #503(X:49,Y:749)を奪い"
low_confidence_no_material_change,#534,349,49,1588,2026/05/22 23:15,2026/06/19 23:15:00,RCON,RCON,IMG_2417.PNG,"連盟RCONは連盟RCONのLV.3交易地 #534(X:349,Y:49)を奪い"
low_confidence_no_material_change,#476,249,949,266,2026/05/22 23:15,2026/06/19 23:15:00,476C,476C,IMG_2417.PNG,"連盟476Cは連盟476CのLV.2交易地 #476(X:249,Y:949)> を奪い"
low_confidence_no_material_change,#534,649,49,1584,2026/05/22 23:15,2026/06/19 23:15:00,JDX,JDX,IMG_2418.PNG,"連盟DXは連盟DXのLV.3交易地 #534(X:649,Y:49)を奪い"
low_confidence_no_material_change,#476,749,949,260,2026/05/22 23:26,2026/06/19 23:15:00,476d,476d,IMG_2419.PNG,"連盟476dは連盟476dのLV.2交易地 #476(X:749,Y:949) を奪い"
low_confidence_no_material_change,#503,49,349,709,2026/05/22 23:15,2026/06/19 23:15:00,GX99,GX99,IMG_2419.PNG,"連盟GX99は連盟GX99のLV.3交易地 #503(X:49,Y:349)を奪い"
low_confidence_no_material_change,#534,949,49,1587,2026/05/22 23:15,2026/06/19 23:15:00,476X,476X,IMG_2420.PNG,"連盟476Xは連盟476XのLV.1交易地 #534(X:949,Y:49)を奪い"
low_confidence_no_material_change,#480,349,49,501,2026/06/03 14:21,2026/06/19 23:15:00,RCON,RCON,IMG_2421.PNG,"連盟RCONは連盟RCONのLV.3交易地 #480(X:349,Y:49)を奪い"
low_confidence_no_material_change,#511,49,549,1161,2026/05/22 23:26,2026/06/19 23:15:00,BgNa,BgNa,IMG_2421.PNG,"連盟BgNaは連盟BgNaのLV.4交易地 #511(X:49,Y:549)を奪い"
low_confidence_no_material_change,#509,949,149,946,2026/06/03 22:12,2026/06/19 23:15:00,476B,476B,IMG_2421.PNG,"連盟476Bは連盟476BのLV.1交易地 #509(X:949,Y:149) を奪い"
low_confidence_no_material_change,#503,49,49,706,2026/05/22 23:15,2026/06/19 23:15:00,Lghs,Lghs,IMG_2422.PNG,"連盟Lghsは連盟LghsのLV.1交易地 #503(X:49,Y:49)を奪い"
low_confidence_no_material_change,#476,349,949,259,2026/05/22 23:32,2026/06/19 23:15:00,476C,476C,IMG_2422.PNG,"連盟476Cは連盟476CのLV.3交易地 #476(X:349,Y:949)を奪い"
low_confidence_no_material_change,#476,149,949,265,2026/05/22 23:15,2026/06/19 23:15:00,476C,476C,IMG_2423.PNG,"連盟476Cは連盟476CのLV.1交易地 #476(X:149,Y:949)7 を奪い"
low_confidence_no_material_change,#509,949,749,949,2026/05/22 23:15,2026/06/19 23:15:00,476B,476B,IMG_2423.PNG,"連盟476Bは連盟476BのLV.2交易地 #509(X:949,Y:749)を奪い"
low_confidence_no_material_change,#523,949,149,1355,2026/05/22 23:50,2026/06/19 23:15:00,Lghs,Lghs,IMG_2427.PNG,"連盟Lghsは連盟LghsのLV.1交易地 #523(X:949,Y:149)を奪い"
low_confidence_no_material_change,#480,749,49,496,2026/05/22 23:32,2026/06/19 23:15:00,476d,476d,IMG_2427.PNG,"連盟476dは連盟476dのLV.2交易地 #480(X:749,Y:49)を奪い"
low_confidence_no_material_change,#509,949,849,950,2026/05/22 23:15,2026/06/19 23:15:00,476A,476A,IMG_2428.PNG,"連盟476Aは連盟476AのLV.1交易地 #509(X:949,Y:849)を奪い"
low_confidence_no_material_change,#509,949,349,944,2026/05/22 23:20,2026/06/19 23:15:00,476A,476A,IMG_2430.PNG,"連盟476Aは連盟476AのLV.3交易地 #509(X:949,Y:349)を奪い"
low_confidence_no_material_change,#511,49,849,1168,2026/05/22 23:15,2026/06/19 23:15:00,476Z,476Z,IMG_2430.PNG,"連盟476Zは連盟476zのLV.1交易地 #511(X:49,Y:849)を奪い"
low_confidence_no_material_change,#509,949,49,945,2026/05/22 23:15,2026/06/19 23:15:00,476B,476B,IMG_2430.PNG,"連盟476Bは連盟476BのLV.1交易地 #509(X:949,Y:49)を奪い"
low_confidence_no_material_change,#440,49,949,51,2026/05/22 23:15,2026/06/19 23:15:00,476A,476A,IMG_2431.PNG,"連盟476Aは連盟476AのLV.1交易地 #440(X:49,Y:949) を奪い"
low_confidence_no_material_change,#509,949,449,942,2026/05/22 23:39,2026/06/19 23:15:00,476B,476B,IMG_2432.PNG,"連盟476Bは連盟476BのLV.4交易地 #509(X:949,Y:449)を奪い"
low_confidence_no_material_change,#440,649,949,258,2026/06/04 3:22,2026/06/19 23:15:00,476A,476A,IMG_2432.PNG,"連盟476Aは連盟476AのLV.3交易地 #440(X:649,Y:949)を奪い"
low_confidence_no_material_change,#511,49,149,1163,2026/05/22 23:15,2026/06/19 23:15:00,476d,476d,IMG_2433.PNG,"連盟476dは連盟476dのLV.1交易地 #511(X:49,Y:149)を奪い"
low_confidence_no_material_change,#440,349,949,55,2026/05/22 23:15,2026/06/19 23:15:00,476B,476B,IMG_2433.PNG,"連盟476Bは連盟476BのLV.3交易地 #440(X:349,Y:949)を奪い"
low_confidence_no_material_change,#511,49,649,1167,2026/05/22 23:15,2026/06/19 23:15:00,one,one,IMG_2434.PNG,"連盟oneは連盟oneのLV.3交易地 #511(X:49,Y:649)を奪い"
low_confidence_no_material_change,#476,449,949,257,2026/05/22 23:55,2026/06/19 23:15:00,476A,476A,IMG_2435.PNG,"連盟476Aは連盟476AのLV.4交易地 #476(X:449,Y:949)を奪い"
low_confidence_no_material_change,#476,49,949,261,2026/05/22 23:26,2026/06/19 23:15:00,476B,476B,IMG_2436.PNG,"連盟476Bは連盟476BのLV.1交易地 #476(X:49,Y:949)を奪い"
low_confidence_no_material_change,#440,249,949,54,2026/05/22 23:15,2026/06/19 23:15:00,476A,476A,IMG_2437.PNG,"連盟476Aは連盟476AのLV.2交易地 #440(X:249,Y:949)を奪い"
low_confidence_no_material_change,#480,49,49,500,2026/05/22 23:20,2026/06/19 23:15:00,RCON,RCON,IMG_2437.PNG,"連盟RCONは連盟RCONのLV.1交易地 #480(X:49,Y:49)を奪い"
low_confidence_no_material_change,#509,949,949,951,2026/05/22 23:15,2026/06/19 23:15:00,476B,476B,IMG_2438.PNG,"連盟476Bは連盟476BのLV.1交易地 #509(X:949,Y:949)を奪い"
low_confidence_no_material_change,#503,49,149,707,2026/05/22 23:15,2026/06/19 23:15:00,GX99,GX99,IMG_2439.PNG,"連盟GX99は連盟ByeのLV.1交易地 #503(X:49,Y:149) を奪い"
low_confidence_no_material_change,#480,849,49,495,2026/05/22 23:39,2026/06/19 23:21:00,BgNa,BgNa,IMG_2441.PNG,"連盟BgNaは連盟BgNaのLV.1交易地 #480(X:849,Y:49)を奪い"
low_confidence_no_material_change,#511,49,749,1160,2026/05/22 23:39,2026/06/19 23:34:00,476B,476B,IMG_2444.PNG,"連盟476Bは連盟476BのLV.2交易地 #511(X:49,Y:749)を奪い"
low_confidence_no_material_change,#503,49,949,714,2026/05/22 23:15,2026/06/19 23:49:00,UMN,UMN,IMG_2445.PNG,"連盟UMNは連盟UMNのLV.1交易地 #503(X:49,Y:949)を奪い"
