sheet_row,position_key,target_server,x,y,previous_type,previous_owner,previous_acquired_at,new_type,new_owner,new_acquired_at,image,action,time_source,source_text
120,#440:c-16,#440,749,249,都市,,,都市,破壊,2026/06/17 00:00,IMG_2452.PNG,destroy,visible_datetime,"#503[5tjが#440領有中のLv.2都市#440(749,249)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました 2026-6-17 00:00:50"
1412,#523:a-6,#523,249,49,都市,,,都市,破壊,2026/06/17 00:02,IMG_2452.PNG,destroy,visible_datetime,"#511[2N7]が#523領有中のLV.1都市#523(249,49)を攻 撃し、陣営のために破壊宝箱xを勝ち取りました 2026-6-17 00:02:04"
107,#440:b-16,#440,749,149,都市,,,都市,破壊,2026/06/17 02:03,IMG_2452.PNG,destroy,visible_datetime,"#523[NBNH]が#440領有中のLV.1都市#440(749,149)を 攻撃し、陣営のために破壊宝箱x2を勝ち取りました 2026-6-17 02:03:02"
1007,#509:b-4,#509,149,149,都市,eXt,2026/05/31 4:34,都市,破壊,2026/06/17 04:02,IMG_2452.PNG,destroy,visible_datetime,"#476[476d]が#509[ext]領有中のLV.1都市 #509(149,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 2026-6-17 04:02:18"
22,#440:b-12,#440,549,149,都市,DOLU,2026/05/24 5:17,都市,破壊,2026/06/17 04:04,IMG_2453.PNG,destroy,visible_datetime,"#523[50Uが#440領有中のLV.1都市#440(549,149)を 攻撃し、陣営のために破壊宝箱xをち取りました 2026-6-17 04:04:34"
23,#440:b-14,#440,649,149,都市,DOLU,2026/05/24 5:17,都市,破壊,2026/06/17 04:08,IMG_2453.PNG,destroy,visible_datetime,"#523[WUG]が#440領有中のLV.1都市#440(649,149)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-6-17 04:08:26"
91,#440:a-14,#440,649,49,都市,,,都市,破壊,2026/06/17 04:13,IMG_2453.PNG,destroy,visible_datetime,"#523[K4TRが#440領有中のLV.1都市#440(649,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-6-17 04:13:42"
72,#440:g-10,#440,449,649,都市,GcC,2026/05/20 23:01,都市,破壊,2026/06/17 04:13,IMG_2454.PNG,destroy,visible_datetime,"#476[476Aが#440[Gcc]領有中のLV.3都市 #440(449,649)を攻撃し、陣営のために破壊宝箱＊10を 勝ち取りました 2026-6-17 04:13:55"
1504,#523:h-2,#523,49,749,都市,,,都市,破壊,2026/06/17 04:14,IMG_2454.PNG,destroy,visible_datetime,"#534[KTVS]が#523[u30]領有中のLV.1都市#523(49,749)を 攻撃し、陣営のために破壊宝箱x2を勝ち取りました 2026-6-17 04:14:49"
1489,#523:g-2,#523,49,649,都市,,,都市,破壊,2026/06/17 04:14,IMG_2454.PNG,destroy,visible_datetime,"#534[JDX]が#523[u30]領有中のLV.1都市#523(49,649)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-6-17 04:14:51"
1506,#523:h-4,#523,149,749,都市,u3o,2026/06/11 0:01,都市,破壊,2026/06/17 04:16,IMG_2454.PNG,destroy,visible_datetime,"#534[KTVSが#523[u30]領有中のLV.1都市#523(149,749)を 攻撃し、陣宮のために破壊宝額＊2を勝ち取りました 2026-6-17 04:16:12"
1049,#509:g-12,#509,549,649,都市,FHX,2026/05/28 0:11,都市,破壊,2026/06/17 04:17,IMG_2454.PNG,destroy,visible_datetime,"#476[476A]が#509[FHX]領有中のLV.3都市 #509(549,649)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました 2026-6-17 04:17:57"
200,#440:i-2,#440,49,849,都市,,,都市,破壊,2026/06/17 04:39,IMG_2455.PNG,destroy,visible_datetime,"#480[BgNa]が#440[GoDs]領有中のLV.1都市 #440(49,849)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 2026-6-17 04:39:55"
1208,#511:a-10,#511,449,49,都市,2N7,2026/05/30 11:01,都市,破壊,2026/06/17 04:48,IMG_2455.PNG,destroy,visible_datetime,"#523[NBNH]が#511[2N7]領有中のLV.1都市#511(449,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-6-17 04:48:53"
1398,#523:g-8,#523,349,649,都市,fIrE,2026/05/20 0:00,都市,破壊,2026/06/17 12:01,IMG_2455.PNG,destroy,visible_datetime,"#509[5s0]が#523領有中のLV.3都市#523(349,649)を攻 撃し、陣営のために破壊宝箱*10を勝ち取りました 2026-6-17 12:01:58"
40,#440:d-16,#440,749,349,都市,DOLU,2026/05/24 2:34,都市,破壊,2026/06/17 12:02,IMG_2455.PNG,destroy,visible_datetime,"#503[TIKWが#440[TaW]領有中のLv.2都市 #440(749,349)を攻撃し、陣営のために破壊宝箱*5を勝 ち取りました 2026-6-17 12:02:07"
1336,#523:b-6,#523,249,149,都市,K4TR,2026/05/24 0:45,都市,破壊,2026/06/17 12:02,IMG_2455.PNG,destroy,visible_datetime,"#511[2N7]が#523[K4TR]領有中のLV.1都市#523(249,149)を 攻撃し、陣営のために破壊宝着xを勝ち取りました 2026-6-17 12:02:17"
1346,#523:h-12,#523,549,749,都市,u3o,2026/05/24 2:21,都市,破壊,2026/06/17 12:02,IMG_2456.PNG,destroy,visible_datetime,"#509[BHE]が#523[WUG]領有中のLV.2都市 #523(549,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-6-17 12:02:31"
1385,#523:g-12,#523,549,649,都市,WUG,2026/05/21 0:00,都市,破壊,2026/06/17 12:02,IMG_2456.PNG,destroy,visible_datetime,"#509[FHX]が#523[WUG]領有中のLV.3都市 #523(549,649)を攻撃し、陣営のために破壊宝箱＊10を 勝ち取りました 2026-6-17 12:02:53"
