target_server,coord,x,y,event_time,frame,source_text
#440,a-6,249,49,2026-6-1012:56:17,frame_0247,"#523[K4TR]が#440領有中のL.1都市#440(249,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#440,a-8,349,49,2026-6-1312:21:08,frame_0278,"#523【EDFS」が#440領有中のLV.1都市#440(349,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#440,a-10,449,49,2026-6-1312:37:48,frame_0288,"#523[NBNH]が#440[WoW3]領有中のL.1都市 #440(449,49)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#440,a-12,549,49,2026-6-1320:23:17,frame_0295,"#523[50U]が#440[WoW3]領有中のLV.1都市 #440(549,49)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました"
#440,a-14,649,49,2026-6-1704:08:26,frame_0305,"#523[K4TR]が#440領有中のL.1都市#440(649,49)を 一トtル1 エぷうナエニーアは山気 ・zトヨ54= ← 確定 全て受取 目 破壊履歴"
#440,a-16,749,49,2026-6-1704:02:18,frame_0302,"#523[EDFS」が#440[DOLU]領有中のLV.1都市 #440(749,49)を攻撃し、陣営のために破壊宝額xを勝 ち取りました"
#440,a-18,849,49,2026-6-1704:04:34,frame_0305,"#503[CO2y]が#440[D0LU]領有中のLV.1都市 #440(849,49)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#440,a-20,949,49,2026-6-2004:24:32,frame_0339,"#503[COZy]が#440[DOLU]領有中のLV.1都市 #440(949,49)を攻撃し、陣営のために破壊宝箱xを勝 十町5汁一土 碓定 全て受取 目 破壊履歴"
#440,b-6,249,149,2026-6-1012:18:10,frame_0233,"#476[476M]が#440領有中のLV.1都市#440(249,149)を 確定 全て受取 破壊履歴"
#440,b-8,349,149,2026-6-1012:43:46,frame_0244,"#476[476z]が#440領有中のL.1都市#440(349,149)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#440,b-10,449,149,2026-6-1312:02:55,frame_0270,"#476[4762]が#440[WoW3】領有中のL.1都市 #440(449,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
