server,coord,row,current_owner,current_acquired_at,event_time,frame,source_text
#509,b-2,1005,SHA,2026/05/30 11:01,2026-6-1320:43:18,frame_0298,"#503[GX99」が#534[SHA】領有中のLV.1都市 #509(49,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#509,b-6,1009,VEX,,2026-6-1704:02:56,frame_0303,"#476[476d]が#509[VEX]領有中のL.1都市 #509(249,149)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました"
#480,b-20,481,Digg,2026/05/24 9:53,2026-6-1720:37:37,frame_0336,"#440[TaW」が#480[AAOA]領有中のLV.1都市 #480(949,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#480,c-20,576,,,2026-6-2020:04:50,frame_0357,"#440[TaW」が#480[pigg]領有中のLV.1都市 #480(949,249)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#480,g-16,615,BgNa,2026/06/03 11:01,2026-6-2012:48:47,frame_0353,"#440[Gcc]が#480[BgNa]領有中のL.2都市 #480(749,649)を攻撃し、陣営のために破壊宝箱x5を勝 碓定 全て受取 目 破壊履歴"
#480,h-14,625,WbW,2026/05/30 11:01,2026-6-2012:46:58,frame_0353,"#440[BA」】が#480[Wbu]領有中のLv.2都市 #480(649,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#440,a-10,87,,,2026-6-1312:37:48,frame_0288,"#523[NBNH]が#440[WoW3]領有中のL.1都市 #440(449,49)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#440,a-16,93,,,2026-6-1704:02:18,frame_0302,"#523[EDFS」が#440[DOLU]領有中のLV.1都市 #440(749,49)を攻撃し、陣営のために破壊宝額xを勝 ち取りました"
#440,a-18,95,,,2026-6-1704:04:34,frame_0305,"#503[CO2y]が#440[D0LU]領有中のLV.1都市 #440(849,49)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#440,a-20,73,DOLU,2026/05/20 17:20,2026-6-2004:24:32,frame_0339,"#503[COZy]が#440[DOLU]領有中のLV.1都市 #440(949,49)を攻撃し、陣営のために破壊宝箱xを勝 十町5汁一土 碓定 全て受取 目 破壊履歴"
#440,b-10,3,WoW3,2026/05/27 18:15,2026-6-1312:02:55,frame_0270,"#476[4762]が#440[WoW3】領有中のL.1都市 #440(449,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#440,b-18,109,,,2026-6-1312:37:56,frame_0288,"#503[fzn」が#440[DOLU]領有中のLV.1都市 #440(849,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#440,b-20,111,,,2026-6-1312:36:00,frame_0285,"#503[f2n]が#440[DOLU]領有中のLV.1都市 #440(949,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 碓定 全て受取 目 破壊履歴"
#440,c-20,124,,,2026-6-1312:29:23,frame_0281,"#503[CO2g]が#440領有中のLV.1都市#440(949,249)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#440,d-10,130,GcC,2026/06/07 3:39,2026-6-1312:51:15,frame_0292,"#476[476B】が#440[Gcc]領有中のLV.3都市 #440(449,349)を攻撃し、陣営のために破壊宝箱*10を 勝ち取りました"
#440,d-14,27,BAJ,2026/05/23 21:05,2026-6-1312:05:54,frame_0273,"#476[476]が#440[BA」]領有中のL.3都市 #440(649,349)を攻撃し、陣営のために破壊宝箱*10を 勝ち取りました"
