image,screen_type,event_time,actor_server,actor_alliance,opponent_alliance,target_server,x,y,level,terrain,kind_raw,kind_sheet,action,owner_for_sheet,confidence,time_source,source_text
frame_0001.png,history_modal,2026/05/27 00:02:18,#480,CDf8,,#511,949,949,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#480[CDf8]が#511領有中のLV.1都市#511(949,949)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:02:18"
frame_0001.png,history_modal,2026/05/27 00:11:44,#476,4762,,#509,249,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[4762]が#509領有中のLV.1都市#509(249,49)を 攻撃し、陣営のために破壊宝箱xをち取りました 2026-5-27 00:11:44"
frame_0001.png,history_modal,2026/05/27 00:35:38,#476,ALj,,#509,349,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[ALj]が#509領有中のLV.1都市#509(349,49)を攻 撃し、陣営のために破壊宝箱xをち取りました 2026-5-27 00:35:38"
frame_0002.png,history_modal,2026/05/27 00:02:18,#480,CDf8,,#511,949,949,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#480[CDf8が#511領有中のLV.1都市#511(949,949)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:02:18"
frame_0002.png,history_modal,2026/05/27 00:11:44,#476,476z,,#509,249,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[476z]が#509領有中のLV.1都市#509(249,49)を 攻撃し、陣営のために破壊宝箱xをち取りました 2026-5-27 00:11:44"
frame_0002.png,history_modal,2026/05/27 00:35:38,#476,ALj,,#509,349,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[ALj]が#509領有中のLV.1都市#509(349,49)を攻 撃し、陣営のために破壊宝箱xをち取りました 2026-5-27 00:35:38"
frame_0003.png,history_modal,2026/05/27 00:02:18,#480,CDf8,,#511,949,949,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#480[CDf8が#511領有中のLV.1都市#511(949,949)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:02:18"
frame_0003.png,history_modal,2026/05/27 00:11:44,#476,476z,,#509,249,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[476z]が#509領有中のLV.1都市#509(249,49)を 攻撃し、陣営のために破壊宝箱xをち取りました 2026-5-27 00:11:44"
frame_0003.png,history_modal,2026/05/27 00:35:38,#476,ALj,,#509,349,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[ALj]が#509領有中のLV.1都市#509(349,49)を攻 撃し、陣営のために破壊宝箱xをち取りました 2026-5-27 00:35:38"
frame_0004.png,history_modal,2026/05/27 00:02:18,#480,CDf8,,#511,949,949,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#480[CDf8が#511領有中のLV.1都市#511(949,949)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:02:18"
frame_0004.png,history_modal,2026/05/27 00:11:44,#476,476z,,#509,249,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[476z]が#509領有中のLV.1都市#509(249,49)を 攻撃し、陣営のために破壊宝箱xをち取りました 2026-5-27 00:11:44"
frame_0004.png,history_modal,2026/05/27 00:35:38,#476,ALj,,#509,349,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[ALj]が#509領有中のLV.1都市#509(349,49)を攻 撃し、陣営のために破壊宝箱xをち取りました 2026-5-27 00:35:38"
frame_0005.png,history_modal,2026/05/27 00:04:30,#480,CDf8,,#511,949,849,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#480[CDf8]が#511領有中のLV.1都市#511(949,849)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:04:30"
frame_0005.png,history_modal,2026/05/27 00:11:44,#476,4762,,#509,249,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[4762]が#509領有中のLV.1都市#509(249,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:11:44"
frame_0005.png,history_modal,2026/05/27 00:17:43,#476,4762,,#509,149,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[4762]が#509領有中のLV.1都市#509(149,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:17:43"
frame_0005.png,history_modal,2026/05/27 00:35:38,#476,ALj,,#509,349,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[ALj]が#509領有中のLV.1都市#509(349,49)を攻 撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:35:38"
frame_0005.png,history_modal,2026/05/27 00:52:11,#476,ALj,,#509,449,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[AL]が#509領有中のLV.1都市#509(449,49)を攻 撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:52:11"
frame_0006.png,history_modal,2026/05/27 00:11:44,#476,4762,,#509,249,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[4762]が#509領有中のLV.1都市#509(249,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:11:44"
frame_0006.png,history_modal,2026/05/27 00:17:43,#476,4762,,#509,149,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[4762]が#509領有中のLV.1都市#509(149,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:17:43"
frame_0006.png,history_modal,2026/05/27 00:35:38,#476,ALj,,#509,349,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[ALj]が#509領有中のLV.1都市#509(349,49)を攻 撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:35:38"
frame_0006.png,history_modal,2026/05/27 00:52:11,#476,ALj,,#509,449,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[AL]が#509領有中のLV.1都市#509(449,49)を攻 撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:52:11"
frame_0006.png,history_modal,2026/05/27 03:04:40,#476,476K,,#509,649,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[476K]が#509領有中のLV.1都市#509(649,49)を 攻撃し、陣営のために破壊宝箱x2をち取りました 2026-5-27 03:04:40"
frame_0007.png,history_modal,2026/05/27 00:17:43,#476,4762,,#509,149,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[4762]が#509領有中のLV.1都市#509(149,49)を 攻撃し、陣営のために破壊宝箱x2を勝ち取りました 2026-5-27 00:17:43"
frame_0007.png,history_modal,2026/05/27 00:35:38,#476,ALj,,#509,349,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[ALj]が#509領有中のLV.1都市#509(349,49)を攻 撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:35:38"
frame_0007.png,history_modal,2026/05/27 00:52:11,#476,ALj,,#509,449,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[ALjが#509領有中のLV.1都市#509(449,49)を攻 撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:52:11"
frame_0007.png,history_modal,2026/05/27 03:04:40,#476,476K,,#509,649,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[476K]が#509領有中のLV.1都市#509(649,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 03:04:40"
frame_0008.png,history_modal,2026/05/27 00:17:43,#476,4762,,#509,149,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[4762]が#509領有中のLV.1都市#509(149,49)を 攻撃し、陣営のために破壊宝箱x2を勝ち取りました 2026-5-27 00:17:43"
frame_0008.png,history_modal,2026/05/27 00:35:38,#476,ALj,,#509,349,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[AL]が#509領有中のLV.1都市#509(349,49)を攻 撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:35:38"
frame_0008.png,history_modal,2026/05/27 00:52:11,#476,ALj,,#509,449,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[ALjが#509領有中のLV.1都市#509(449,49)を攻 撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:52:11"
frame_0008.png,history_modal,2026/05/27 03:04:40,#476,476K,,#509,649,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[476K]が#509領有中のLV.1都市#509(649,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 03:04:40"
frame_0008.png,history_modal,2026/05/27 03:09:40,#475,476K,,#509,549,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#475[476k]が#509領有中のLV.1都市#509(549,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 03:09:40"
frame_0009.png,history_modal,2026/05/27 00:52:11,#476,ALj,,#509,449,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[ALj]が#509領有中のLV.1都市#509(449,49)を攻 撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:52:11"
frame_0009.png,history_modal,2026/05/27 03:04:40,#476,476K,,#509,649,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[476K]が#509領有中のLV.1都市#509(649,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 03:04:40"
frame_0009.png,history_modal,2026/05/27 03:09:40,#476,476K,,#509,549,49,1,,都市,都市,destroy,破壊,medium,visible_datetime,"#476[476K]が#509領有中のLV.1都市#509(549,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 03:09:40"
