reason,target_server,x,y,sheet_row,existing_at,event_time,existing_owner,owner_for_sheet,image,source_text,existing_type,event_type,kind_sheet
existing_newer,#511,949,949,1190,2026/05/28 0:02,2026/05/27 00:02:18,破壊,破壊,frame_0001.png,"#480[CDf8]が#511領有中のLV.1都市#511(949,949)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:02:18",,,
existing_newer,#511,949,849,1310,2026/05/28 0:04,2026/05/27 00:04:30,破壊,破壊,frame_0005.png,"#480[CDf8]が#511領有中のLV.1都市#511(949,849)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:04:30",,,
existing_newer,#509,249,49,998,2026/05/28 0:11,2026/05/27 00:11:44,破壊,破壊,frame_0001.png,"#476[4762]が#509領有中のLV.1都市#509(249,49)を 攻撃し、陣営のために破壊宝箱xをち取りました 2026-5-27 00:11:44",,,
existing_newer,#509,149,49,996,2026/05/28 0:17,2026/05/27 00:17:43,破壊,破壊,frame_0005.png,"#476[4762]が#509領有中のLV.1都市#509(149,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:17:43",,,
existing_newer,#509,349,49,1000,2026/05/28 0:35,2026/05/27 00:35:38,破壊,破壊,frame_0001.png,"#476[ALj]が#509領有中のLV.1都市#509(349,49)を攻 撃し、陣営のために破壊宝箱xをち取りました 2026-5-27 00:35:38",,,
existing_newer,#509,449,49,989,2026/05/28 0:52,2026/05/27 00:52:11,破壊,破壊,frame_0005.png,"#476[AL]が#509領有中のLV.1都市#509(449,49)を攻 撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 00:52:11",,,
existing_newer,#509,649,49,993,2026/05/28 3:04,2026/05/27 03:04:40,破壊,破壊,frame_0006.png,"#476[476K]が#509領有中のLV.1都市#509(649,49)を 攻撃し、陣営のために破壊宝箱x2をち取りました 2026-5-27 03:04:40",,,
existing_newer,#509,549,49,991,2026/05/28 3:09,2026/05/27 03:09:40,破壊,破壊,frame_0008.png,"#475[476k]が#509領有中のLV.1都市#509(549,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 03:09:40",,,
existing_newer,#480,249,149,566,2026/05/28 4:37,2026/05/27 04:37:22,破壊,破壊,frame_0011.png,"#440[GoDs]が#480[PmP]領有中のLV.1都市 #480(249,149)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました 2026-5-27 04:37:22",,,
existing_newer,#511,149,249,1250,2026/05/28 10:36,2026/05/27 10:36:13,破壊,破壊,frame_0011.png,"#523[50Uが#511領有中のLV.1都市#511(149,249)を 攻撃し、陣営のために破壊宝箱x2を勝ち取りました 2026-5-27 10:36:13",,,
