sheet_row,position_key,target_server,x,y,previous_type,previous_owner,previous_acquired_at,new_type,new_owner,new_acquired_at,image,action,time_source,source_text
1222,#511:a-6,#511,249,49,都市,破壊,2026/05/27 12:14,都市,破壊,2026/05/27 12:14,frame_0027.png,destroy,visible_datetime,"#523[u30が#511領有中のLV.1都市#511(249,49)を攻 撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 12:14:39"
1317,#511:j-12,#511,549,949,都市,破壊,2026/05/27 15:32,都市,破壊,2026/05/27 15:32,frame_0053.png,destroy,visible_datetime,"#476[476M]が#511領有中のLV.1都市#511(549,949)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 15:32:53"
1312,#511:i-4,#511,149,849,都市,破壊,2026/05/27 19:02,都市,破壊,2026/05/27 19:02,frame_0054.png,destroy,visible_datetime,"#523[NBNH]が#511領有中のLV.1都市#511(149,849)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 19:02:21"
528,#480:d-8,#480,349,349,都市,破壊,2026/05/27 20:01,都市,破壊,2026/05/27 20:01,frame_0056.png,destroy,visible_datetime,"#440[BA]が#480[Wbu]領有中のLV.3都市 #480(349,349)を攻撃し、陣営のために破壊宝箱＊10を 勝ち取りました 2026-5-27 20:01:40"
1651,#534:d-12,#534,549,349,都市,破壊,2026/05/27 20:02,都市,破壊,2026/05/27 20:02,frame_0057.png,destroy,visible_datetime,"#476[476が#534[JDX]領有中のLV3都市 #534(549,349)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました 2026-5-27 20:02:15"
424,#476:i-2,#476,49,849,都市,破壊,2026/05/27 20:02,都市,破壊,2026/05/27 20:02,frame_0058.png,destroy,visible_datetime,"#534[n09]が#476[476H]領有中のLV.1都市#476(49,849)を 攻撃し、陣営のために破壊宝額＊を勝ち取りました 2026-5-27 20:02:38"
1018,#509:d-12,#509,549,349,都市,破壊,2026/05/27 20:04,都市,破壊,2026/05/27 20:04,frame_0061.png,destroy,visible_datetime,"#476[476A]が#509[5S0]領有中のLV.3都市 #509(549,349)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました 2026-5-27 20:04:04"
1604,#534:d-14,#534,649,349,都市,破壊,2026/05/27 20:04,都市,破壊,2026/05/27 20:04,frame_0061.png,destroy,visible_datetime,"#476[476B]が#534[JDX]領有中のLV.3都市 #534(649,349)を攻撃し、陣営のために破壊宝額*10を 勝ち取りました 2026-5-27 20:04:34"
529,#480:d-10,#480,449,349,都市,破壊,2026/05/27 20:12,都市,破壊,2026/05/27 20:12,frame_0062.png,destroy,visible_datetime,"#440[Gcc]が#480[BgNa]領有中のLV.3都市 #480(449,349)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました 2026-5-27 20:12:18"
975,#509:d-10,#509,449,349,都市,破壊,2026/05/27 20:17,都市,破壊,2026/05/27 20:17,frame_0063.png,destroy,visible_datetime,"#476[476A]が#509[550]領有中のLv.3都市 #509(449,349)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました 2026-5-27 20:17:55"
1189,#511:g-10,#511,449,649,都市,破壊,2026/05/27 20:20,都市,破壊,2026/05/27 20:20,frame_0066.png,destroy,visible_datetime,"#480[WbWが#511[DaNG]領有中のLv.3都市 #511(449,649)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました 2026-5-27 20:20:19"
1197,#511:e-8,#511,349,449,都市,破壊,2026/05/27 20:23,都市,破壊,2026/05/27 20:23,frame_0065.png,destroy,visible_datetime,"#523[WUG]が#511[JL0]領有中のLV.3都市#511(349,449)を ⑦ 攻撃し、陣営のために破壊宝箱※10を勝ち取りました 2026-5-27 20:23:12"
1077,#509:i-16,#509,749,849,都市,破壊,2026/05/27 20:23,都市,破壊,2026/05/27 20:23,frame_0067.png,destroy,visible_datetime,"#503[UMNが#509[OTT]領有中のLV.1都市 #509(749,849)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました 2026-5-27 20:23:18"
530,#480:d-12,#480,549,349,都市,破壊,2026/05/27 20:23,都市,破壊,2026/05/27 20:23,frame_0070.png,destroy,visible_datetime,"#440[Gcc]が#480[Wbu]領有中のLV.3都市 #480(549,349)を攻撃し、陣営のために破壊宝額*10を 勝ち取りました 2026-5-27 20:23:21"
1293,#511:g-6,#511,249,649,都市,破壊,2026/05/27 20:25,都市,破壊,2026/05/27 20:25,frame_0069.png,destroy,visible_datetime,"#523[WUG]が#511[JL0]領有中のLv.2都市#511(249,649)を 攻撃し、陣営のために破壊宝額x5を勝ち取りました 2026-5-27 20:25:53"
1290,#511:g-20,#511,949,649,都市,破壊,2026/05/30 0:08,都市,破壊,2026/05/30 00:08,frame_0069.png,destroy,visible_datetime,"#480[cDf8]が#511領有中のLV.1都市#511(949,649)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-30 00:08:17"
1017,#509:c-8,#509,349,249,都市,破壊,2026/05/30 4:02,都市,破壊,2026/05/30 04:02,frame_0070.png,destroy,visible_datetime,"#476[476dが#509[VEX]領有中のLV.2都市 #509(349,249)を攻撃し、陣営のために破壊宝箱★5を勝 ち取りました 2026-5-30 04:02:33"
476,#480:e-6,#480,249,449,都市,破壊,2026/05/30 4:03,都市,破壊,2026/05/30 04:03,frame_0075.png,destroy,visible_datetime,"#440[G0Ds]が#480[TkTk]領有中のLV.2都市 #480(249,449)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-30 04:03:49"
1221,#511:a-4,#511,149,49,都市,破壊,2026/05/30 4:07,都市,破壊,2026/05/30 04:07,frame_0073.png,destroy,visible_datetime,"#523[u30]が#511[5Vh]領有中のLV.1都市#511(149,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-30 04:07:43"
1198,#511:g-8,#511,349,649,都市,破壊,2026/05/30 4:11,都市,破壊,2026/05/30 04:11,frame_0074.png,destroy,visible_datetime,"#523[WUG]が#511[JL0]領有中のLV.3都市#511(349,649)を 攻撃し、陣営のために破壊宝箱＊10を勝ち取りました 2026-5-30 04:11:00"
908,#509:b-16,#509,749,149,都市,破壊,2026/05/30 4:31,都市,破壊,2026/05/30 04:31,frame_0075.png,destroy,visible_datetime,"#503[one]が#509[OUM]領有中のLV.1都市 #509(749,149)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました 2026-5-30 04:31:10"
972,#509:h-8,#509,349,749,都市,破壊,2026/05/30 4:43,都市,破壊,2026/05/30 04:43,frame_0076.png,destroy,visible_datetime,"#503[fznが#509[BHE]領有中のLV.2都市#509(349,749)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました 2026-5-30 04:43:19"
1210,#511:a-12,#511,549,49,都市,破壊,2026/05/30 4:48,都市,破壊,2026/05/30 04:48,frame_0077.png,destroy,visible_datetime,"#523[K4TRが#511領有中のLV.1都市#511(549,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-30 04:48:18"
928,#509:c-12,#509,549,249,都市,破壊,2026/05/30 12:01,都市,破壊,2026/05/30 12:01,frame_0079.png,destroy,visible_datetime,"#476[476d]が#509[VEX]領有中のLV.2都市 #509(549,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-30 12:01:48"
