target_server,coord,x,y,event_time,actor_server,actor_alliance,defender_alliance,level,text_color,destroyed_by,frame,timestamp_sec,raw_text
#440,a-6,249,49,2026-6-10 12:56:1,#523,K4TR,,1,red,enemy,range01_frame_000496.png,247.5,"#523[K4TR]が#440領有中のLv.1都市 #440(249,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,a-8,349,49,2026-6-13 12:23:1,#523,EDFS,,1,blue,ally,range01_frame_000555.png,277.0,"#523[EDFS]が#440領有中のLv.1都市 #440(349,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,a-10,449,49,2026-6-13 12:37:4,#523,NBNH,WoW3,1,red,enemy,range01_frame_000577.png,288.0,"#523[NBNH]が#440[WoW3]領有中のLv.1都市#440(449,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,a-12,549,49,2026-6-13 20:23:1,#523,5DU,WoW3,1,red,enemy,range01_frame_000593.png,296.0,"#523[5DU]が#440[WoW3]領有中のLv.1都市#440(549,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,a-14,649,49,2026-6-17 04:13:4,#523,K4TR,GcC,1,red,enemy,range01_frame_000613.png,306.0,"#523[K4TR]が#440[GcC]領有中のLv.1都市 #440(649,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,a-16,749,49,2026-6-17 04:02:5,#523,EDFS,DOLU,1,red,enemy,range01_frame_000605.png,302.0,"#523[EDFS]が#440[DOLU]領有中のLv.1都市#440(749,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,a-18,849,49,2026-6-17 04:07:4,#503,COZy,DOLU,1,red,enemy,range01_frame_000607.png,303.0,"#503[COZy]が#440[DOLU]領有中のLv.1都市 #440(849,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,a-20,949,49,2026-6-17 20:37:3,#503,COZy,DOLU,1,red,enemy,range01_frame_000677.png,338.0,"#503[COZy]が#440[DOLU]領有中のLv.1都市 #440(949,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,b-6,249,149,2026-6-10 12:19:4,#476,476M,,1,red,enemy,range01_frame_000466.png,232.5,"#476[476M]が#440領有中のLv.1都市 #440(249,149)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,b-8,349,149,2026-6-10 12:43:4,#476,476Z,,1,red,enemy,range01_frame_000492.png,245.5,"#476[476Z]が#440領有中のLv.1都市#440(349,149)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,b-10,449,149,2026-6-13 12:04:5,#476,476Z,UoW3,1,red,enemy,range01_frame_000540.png,269.0,"#476[476Z]が#440[UoW3]領有中のLv.1都市 #440(449,149)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,b-12,549,149,2026-6-17 04:04:3,#523,5DU,,1,red,enemy,range01_frame_000605.png,302.0,"#523[5DU]が#440領有中のLv.1都市#440(549,149)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,b-14,649,149,2026-6-17 04:08:2,#523,WUG,,1,red,enemy,range01_frame_000613.png,306.0,"#523[WUG]が#440領有中のLv.1都市 #440(649,149)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,b-16,749,149,2026-6-17 00:02:00,#523,NBNH,,1,red,enemy,range01_frame_000604.png,301.0,"#523[NBNH]が#440領有中のLv.1都市#440(749,149)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,b-18,849,149,2026-6-13 12:37:5,#503,fzn,DOLU,1,red,enemy,range01_frame_000575.png,287.0,"#503[fzn]が#440[DOLU]領有中のLv.1都市 #440(849,149)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,b-20,949,149,2026-6-13 12:36:0,#503,fzn,DOLU,1,red,enemy,range01_frame_000575.png,287.0,"#503[fzn]が#440[DOLU]領有中のLv.1都市 #440(949,149)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,,676,241,,#476,476A,e-61,2,red,enemy,range01_frame_000448.png,223.5,"#476[476A]が#440[e-61]領有中のLv.2都市 #440(676,241)…"
#440,c-2,49,249,2026-6-3 12:45:5,#476,476M,,1,red,enemy,range01_frame_000332.png,165.5,"#476[476M]が#440領有中のLv.1都市 #440(49,249)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,c-4,149,249,2026-6-6 12:24:0,#476,476M,,1,red,enemy,range01_frame_000403.png,200.5,"#476[476M]が#440領有中のLv.1都市 #440(149,249)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,c-6,249,249,2026-6-10 12:22:2,#476,476M,IMp,2,red,enemy,range01_frame_000474.png,236.5,"#476[476M]が#440[IMp]領有中のLv.2都市 #440(249,249)を攻撃し、陣営のために破壊宝箱×5を勝ち取りました"
#440,c-8,349,249,2026-6-10 12:41:0,#476,476Z,,2,red,enemy,range01_frame_000482.png,240.5,"#476[476Z]が#440領有中のLv.2都市 #440(349,249)を攻撃し、陣営のために破壊宝箱×5を勝ち取りました"
#440,c-10,449,249,2026-6-20 20:55:1,#476,476B,Gcc,2,red,enemy,range01_frame_000728.png,363.0,"#476[476B]が#440[Gcc]領有中のLv.2都市 #440(449,249)を攻撃し、陣営のために破壊宝箱×5を勝ち取りました"
#440,c-12,549,249,2026-6-17 20:14:0,#476,476B,TrX,2,red,enemy,range01_frame_000655.png,327.0,"#476[476B]が#440[TrX]領有中のLv.2都市 #440(549,249)を攻撃し、陣営のために破壊宝箱×5を勝ち取りました"
#440,c-16,749,249,2026-6-17 00:00:5,#503,StJ,,2,red,enemy,range01_frame_000599.png,299.0,"#503[StJ]が#440領有中のLv.2都市 #440(749,249)を攻撃し、陣営のために破壊宝箱×5を勝ち取りました"
#440,c-18,849,249,2026-6-13 12:36:5,#503,COzy,,1,red,enemy,range01_frame_000577.png,288.0,"#503[COzy]が#440領有中のLv.1都市#440(849,249)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,c-20,949,249,2026-6-13 12:29:50,#503,COZy,,1,red,enemy,range01_frame_000565.png,282.0,"#503[COZy]が#440領有中のLv.1都市#440(949,249)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,d-2,49,349,2026-6-3 12:49:5,#476,476M,lMp,1,red,enemy,range01_frame_000343.png,170.5,"#476[476M]が#440[lMp]領有中のLv.1都市#440(49,349)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,d-4,149,349,2026-6-20 12:27:5,#476,476X,SsQ,1,red,enemy,range01_frame_000699.png,349.0,"#476[476X]が#509[SsQ]領有中のLv.1都市 #440(149,349)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,d-6,249,349,2026-6-6 12:34:0,#503,Lghs,GoDs,2,red,enemy,range01_frame_000404.png,201.5,"#503[Lghs]が#440[GoDs]領有中のLv.2都市 #440(249,349)を攻撃し、陣営のために破壊宝箱×5を勝ち取りました"
#440,d-8,349,349,2026-6-13 20:15:0,#476,476X,GcC,3,red,enemy,range01_frame_000581.png,290.0,"#476[476X]が#440[GcC]領有中のLv.3都市#440(349,349)を攻撃し、陣営のために破壊宝箱×10を勝ち取りました"
#440,d-10,449,349,2026-6-13 20:13:1,#476,476B,GcC,3,red,enemy,range01_frame_000581.png,290.0,"#476[476B]が#440[GcC]領有中のLv.3都市#440(449,349)を攻撃し、陣営のために破壊宝箱×10を勝ち取りました"
#440,d-12,549,349,2026-6-10 12:20:55,#476,476B,BAJ,3,red,enemy,range01_frame_000473.png,235.5,"#476[476B]が#440[BAJ]領有中のLv.3都市 #440(549,349)を攻撃し、陣営のために破壊宝箱×10を勝ち取りました"
#440,d-14,649,349,2026-6-13 12:05:53,#476,476B,BAJ,3,red,enemy,range01_frame_000549.png,274.0,"#476[476B]が#440[BAJ]領有中のLv.3都市 #440(649,349)を攻撃し、陣営のために破壊宝箱×10を勝ち取りました"
#440,d-16,749,349,2026-6-17 12:01:58,#503,TlKw,TaU,2,red,enemy,range01_frame_000627.png,313.0,"#503[TlKw]が#440[TaU]領有中のLv.2都市 #440(749,349)を攻撃し、陣営のために破壊宝箱×5を勝ち取りました"
#440,d-18,849,349,2026-6-13 20:58:3,#503,hMt,,1,red,enemy,range01_frame_000596.png,297.0,"#503[hMt]が#440領有中のLv.1都市#440(849,349)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,d-20,949,349,2026-6-20 12:30:21,#503,fzn,GoDs,1,red,enemy,range01_frame_000701.png,350.0,"#503[fzn]が#440[GoDs]領有中のLv.1都市 #440(949,349)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#440,e-2,49,449,2026-6-6 12:35:1,#476,476M,MpJ,1,red,enemy,range01_frame_000404.png,201.5,"#476[476M]が#440[MpJ]領有中のLv.1都市 #440(49,449)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
