target_server,coord,x,y,event_time,actor_server,actor_alliance,defender_alliance,level,text_color,destroyed_by,frame,timestamp_sec,raw_text
#511,j-20,949,949,2026-5-27 00:02:19,#480,CDf8,,1,red,enemy,range01_frame_000001.png,0.0,"#480[CDf8]が#511領有中のLv.1都市#511(949,949)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#511,i-20,949,849,2026-5-27 00:04:30,#480,CDf8,,1,red,enemy,range01_frame_000001.png,0.0,"#480[CDf8]が#511領有中のLv.1都市#511(949,849)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-6,249,49,2026-5-27 00:11:4,#476,476Z,,1,red,enemy,range01_frame_000001.png,0.0,"#476[476Z]が#509領有中のLv.1都市#509(249,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-4,149,49,2026-5-27 00:17:4,#476,476Z,,1,red,enemy,range01_frame_000001.png,0.0,"#476[476Z]が#509領有中のLv.1都市#509(149,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-8,349,49,2026-5-27 00:35:3,#476,ALj,,1,red,enemy,range01_frame_000001.png,0.0,"#476[ALj]が#509領有中のLv.1都市#509(349,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#511,j-20,949,949,2026-5-27 00:02:19,#480,CDf8,,1,red,enemy,range01_frame_000002.png,0.0,"#480[CDf8]が#511領有中のLv.1都市#511(949,949)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#511,i-20,949,849,2026-5-27 00:04:30,#480,CDf8,,1,red,enemy,range01_frame_000002.png,0.0,"#480[CDf8]が#511領有中のLv.1都市#511(949,849)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-6,249,49,2026-5-27 00:11:4,#476,476Z,,1,red,enemy,range01_frame_000002.png,0.0,"#476[476Z]が#509領有中のLv.1都市#509(249,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-4,149,49,2026-5-27 00:17:4,#476,476Z,,1,red,enemy,range01_frame_000002.png,0.0,"#476[476Z]が#509領有中のLv.1都市#509(149,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-8,349,49,2026-5-27 00:35:3,#476,ALj,,1,red,enemy,range01_frame_000002.png,0.0,"#476[ALj]が#509領有中のLv.1都市#509(349,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#511,j-20,949,949,2026-5-27 00:02:18,#480,CDf8,,1,red,enemy,range01_frame_000003.png,1.0,"#480[CDf8]が#511領有中のLv.1都市#511(949,949)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#511,i-20,949,849,2026-5-27 00:04:30,#480,CDf8,,1,red,enemy,range01_frame_000003.png,1.0,"#480[CDf8]が#511領有中のLv.1都市#511(949,849)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-6,249,49,2026-5-27 00:11:4,#476,476Z,,1,red,enemy,range01_frame_000003.png,1.0,"#476[476Z]が#509領有中のLv.1都市#509(249,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-4,149,49,2026-5-27 00:17:4,#476,476Z,,1,red,enemy,range01_frame_000003.png,1.0,"#476[476Z]が#509領有中のLv.1都市#509(149,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-8,349,49,2026-5-27 00:35:3,#476,ALj,,1,red,enemy,range01_frame_000003.png,1.0,"#476[ALj]が#509領有中のLv.1都市#509(349,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#511,j-20,949,949,2026-5-27 00:02:18,#480,CDf8,,1,red,enemy,range01_frame_000005.png,2.0,"#480[CDf8]が#511領有中のLv.1都市#511(949,949)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#511,i-20,949,849,2026-5-27 00:04:30,#480,CDf8,,1,red,enemy,range01_frame_000005.png,2.0,"#480[CDf8]が#511領有中のLv.1都市#511(949,849)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-6,249,49,2026-5-27 00:11:44,#476,476Z,,1,red,enemy,range01_frame_000005.png,2.0,"#476[476Z]が#509領有中のLv.1都市#509(249,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-4,149,49,2026-5-27 00:17:44,#476,476Z,,1,red,enemy,range01_frame_000005.png,2.0,"#476[476Z]が#509領有中のLv.1都市#509(149,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-8,349,49,2026-5-27 00:35:33,#476,ALj,,1,red,enemy,range01_frame_000005.png,2.0,"#476[ALj]が#509領有中のLv.1都市#509(349,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#511,j-20,949,949,2026-5-27 00:02:18,#480,CDf8,,1,red,enemy,range01_frame_000007.png,3.0,"#480[CDf8]が#511領有中のLv.1都市#511(949,949)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#511,i-20,949,849,2026-5-27 00:04:30,#480,CDf8,,1,red,enemy,range01_frame_000007.png,3.0,"#480[CDf8]が#511領有中のLv.1都市#511(949,849)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-6,249,49,2026-5-27 00:11:44,#476,476Z,,1,red,enemy,range01_frame_000007.png,3.0,"#476[476Z]が#509領有中のLv.1都市#509(249,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-4,149,49,2026-5-27 00:17:44,#476,476Z,,1,red,enemy,range01_frame_000007.png,3.0,"#476[476Z]が#509領有中のLv.1都市#509(149,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-8,349,49,2026-5-27 00:35:33,#476,ALj,,1,red,enemy,range01_frame_000007.png,3.0,"#476[ALj]が#509領有中のLv.1都市#509(349,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#511,j-20,949,949,2026-5-27 00:02:18,#480,CDf8,,1,red,enemy,range01_frame_000008.png,3.0,"#480[CDf8]が#511領有中のLv.1都市#511(949,949)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#511,i-20,949,849,2026-5-27 00:04:30,#480,CDf8,,1,red,enemy,range01_frame_000008.png,3.0,"#480[CDf8]が#511領有中のLv.1都市#511(949,849)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-6,249,49,2026-5-27 00:11:44,#476,476Z,,1,red,enemy,range01_frame_000008.png,3.0,"#476[476Z]が#509領有中のLv.1都市#509(249,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-4,149,49,2026-5-27 00:17:44,#476,476Z,,1,red,enemy,range01_frame_000008.png,3.0,"#476[476Z]が#509領有中のLv.1都市#509(149,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-8,349,49,2026-5-27 00:35:33,#476,ALj,,1,red,enemy,range01_frame_000008.png,3.0,"#476[ALj]が#509領有中のLv.1都市#509(349,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#511,i-20,949,849,2026-5-27 00:02:18,#480,CDf8,,1,red,enemy,range01_frame_000009.png,4.0,"#480[CDf8]が#511領有中のLv.1都市#511(949,849)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-6,249,49,2026-5-27 00:04:30,#476,476Z,,1,red,enemy,range01_frame_000009.png,4.0,"#476[476Z]が#509領有中のLv.1都市#509(249,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-4,149,49,2026-5-27 00:11:4,#476,476Z,,1,red,enemy,range01_frame_000009.png,4.0,"#476[476Z]が#509領有中のLv.1都市#509(149,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-8,349,49,2026-5-27 00:17:4,#476,476Z,,1,red,enemy,range01_frame_000009.png,4.0,"#476[476Z]が#509領有中のLv.1都市#509(349,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-10,449,49,2026-5-27 00:35:33,#476,ALj,,1,red,enemy,range01_frame_000009.png,4.0,"#476[ALj]が#509領有中のLv.1都市#509(449,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-14,649,49,2026-5-27 00:52:1,#476,ALj,,1,red,enemy,range01_frame_000009.png,4.0,"#476[ALj]が#509領有中のLv.1都市#509(649,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-6,249,49,2026-5-27 00:04:30,#476,476Z,,1,red,enemy,range01_frame_000010.png,4.0,"#476[476Z]が#509領有中のLv.1都市#509(249,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-4,149,49,2026-5-27 00:11:4,#476,476Z,,1,red,enemy,range01_frame_000010.png,4.0,"#476[476Z]が#509領有中のLv.1都市#509(149,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-8,349,49,2026-5-27 00:17:4,#476,476Z,,1,red,enemy,range01_frame_000010.png,4.0,"#476[476Z]が#509領有中のLv.1都市#509(349,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-10,449,49,2026-5-27 00:35:33,#476,ALj,,1,red,enemy,range01_frame_000010.png,4.0,"#476[ALj]が#509領有中のLv.1都市#509(449,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-14,649,49,2026-5-27 00:52:1,#476,ALj,,1,red,enemy,range01_frame_000010.png,4.0,"#476[ALj]が#509領有中のLv.1都市#509(649,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-6,249,49,2026-5-27 00:04:30,#476,476Z,,1,red,enemy,range01_frame_000011.png,5.0,"#476[476Z]が#509領有中のLv.1都市#509(249,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-4,149,49,2026-5-27 00:11:40,#476,476Z,,1,red,enemy,range01_frame_000011.png,5.0,"#476[476Z]が#509領有中のLv.1都市#509(149,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-8,349,49,2026-5-27 00:35:30,#476,ALJ,,1,red,enemy,range01_frame_000011.png,5.0,"#476[ALJ]が#509領有中のLv.1都市#509(349,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-10,449,49,2026-5-27 00:52:10,#476,ALJ,,1,red,enemy,range01_frame_000011.png,5.0,"#476[ALJ]が#509領有中のLv.1都市#509(449,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-14,649,49,2026-5-27 03:04:40,#476,476K,,1,red,enemy,range01_frame_000011.png,5.0,"#476[476K]が#509領有中のLv.1都市#509(649,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-6,249,49,2026-5-27 00:04:30,#476,476Z,,1,red,enemy,range01_frame_000012.png,5.0,"#476[476Z]が#509領有中のLv.1都市#509(249,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
#509,a-4,149,49,2026-5-27 00:11:40,#476,476Z,,1,red,enemy,range01_frame_000012.png,5.0,"#476[476Z]が#509領有中のLv.1都市#509(149,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました"
