target_server,coord,x,y,event_time,actor_server,actor_alliance,defender_alliance,level,text_color,destroyed_by,frame,timestamp_sec,raw_text,sheet_row,current_owner,current_acquired_at
#509,b-2,49,149,2026-6-13 20:46:0,#503,GX99,SHA,1,red,enemy,range01_frame_000595.png,297.0,"#503[GX99]が#534[SHA]領有中のLv.1都市#509(49,149)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",1005,SHA,2026/05/30 11:01
#509,b-6,249,149,2026-6-17 04:03:5,#476,476d,VEX,1,red,enemy,range01_frame_000605.png,302.0,"#476[476d]が#509[VEX]領有中のLv.1都市#509(249,149)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",1009,VEX,
#480,b-20,949,149,2026-6-17 20:43:4,#440,TaW,AA0A,1,blue,ally,range01_frame_000673.png,336.0,"#440[TaW]が#480[AA0A]領有中のLv.1都市#480(949,149)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",481,Digg,2026/05/24 9:53
#480,c-20,949,249,2026-6-20 20:05:1,#440,TaW,Digg,1,blue,ally,range01_frame_000713.png,356.0,"#440[TaW]が#480[Digg]領有中のLv.1都市 #480(949,249)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",576,,
#480,g-16,749,649,2026-6-20 12:48:4,#440,GcC,BgNa,2,blue,ally,range01_frame_000713.png,356.0,"#440[GcC]が#480[BgNa]領有中のLv.2都市 #480(749,649)を攻撃し、陣営のために破壊宝箱×5を勝ち取りました",615,BgNa,2026/06/03 11:01
#480,h-14,649,749,2026-6-20 12:48:4,#440,BAJ,WbU,2,blue,ally,range01_frame_000705.png,352.0,"#440[BAJ]が#480[WbU]領有中のLv.2都市 #480(649,749)を攻撃し、陣営のために破壊宝箱×5を勝ち取りました",625,WbW,2026/05/30 11:01
#440,a-10,449,49,2026-6-13 12:37:4,#523,NBNH,WoW3,1,red,enemy,range01_frame_000577.png,288.0,"#523[NBNH]が#440[WoW3]領有中のLv.1都市#440(449,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",87,,
#440,a-16,749,49,2026-6-17 04:02:5,#523,EDFS,DOLU,1,red,enemy,range01_frame_000605.png,302.0,"#523[EDFS]が#440[DOLU]領有中のLv.1都市#440(749,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",93,,
#440,a-18,849,49,2026-6-17 04:07:4,#503,COZy,DOLU,1,red,enemy,range01_frame_000607.png,303.0,"#503[COZy]が#440[DOLU]領有中のLv.1都市 #440(849,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",95,,
#440,a-20,949,49,2026-6-17 20:37:3,#503,COZy,DOLU,1,red,enemy,range01_frame_000677.png,338.0,"#503[COZy]が#440[DOLU]領有中のLv.1都市 #440(949,49)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",73,DOLU,2026/05/20 17:20
#440,b-10,449,149,2026-6-13 12:04:5,#476,476Z,UoW3,1,red,enemy,range01_frame_000540.png,269.0,"#476[476Z]が#440[UoW3]領有中のLv.1都市 #440(449,149)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",3,WoW3,2026/05/27 18:15
#440,b-18,849,149,2026-6-13 12:37:5,#503,fzn,DOLU,1,red,enemy,range01_frame_000575.png,287.0,"#503[fzn]が#440[DOLU]領有中のLv.1都市 #440(849,149)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",109,,
#440,b-20,949,149,2026-6-13 12:36:0,#503,fzn,DOLU,1,red,enemy,range01_frame_000575.png,287.0,"#503[fzn]が#440[DOLU]領有中のLv.1都市 #440(949,149)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",111,,
#440,c-20,949,249,2026-6-13 12:29:50,#503,COZy,,1,red,enemy,range01_frame_000565.png,282.0,"#503[COZy]が#440領有中のLv.1都市#440(949,249)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",124,,
#440,d-10,449,349,2026-6-13 20:13:1,#476,476B,GcC,3,red,enemy,range01_frame_000581.png,290.0,"#476[476B]が#440[GcC]領有中のLv.3都市#440(449,349)を攻撃し、陣営のために破壊宝箱×10を勝ち取りました",130,GcC,2026/06/07 3:39
#440,d-14,649,349,2026-6-13 12:05:53,#476,476B,BAJ,3,red,enemy,range01_frame_000549.png,274.0,"#476[476B]が#440[BAJ]領有中のLv.3都市 #440(649,349)を攻撃し、陣営のために破壊宝箱×10を勝ち取りました",27,BAJ,2026/05/23 21:05
#440,d-18,849,349,2026-6-13 20:58:3,#503,hMt,,1,red,enemy,range01_frame_000596.png,297.0,"#503[hMt]が#440領有中のLv.1都市#440(849,349)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",134,,
#440,d-4,149,349,2026-6-20 12:27:5,#476,476X,SsQ,1,red,enemy,range01_frame_000699.png,349.0,"#476[476X]が#509[SsQ]領有中のLv.1都市 #440(149,349)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",138,SsQ,2026/06/03 15:08
#440,f-16,749,549,2026-6-13 12:01:10,#503,Lghs,TaU,2,red,enemy,range01_frame_000537.png,268.0,"#503[Lghs]が#440[TaU]領有中のLv.2都市 #440(749,549)を攻撃し、陣営のために破壊宝箱×5を勝ち取りました",78,TaW,2026/05/20 11:08
