image,screen_type,event_time,actor_server,actor_alliance,opponent_alliance,target_server,x,y,level,terrain,kind_raw,kind_sheet,action,owner_for_sheet,confidence,time_source,source_text
IMG_2072.PNG,timeline_chat,2026/06/10 15:29:22,,SHA,,#8061,174,924,6,,漁場,漁場,occupy,SHA,low,image_metadata_inferred,"連盟SHAがLV.6漁場 #8061(X:174,Y:924)を 占領"
IMG_2072.PNG,timeline_chat,2026/06/07 10:51:00,,TkTk,,#8061,924,524,6,,漁場,漁場,occupy,TkTk,medium,visible_time,"連盟TKTkがLV.6漁場 #8061(X:924,Y:524)を 占領"
IMG_2072.PNG,timeline_chat,2026/06/07 11:08:00,,TIKW,,#440,399,799,2,,漁場,漁場,occupy,TIKW,medium,visible_time,"連盟TIKWがLV.2漁場 #440(X:399,Y:799)を 占領"
IMG_2072.PNG,timeline_chat,2026/06/07 11:08:00,,2N7,,#523,599,199,2,,漁場,漁場,occupy,2N7,medium,visible_time,"連盟2N7がLV.2漁場 #523(X:599,Y:199)を占 領"
IMG_2073.PNG,timeline_chat,2026/06/07 11:16:00,,2N7,,#523,699,199,2,,漁場,漁場,occupy,2N7,low,previous_image_visible_time,"連盟2N7がLV.2漁場 #523(X:699,Y:199)を占 領"
IMG_2073.PNG,timeline_chat,2026/06/07 11:16:00,,TkTk,,#8061,924,474,6,,漁場,漁場,occupy,TkTk,medium,visible_time,"連盟TkTkがLV.6漁場 #8061(X:924,Y:474)を 占領"
IMG_2073.PNG,timeline_chat,2026/06/07 11:16:00,,TIKW,,#440,399,699,3,,漁場,漁場,occupy,TIKW,medium,visible_time,"連盟TIKWがLV.3漁場 #440(X:399,Y:699)を 占領"
IMG_2073.PNG,timeline_chat,2026/06/07 11:16:00,,fzn,,#503,20,599,1,,漁場,漁場,occupy,fzn,medium,visible_time,"連盟fznがLV.1漁場 #503(X:20,Y:599)を占領"
IMG_2074.PNG,timeline_chat,2026/06/07 11:25:00,,RCON,,#8061,924,424,6,,漁場,漁場,occupy,RCON,low,previous_image_visible_time,"連盟RCONがLV.6漁場 #8061(X:924,Y:424) を占領"
IMG_2074.PNG,timeline_chat,2026/06/07 11:25:00,,u3o,,#523,299,299,3,,漁場,漁場,occupy,u3o,medium,visible_time,"連盟u30がLV.3漁場 #523(X:299,Y:299)を占 領"
IMG_2074.PNG,timeline_chat,2026/06/07 11:31:00,,TrX,,#440,399,978,1,,漁場,漁場,occupy,TrX,medium,visible_time,"連盟TrXがLV.1漁場 #440(X:399,Y:978)を占 領"
IMG_2074.PNG,timeline_chat,2026/06/07 11:31:00,,RCON,,#8061,924,374,6,,漁場,漁場,occupy,RCON,medium,visible_time,"連盟RCONがLV.6漁場 #8061(X:924,Y:374) を占領"
IMG_2075.PNG,timeline_chat,2026/06/07 11:34:00,,RCON,,#8061,924,374,6,,漁場,漁場,occupy,RCON,low,previous_image_visible_time,"連盟RCONがLV.6漁場 #8061(X:924,Y:374) を占領"
IMG_2075.PNG,timeline_chat,2026/06/07 11:34:00,,SHA0,,#534,399,299,3,,漁場,漁場,occupy,SHA0,medium,visible_time,"連盟SHA0がLV.3漁場 #534(X:399,Y:299)を 占領"
IMG_2075.PNG,timeline_chat,2026/06/07 11:34:00,,YDR,,#503,899,499,1,,漁場,漁場,occupy,YDR,medium,visible_time,"連盟YDRがLV.1漁場 #503(X:899,Y:499)を占 領"
IMG_2075.PNG,timeline_chat,2026/06/07 12:16:00,,TrX,,#440,899,399,1,,漁場,漁場,occupy,TrX,medium,visible_time,"連盟TrXがLV.1漁場 #440(X:899,Y:399)を占 領"
IMG_2076.PNG,timeline_chat,2026/06/07 12:20:00,,TrX,,#440,899,399,1,,漁場,漁場,occupy,TrX,low,previous_image_visible_time,"連盟TrXがLV.1漁場 #440(X:899,Y:399)を占 領"
IMG_2076.PNG,timeline_chat,2026/06/07 12:20:00,,TaW,,#480,99,399,1,,漁場,漁場,occupy,TaW,medium,visible_time,"連盟TaWがLV.1漁場 #480(X:99,Y:399)を占 領"
IMG_2076.PNG,timeline_chat,2026/06/07 12:20:00,,GcC,,#480,599,299,3,,漁場,漁場,occupy,GcC,medium,visible_time,"連盟GCCがLV.3漁場 #480(X:599,Y:299)を占 領"
IMG_2076.PNG,timeline_chat,2026/06/07 12:31:00,,YDR,,#503,978,399,1,,漁場,漁場,occupy,YDR,medium,visible_time,"連盟YDRがLV.1漁場 #503(X:978,Y:399)を占 領"
IMG_2077.PNG,timeline_chat,2026/06/07 12:44:00,,YDR,,#503,978,399,1,,漁場,漁場,occupy,YDR,low,previous_image_visible_time,"連盟YDRがLV.1漁場 #503(X:978,Y:399)を占 領"
IMG_2077.PNG,timeline_chat,2026/06/07 12:44:00,,SHA,,#8061,124,874,7,,漁場,漁場,occupy,SHA,medium,visible_time,"連盟SHAがLV.7漁場 #8061(X:124,Y:874)を 占領"
IMG_2077.PNG,timeline_chat,2026/06/07 12:44:00,,SHA,,#8061,124,824,7,,漁場,漁場,occupy,SHA,medium,visible_time,"連盟SHAがLV.7漁場 #8061(X:124,Y:824)を 占領"
IMG_2077.PNG,timeline_chat,2026/06/07 12:58:00,,RING,,#503,699,699,3,,漁場,漁場,occupy,RING,medium,visible_time,"連盟RINGがLV.3漁場 #503(X:699,Y:699)を 占領"
IMG_2078.PNG,timeline_chat,2026/06/07 13:47:00,,ALj,,#523,978,599,1,,漁場,漁場,occupy,ALj,low,previous_image_visible_time,"連盟ALjがLV.1漁場 #523(X:978,Y:599)を占 領"
IMG_2078.PNG,timeline_chat,2026/06/07 13:47:00,,ALj,,#523,978,699,1,,漁場,漁場,occupy,ALj,medium,visible_time,"連盟ALjがLV.1漁場 #523(X:978,Y:699)を占 領"
IMG_2079.PNG,timeline_chat,2026/06/07 17:24:00,,EDFS,,#511,978,20,1,,漁場,漁場,occupy,EDFS,medium,visible_time,"連盟EDFSがLV.1漁場 #511(X:978,Y:20)を占 領"
IMG_2079.PNG,timeline_chat,2026/06/07 17:24:00,,BHE,,#8061,974,674,5,,漁場,漁場,occupy,BHE,medium,visible_time,"連盟BHEがLV.5漁場 #8061(X:974,Y:674)を 占領"
IMG_2080.PNG,timeline_chat,2026/06/07 18:46:00,,R6q,,#8061,74,274,6,,漁場,漁場,occupy,R6q,low,previous_image_visible_time,"連盟R6qがLV.6漁場 #8061(X:74,Y:274)を占 領"
IMG_2081.PNG,timeline_chat,2026/06/07 19:04:00,,BHE,,#8061,974,624,5,,漁場,漁場,occupy,BHE,low,previous_image_visible_time,"連盟BHEがLV.5漁場 #8061(X:974,Y:624)を 占領"
IMG_2082.PNG,timeline_chat,2026/06/07 19:37:00,,SHA0,,#534,299,199,2,,漁場,漁場,occupy,SHA0,low,previous_image_visible_time,"連盟SHA0がLV.2漁場 #534(X:299,Y:199)を 占領"
IMG_2082.PNG,timeline_chat,2026/06/07 19:37:00,,5DU,,#523,699,99,1,,漁場,漁場,occupy,5DU,medium,visible_time,"連盟5DUがLV.1漁場 #523(X:699,Y:99)を占 領"
IMG_2082.PNG,timeline_chat,2026/06/07 19:50:00,,5DU,,#523,799,99,1,,漁場,漁場,occupy,5DU,medium,visible_time,"連盟5DUがLV.1漁場 #523(X:799,Y:99)を占 領"
IMG_2083.PNG,timeline_chat,2026/06/07 21:06:00,,xjR,,#509,699,299,3,,漁場,漁場,occupy,xjR,medium,visible_time,"連盟xjRがLV.3漁場 #509(X:699,Y:299)を占 領"
IMG_2084.PNG,timeline_chat,2026/06/07 21:15:00,,GX99,,#509,599,299,3,,漁場,漁場,occupy,GX99,low,previous_image_visible_time,"連盟GX99がLV.3漁場 #509(X:599,Y:299)を 占領"
IMG_2084.PNG,timeline_chat,2026/06/07 22:04:00,,one,,#509,599,99,1,,漁場,漁場,occupy,one,medium,visible_time,"連盟oneがLV.1漁場 #509(X:599,Y:99)を占 領"
