reason,target_server,x,y,sheet_row,existing_at,event_time,existing_owner,owner_for_sheet,image,source_text,kind_sheet,existing_type,event_type
existing_newer,#440,899,399,146,2026/06/14 7:17,2026/06/07 12:16:00,299,TrX,IMG_2075.PNG,"連盟TrXがLV.1漁場 #440(X:899,Y:399)を占 領",,,
existing_newer,#480,99,399,601,2026/06/19 3:12,2026/06/07 12:20:00,TkTk,TaW,IMG_2076.PNG,"連盟TaWがLV.1漁場 #480(X:99,Y:399)を占 領",,,
existing_newer,#480,599,299,456,2026/06/13 23:01,2026/06/07 12:20:00,WbW,GcC,IMG_2076.PNG,"連盟GCCがLV.3漁場 #480(X:599,Y:299)を占 領",,,
existing_newer,#8061,974,674,2011,2026/06/13 10:05,2026/06/07 17:24:00,MtG,BHE,IMG_2079.PNG,"連盟BHEがLV.5漁場 #8061(X:974,Y:674)を 占領",,,
existing_newer,#8061,974,624,1959,2026/06/19 4:41,2026/06/07 19:04:00,H69,BHE,IMG_2081.PNG,"連盟BHEがLV.5漁場 #8061(X:974,Y:624)を 占領",,,
existing_newer,#523,799,99,1419,2026/06/20 3:03,2026/06/07 19:50:00,WUG,5DU,IMG_2082.PNG,"連盟5DUがLV.1漁場 #523(X:799,Y:99)を占 領",,,
row_not_found,#8061,74,874,,,2026/06/07 22:51:00,,476A,IMG_2085.PNG,"連盟476AがLV.6漁場 #8061(X:74,Y:874)を 占領",漁場,,
existing_newer,#511,399,299,1112,2026/06/14 22:39,2026/06/08 04:25:00,SHA,NBNH,IMG_2088.PNG,"連盟NBNHがLV.3漁場 #511(X:399,Y:299)を 占領",,,
existing_newer,#480,20,299,463,2026/06/19 11:28,2026/06/08 05:18:00,TkTk,TaW,IMG_2089.PNG,"連盟TaWがLV.1漁場 #480(X:20,Y:299)を占 領",,,
existing_newer,#480,799,978,454,2026/06/12 11:24,2026/06/08 09:12:00,TkTk,MtG,IMG_2091.PNG,"連盟MtGがLV.1漁場 #480(X:799,Y:978)を占 領",,,
existing_newer,#8061,974,174,1917,2026/06/12 16:45,2026/06/08 11:56:00,MtG,RCON,IMG_2094.PNG,"連盟RCONがLV.5漁場 #8061(X:974,Y:174) を占領",,,
row_not_found,#8061,924,824,,,2026/06/08 12:54:00,,KTVS,IMG_2095.PNG,"連盟KTVSがLV.6漁場 #8061(X:924,Y:824)を 占領",漁場,,
