sheet_row,position_key,target_server,x,y,previous_type,previous_owner,previous_acquired_at,new_type,new_owner,new_acquired_at,image,action,time_source,source_text
2014,中央:中央-10-19,#8061,924,524,漁場,GoDs,2026/05/21 19:21,漁場,TkTk,2026/06/07 10:51,IMG_2072.PNG,occupy,visible_time,"連盟TKTkがLV.6漁場 #8061(X:924,Y:524)を 占領"
207,#440:I-9,#440,399,799,漁場,,,漁場,TIKW,2026/06/07 11:08,IMG_2072.PNG,occupy,visible_time,"連盟TIKWがLV.2漁場 #440(X:399,Y:799)を 占領"
1431,#523:C-13,#523,599,199,漁場,,,漁場,2N7,2026/06/07 11:08,IMG_2072.PNG,occupy,visible_time,"連盟2N7がLV.2漁場 #523(X:599,Y:199)を占 領"
1432,#523:C-15,#523,699,199,漁場,,,漁場,2N7,2026/06/07 11:16,IMG_2073.PNG,occupy,previous_image_visible_time,"連盟2N7がLV.2漁場 #523(X:699,Y:199)を占 領"
1999,中央:中央-11-19,#8061,924,474,漁場,AAOA,2026/05/24 8:12,漁場,TkTk,2026/06/07 11:16,IMG_2073.PNG,occupy,visible_time,"連盟TkTkがLV.6漁場 #8061(X:924,Y:474)を 占領"
191,#440:H-9,#440,399,699,漁場,SHA,2026/06/05 6:55,漁場,TIKW,2026/06/07 11:16,IMG_2073.PNG,occupy,visible_time,"連盟TIKWがLV.3漁場 #440(X:399,Y:699)を 占領"
833,#503:G-1,#503,20,599,漁場,GX99,2026/05/27 23:13,漁場,fzn,2026/06/07 11:16,IMG_2073.PNG,occupy,visible_time,"連盟fznがLV.1漁場 #503(X:20,Y:599)を占領"
1989,中央:中央-12-19,#8061,924,424,漁場,GcC,2026/05/23 11:42,漁場,RCON,2026/06/07 11:25,IMG_2074.PNG,occupy,previous_image_visible_time,"連盟RCONがLV.6漁場 #8061(X:924,Y:424) を占領"
1452,#523:D-7,#523,299,299,漁場,,,漁場,u3o,2026/06/07 11:25,IMG_2074.PNG,occupy,visible_time,"連盟u30がLV.3漁場 #523(X:299,Y:299)を占 領"
223,#440:K-9,#440,399,978,漁場,,,漁場,TrX,2026/06/07 11:31,IMG_2074.PNG,occupy,visible_time,"連盟TrXがLV.1漁場 #440(X:399,Y:978)を占 領"
1977,中央:中央-13-19,#8061,924,374,漁場,BAJ,2026/05/24 0:16,漁場,RCON,2026/06/07 11:31,IMG_2074.PNG,occupy,visible_time,"連盟RCONがLV.6漁場 #8061(X:924,Y:374) を占領"
1663,#534:D-9,#534,399,299,漁場,SHA,,漁場,SHA0,2026/06/07 11:34,IMG_2075.PNG,occupy,visible_time,"連盟SHA0がLV.3漁場 #534(X:399,Y:299)を 占領"
828,#503:F-19,#503,899,499,漁場,,,漁場,YDR,2026/06/07 11:34,IMG_2075.PNG,occupy,visible_time,"連盟YDRがLV.1漁場 #503(X:899,Y:499)を占 領"
814,#503:E-21,#503,978,399,漁場,,,漁場,YDR,2026/06/07 12:31,IMG_2076.PNG,occupy,visible_time,"連盟YDRがLV.1漁場 #503(X:978,Y:399)を占 領"
849,#503:H-15,#503,699,699,漁場,,,漁場,RING,2026/06/07 12:58,IMG_2077.PNG,occupy,visible_time,"連盟RINGがLV.3漁場 #503(X:699,Y:699)を 占領"
1490,#523:G-21,#523,978,599,漁場,FHX,2026/06/03 15:12,漁場,ALj,2026/06/07 13:47,IMG_2078.PNG,occupy,previous_image_visible_time,"連盟ALjがLV.1漁場 #523(X:978,Y:599)を占 領"
1219,#511:A-21,#511,978,20,漁場,,,漁場,EDFS,2026/06/07 17:24,IMG_2079.PNG,occupy,visible_time,"連盟EDFSがLV.1漁場 #511(X:978,Y:20)を占 領"
1975,中央:中央-15-2,#8061,74,274,漁場,476X,2026/05/24 0:52,漁場,R6q,2026/06/07 18:46,IMG_2080.PNG,occupy,previous_image_visible_time,"連盟R6qがLV.6漁場 #8061(X:74,Y:274)を占 領"
1565,#534:C-7,#534,299,199,漁場,476C,2026/05/24 7:08,漁場,SHA0,2026/06/07 19:37,IMG_2082.PNG,occupy,previous_image_visible_time,"連盟SHA0がLV.2漁場 #534(X:299,Y:199)を 占領"
1417,#523:B-15,#523,699,99,漁場,,,漁場,5DU,2026/06/07 19:37,IMG_2082.PNG,occupy,visible_time,"連盟5DUがLV.1漁場 #523(X:699,Y:99)を占 領"
955,#509:D-15,#509,699,299,漁場,Lghs,2026/05/27 23:52,漁場,xjR,2026/06/07 21:06,IMG_2083.PNG,occupy,visible_time,"連盟xjRがLV.3漁場 #509(X:699,Y:299)を占 領"
901,#509:D-13,#509,599,299,漁場,JL0,2026/06/05 2:25,漁場,GX99,2026/06/07 21:15,IMG_2084.PNG,occupy,previous_image_visible_time,"連盟GX99がLV.3漁場 #509(X:599,Y:299)を 占領"
931,#509:B-13,#509,599,99,漁場,AoW,2026/05/24 6:12,漁場,one,2026/06/07 22:04,IMG_2084.PNG,occupy,visible_time,"連盟oneがLV.1漁場 #509(X:599,Y:99)を占 領"
2081,中央:中央-2-2,#8061,74,924,漁場,476C,2026/05/18 23:32,漁場,476K,2026/06/07 22:16,IMG_2084.PNG,occupy,visible_time,"連盟476KがLV.6漁場 #8061(X:74,Y:924)を 占領"
1941,中央:中央-14-2,#8061,74,324,漁場,WbW,2026/05/24 11:16,漁場,R6q,2026/06/07 22:51,IMG_2085.PNG,occupy,previous_image_visible_time,"連盟R6qがLV.6漁場 #8061(X:74,Y:324)を占 領"
205,#440:I-7,#440,299,799,漁場,,,漁場,CDf8,2026/06/08 01:17,IMG_2087.PNG,occupy,previous_image_visible_time,"連盟CDf8がLV.2漁場 #440(X:299,Y:799)を 占領"
2069,中央:中央-2-3,#8061,124,924,漁場,476C,2026/05/19 0:55,漁場,476K,2026/06/08 04:40,IMG_2089.PNG,occupy,previous_image_visible_time,"連盟476KがLV.6漁場 #8061(X:124,Y:924)を 占領"
364,#476:E-17,#476,799,399,漁場,,,漁場,476B,2026/06/08 06:45,IMG_2090.PNG,occupy,previous_image_visible_time,"連盟476BがLV.2漁場 #476(X:799,Y:399)を 占領"
381,#476:F-17,#476,799,499,漁場,ALj,2026/05/30 14:42,漁場,476B,2026/06/08 08:36,IMG_2090.PNG,occupy,visible_time,"連盟476BがLV.2漁場 #476(X:799,Y:499)を 占領"
466,#480:E-1,#480,20,399,漁場,PmP,2026/05/23 23:14,漁場,MtG,2026/06/08 08:45,IMG_2090.PNG,occupy,visible_time,"連盟MtGがLV.1漁場 #480(X:20,Y:399)を占 領"
