row,name,old_total,new_total,old_band,new_band,old_form,new_form,old_first,new_first,old_job,new_job,changed,safe_to_apply,flags,vote_source,comment_source,vote_score,comment_score,comment_text
2,Revo GARO,407.68,417.99,2_75M以上〜80M未満,2_75M以上〜80M未満,戦,ロ,46.21,79.7,エンジニア,指導者,True,True,,IMG_2547.PNG,IMG_2569.PNG,1.0,1.0,ロケラン79.7指導者
3,まったり子,395.19,359.9,3_70M以上〜75M未満,2_75M以上〜80M未満,ロ,ロ,74,77,指導者,指導者,True,True,large_total_delta,IMG_2546.PNG,IMG_2566.PNG,1.0,1.0,ロケラン77M指導者
4,ssi103,383.96,477.79,1_80M以上,1_80M以上,航,,84,87,指導者,指導者,True,True,large_total_delta,IMG_2545.PNG,IMG_2567.PNG,1.0,1.0,=87M指導者
5,K’awiil,373.17,478,1_80M以上,1_80M以上,航,ロ,85.58,86.58,指導者,指導者,True,True,large_total_delta,IMG_2545.PNG,IMG_2566.PNG,1.0,1.0,ロケラン 86.58M 戦争指導者
6,RevoLoveR,371.58,382.69,2_75M以上〜80M未満,2_75M以上〜80M未満,航,航,75.63,77.37,指導者,指導者,True,True,,IMG_2546.PNG,IMG_2568.PNG,1.0,0.889,航空77.37M 指導者
7,naphtha PhD,370.42,367.87,3_70M以上〜75M未満,3_70M以上〜75M未満,航,航,70.3,72.93,エンジニア,エンジニア,True,True,,IMG_2548.PNG,IMG_2565.PNG,1.0,0.857,航空72.93Mエンジニア
8,Hirogeo R,360.2,313.21,4_65M以上〜70M未満,3_70M以上〜75M未満,戦,戦,69.09,71.42,指導者,指導者,True,True,large_total_delta,IMG_2549.PNG,IMG_2564.PNG,1.0,0.824,戦車71.42m指導者
9,Revo Geruge,355.31,,3_70M以上〜75M未満,,ロ,,73.1,,エンジニア,,False,False,,,,,,
10,BCCR,352.65,,4_65M以上〜70M未満,,戦,,65.28,,エンジニア,,False,False,,,,,,
11,Rameπ vu,352.43,419.73,2_75M以上〜80M未満,1_80M以上,ロ,ロ,76.61,80,指導者,指導者,True,True,large_total_delta,IMG_2545.PNG,IMG_2569.PNG,1.0,1.0,ロケラン80M指導者
12,Maーー,352.37,391.06,3_70M以上〜75M未満,2_75M以上〜80M未満,航,航,75,77.3,指導者,指導者,True,True,large_total_delta,IMG_2546.PNG,IMG_2564.PNG,1.0,1.0,航空77.30M 指導者です♥
13,CHIKO un,344.57,364.24,3_70M以上〜75M未満,3_70M以上〜75M未満,戦,戦,71.7,74,指導者,指導者,True,True,,IMG_2549.PNG,IMG_2567.PNG,1.0,1.0,戦車 74M 指導者
14,GinjirouR,344.35,346.43,4_65M以上〜70M未満,3_70M以上〜75M未満,航,,69.4,71.3,エンジニア,エンジニア,True,True,,IMG_2548.PNG,IMG_2570.PNG,1.0,1.0,71.3 ・エンジニア
15,馬券師もつお,340.23,362.44,4_65M以上〜70M未満,3_70M以上〜75M未満,ロ,ロ,68.8,72.14,指導者,指導者,True,True,,IMG_2548.PNG,IMG_2566.PNG,1.0,1.0,ロケラン72.14M指導者
16,ノンタン,338.12,329.13,5_62M以上〜65M未満,4_65M以上〜70M未満,戦,戦,64.3,65.9,エンジニア,エンジニア,True,True,,IMG_2551.PNG,IMG_2567.PNG,1.0,1.0,戦車65.9エンジニア A
17,マリオ mario,337.64,,4_65M以上〜70M未満,,ロ,ロ,68.3,71.5,指導者,指導者,True,True,,,IMG_2570.PNG,,1.0,ロケラン71.5指導者 AN
18,かえるChanR,335.86,339.02,3_70M以上〜75M未満,3_70M以上〜75M未満,航,航,71.01,73.06,指導者,指導者,True,True,,IMG_2549.PNG,IMG_2567.PNG,1.0,0.875,航空73.06指導者
19,渋猫選手R,334.38,425.93,2_75M以上〜80M未満,1_80M以上,ロ,ロ,79.09,82,指導者,指導者,True,True,large_total_delta,IMG_2545.PNG,IMG_2571.PNG,1.0,1.0,ロケラン82M 戦争指導者
