owner_alliance,matched_power_alliance,server,side,suggested_affiliation,suggested_pact_status,power,node_count,source,confidence,reason,already_in_directory,note
WUG,WUG,523,Enemy,enemy,attack_allowed,24480397281,18,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
WbW,WbW,480,Enemy,enemy,attack_allowed,24542849657,18,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
one,one,503,Enemy,enemy,attack_allowed,22491509000,18,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
BHE,BHE,509,Ally,ally,attack_allowed,23393263477,17,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
GcC,GcC,440,Ally,ally,attack_allowed,29973947565,17,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
EDFS,EDFS,523,Enemy,enemy,attack_allowed,12776123204,16,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
NBNH,NBNH,523,Enemy,enemy,attack_allowed,23583866369,16,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
RGWC,RGWC,534,Ally,ally,attack_allowed,6942560050,16,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
TIKW,TIKW,503,Enemy,enemy,attack_allowed,17496110302,16,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
TaW,TaW,440,Ally,ally,attack_allowed,17140808037,16,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
f4j,f4j,534,Ally,ally,attack_allowed,6573034919,16,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
fIrE,fIrE,523,Enemy,enemy,attack_allowed,22586813691,16,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
CDf8,CDf8,480,Enemy,enemy,attack_allowed,20299096515,15,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
JL2,JL2,511,Ally,ally,attack_allowed,4648607164,15,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
K4TR,K4TR,523,Enemy,enemy,attack_allowed,18876383757,15,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
MOn,MOn,509,Ally,ally,attack_allowed,26485159498,15,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
TrX,TrX,440,Ally,ally,attack_allowed,14544920129,15,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
ALj,ALj,476,Enemy,enemy,attack_allowed,13924027075,14,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
Bye,Bye,503,Enemy,enemy,attack_allowed,10990156128,14,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
Dao,Dao,534,Ally,ally,attack_allowed,3788512238,14,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
R6q,R6q,476,Enemy,enemy,attack_allowed,3520829653,13,alliance_power_2026-05-10,high,exact_alliance_match,FALSE,dictionary candidate only; not ownership evidence
