alliance,resolved_server,server_side,source,appearance_count,appears_in_briefing,appears_as_enemy,appears_as_self_or_ally,appears_in_areas,sample_nodes,risk_flag,review_status,manual_server_override,manual_note
476B,476,enemy,current_enemy_nodes_v2.csv; edge:enemy_invasion_edges_self_defense_v2.csv:enemy_from_alliance; edge:server_534_attack_edges_self_v2.csv:enemy_to_alliance; node_current:ownership_current,62,TRUE,TRUE,FALSE,#440; #476; #509; #511; #534; 中央,#440:j-4; #440:j-8; #476:I-7; #476:d-10; #476:d-12; #476:j-2; #476:A-21; #476:d-14,enemy_in_534_area,needs_review,,
476C,476,enemy,current_enemy_nodes_v2.csv; edge:enemy_invasion_edges_self_defense_v2.csv:enemy_from_alliance; edge:server_534_attack_edges_self_v2.csv:enemy_to_alliance; node_current:ownership_current,58,TRUE,TRUE,FALSE,#476; #534; 中央,#476:H-3; #476:H-5; #476:j-8; #476:j-4; #476:j-6; #476:g-6; #476:h-4; #476:h-6,enemy_in_534_area,needs_review,,
SHA,503,enemy,alliance_directory:map_snapshot; current_enemy_nodes_v2.csv; edge:enemy_invasion_edges_self_defense_v2.csv:enemy_from_alliance; edge:server_534_attack_edges_self_v2.csv:enemy_to_alliance; node_current:alliance_directory,44,TRUE,TRUE,FALSE,#509; #534; 中央,#509:B-17; #509:a-16; #509:C-5; #509:C-3; #509:a-2; #509:b-2; #534:e-14; #534:B-13,enemy_in_534_area; enemy_but_known_self_or_ally_candidate,needs_review,,
nO9,476,enemy,alliance_directory:manual_sample; current_enemy_nodes_v2.csv; edge:enemy_invasion_edges_self_defense_v2.csv:enemy_from_alliance; edge:server_534_attack_edges_self_v2.csv:enemy_to_alliance; node_current:alliance_directory,42,TRUE,TRUE,FALSE,#476; #480; #523; #534; 中央,#476:H-1; #476:J-1; #480:a-6; #523:a-20; #534:B-3; #534:c-4; #534:H-11; #534:H-9,enemy_in_534_area; enemy_but_known_self_or_ally_candidate,needs_review,,
476A,476,enemy,current_enemy_nodes_v2.csv; edge:enemy_invasion_edges_ally_defense_v2.csv:enemy_from_alliance; edge:server_534_attack_edges_ally_v2.csv:enemy_to_alliance; node_current:ownership_current,88,FALSE,TRUE,FALSE,#440; #476; #503; #509; #523; #534; 中央,#440:j-14; #440:j-12; #440:j-2; #440:j-6; #476:g-10; #476:g-12; #476:G-11; #476:j-10,enemy_in_534_area,needs_review,,
476X,476,enemy,current_enemy_nodes_v2.csv; node_current:ownership_current,54,FALSE,TRUE,FALSE,#476; #511; #523; #534; 中央,#476:a-18; #476:f-6; #476:j-20; #476:A-17; #511:J-11; #511:a-2; #511:I-15; #511:I-19,enemy_in_534_area,needs_review,,
59U,unknown,unknown,node_current:unknown,1,FALSE,FALSE,FALSE,#534,#534:H-19,unknown_resolved_server,needs_review,,
5DU,unknown,unknown,node_current:unknown,9,FALSE,FALSE,FALSE,#511; #523,#511:D-3; #523:b-12; #523:c-14; #523:C-21; #523:F-19; #523:C-17; #523:C-19; #523:A-17,unknown_resolved_server,needs_review,,
ALi,unknown,unknown,node_current:unknown,1,FALSE,FALSE,FALSE,#523,#523:J-21,unknown_resolved_server,needs_review,,
ALj,unknown,unknown,node_current:unknown,14,FALSE,FALSE,FALSE,#476; #511; 中央,#476:G-15; #476:G-17; #476:h-18; #476:F-17; #476:g-20; #476:H-21; #511:I-1; #511:H-1,unknown_resolved_server,needs_review,,
ANH2,unknown,unknown,node_current:unknown,2,FALSE,FALSE,FALSE,#440,#440:B-19; #440:D-19,unknown_resolved_server,needs_review,,
AoW,unknown,unknown,node_current:unknown,11,FALSE,FALSE,FALSE,#509,#509:b-14; #509:C-15; #509:K-9; #509:a-18; #509:B-19; #509:I-9; #509:b-18; #509:i-10,unknown_resolved_server,needs_review,,
BHE,unknown,unknown,node_current:unknown,17,FALSE,FALSE,FALSE,#509; 中央,#509:h-4; #509:h-6; #509:F-3; #509:I-11; #509:h-8; #509:f-2; #509:f-6; #509:g-4,unknown_resolved_server,needs_review,,
Bye,unknown,unknown,node_current:unknown,14,FALSE,FALSE,FALSE,#480; #503; 中央,#480:K-11; #503:A-5; #503:b-6; #503:b-8; #503:C-5; #503:B-5; #503:B-7; #503:B-9,unknown_resolved_server,needs_review,,
CDf8,unknown,unknown,node_current:unknown,15,FALSE,FALSE,FALSE,#480; #511; 中央,#480:d-16; #480:e-16; #480:D-5; #480:f-14; #480:B-17; #480:B-19; #480:G-15; #511:J-19,unknown_resolved_server,needs_review,,
COZy,unknown,unknown,node_current:unknown,6,FALSE,FALSE,FALSE,#480; #503; 中央,#480:K-9; #480:j-20; #480:E-21; #503:A-9; #503:a-20; 中央:中央-10-17,unknown_resolved_server,needs_review,,
CROW,unknown,unknown,node_current:unknown,5,FALSE,FALSE,FALSE,#534,#534:J-3; #534:j-4; #534:J-5; #534:j-6; #534:K-5,unknown_resolved_server,needs_review,,
DOLU,unknown,unknown,node_current:unknown,11,FALSE,FALSE,FALSE,#440,#440:C-5; #440:C-7; #440:C-9; #440:b-12; #440:b-14; #440:C-11; #440:D-15; #440:C-13,unknown_resolved_server,needs_review,,
Dao,unknown,unknown,node_current:unknown,14,FALSE,FALSE,FALSE,#509; #534,#509:H-1; #534:j-16; #534:i-6; #534:h-12; #534:i-10; #534:I-11; #534:I-13; #534:i-8,unknown_resolved_server,needs_review,,
EDFS,unknown,unknown,node_current:unknown,16,FALSE,FALSE,FALSE,#511; #523; 中央,#511:F-3; #511:G-3; #523:C-5; #523:D-5; #523:G-19; #523:B-13; #523:B-9; #523:H-19,unknown_resolved_server,needs_review,,
FarM,unknown,unknown,node_current:unknown,10,FALSE,FALSE,FALSE,#503,#503:h-8; #503:I-7; #503:I-9; #503:i-8; #503:J-9; #503:J-7; #503:K-5; #503:K-7,unknown_resolved_server,needs_review,,
GcC,unknown,unknown,node_current:unknown,17,FALSE,FALSE,FALSE,#440; #476; #480; #503; #523; 中央,#440:e-14; #440:f-14; #440:j-10; #440:g-10; #476:j-14; #480:C-15; #480:a-10; #480:B-11,unknown_resolved_server,needs_review,,
IMP,unknown,unknown,node_current:unknown,3,FALSE,FALSE,FALSE,#480; 中央,#480:A-11; #480:B-9; 中央:中央-17-16,unknown_resolved_server,needs_review,,
IMp,unknown,unknown,node_current:unknown,10,FALSE,FALSE,FALSE,#440; #511,#440:I-15; #440:f-4; #440:e-4; #440:D-3; #440:E-1; #440:J-7; #440:G-1; #440:c-10,unknown_resolved_server,needs_review,,
IXM,unknown,unknown,node_current:unknown,2,FALSE,FALSE,FALSE,#476,#476:K-13; #476:K-9,unknown_resolved_server,needs_review,,
JL0,unknown,unknown,node_current:unknown,7,FALSE,FALSE,FALSE,#511; 中央,#511:K-11; #511:c-12; #511:f-8; 中央:中央-17-8; 中央:中央-15-10; 中央:中央-18-10; 中央:中央-19-9,unknown_resolved_server,needs_review,,
