node_id,area,coord,node_type_norm,current_alliance,owner_server,owner_server_source,server_side,pact_status,status_norm,frontline_group,enemy_flag,destroyed_flag,strategic_value,risk_score,risk_level,risk_note,confidence,memo
#440:d-12,#440,d-12,city,BAJ,440,alliance_directory,ally,attack_allowed,owned,frontline_core,FALSE,FALSE,30,60,high,city +30; frontline_core +30,medium,
#440:d-14,#440,d-14,city,BAJ,440,alliance_directory,ally,attack_allowed,owned,frontline_core,FALSE,FALSE,30,60,high,city +30; frontline_core +30,medium,
#509:c-8,#509,c-8,city,VEX,509,alliance_directory,ally,attack_allowed,owned,frontline_core,FALSE,FALSE,30,60,high,city +30; frontline_core +30,medium,
#509:d-14,#509,d-14,city,FHX,509,alliance_directory,ally,attack_allowed,owned,frontline_core,FALSE,FALSE,30,60,high,city +30; frontline_core +30,medium,
#511:c-10,#511,c-10,city,2N7,511,alliance_directory,ally,attack_allowed,owned,frontline_core,FALSE,FALSE,30,60,high,city +30; frontline_core +30,medium,
#440:d-6,#440,d-6,city,GoDs,440,alliance_alias,ally,attack_allowed,owned,frontline_adjacent,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15,medium,
#440:e-6,#440,e-6,city,GoDs,440,alliance_alias,ally,attack_allowed,owned,frontline_adjacent,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15,medium,
#509:d-16,#509,d-16,city,SsQ,509,alliance_alias,ally,attack_allowed,owned,frontline_adjacent,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15,medium,
#509:d-18,#509,d-18,city,SsQ,509,alliance_alias,ally,attack_allowed,owned,frontline_adjacent,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15,medium,
#509:d-4,#509,d-4,city,tWD,509,alliance_directory,ally,attack_allowed,owned,frontline_adjacent,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15,medium,
#509:d-6,#509,d-6,city,tWD,509,alliance_directory,ally,attack_allowed,owned,frontline_adjacent,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15,medium,
#509:d-8,#509,d-8,city,VEX,509,alliance_directory,ally,attack_allowed,owned,frontline_adjacent,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15,medium,
#509:e-14,#509,e-14,city,FHX,509,alliance_directory,ally,attack_allowed,owned,frontline_adjacent,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15,medium,
#509:e-18,#509,e-18,city,FHX,509,alliance_directory,ally,attack_allowed,owned,frontline_adjacent,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15,medium,
#509:e-2,#509,e-2,city,tWD,509,alliance_directory,ally,attack_allowed,owned,frontline_adjacent,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15,medium,
#509:e-4,#509,e-4,city,tWD,509,alliance_directory,ally,attack_allowed,owned,frontline_adjacent,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15,medium,
#509:e-6,#509,e-6,city,tWD,509,alliance_directory,ally,attack_allowed,owned,frontline_adjacent,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15,medium,
#509:e-8,#509,e-8,city,SsQ,509,alliance_alias,ally,attack_allowed,owned,frontline_adjacent,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15,medium,
#511:d-20,#511,d-20,city,DaNG,511,alliance_directory,ally,attack_allowed,owned,frontline_adjacent,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15,medium,
#511:d-6,#511,d-6,city,2N7,511,alliance_directory,ally,attack_allowed,owned,frontline_adjacent,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15,medium,
#511:d-8,#511,d-8,city,2N7,511,alliance_directory,ally,attack_allowed,owned,frontline_adjacent,FALSE,FALSE,30,45,mid,city +30; frontline_adjacent +15,medium,
