node_id,node_label,node_type,area,map_x,map_y,level,importance,is_map_visible,connectable,movement_role,permanent_status,permanent_status_at_jst,permanent_status_by,permanent_status_source,permanent_status_note
#440:b-10,b-10,都市,#440,449,149,,8,TRUE,TRUE,target_only,active,,,,
#440:H-3,H-3,漁場,#440,99,699,,3,TRUE,TRUE,transit,active,,,,
#440:E-5,E-5,漁場,#440,199,399,,3,TRUE,TRUE,transit,active,,,,
#440:A-5,A-5,漁場,#440,199,20,,3,TRUE,TRUE,transit,active,,,,
#440:C-5,C-5,漁場,#440,199,199,,3,TRUE,TRUE,transit,active,,,,
#440:C-7,C-7,漁場,#440,299,199,,3,TRUE,TRUE,transit,active,,,,
#440:G-17,G-17,漁場,#440,799,599,,3,TRUE,TRUE,transit,active,,,,
#440:A-7,A-7,漁場,#440,299,20,,3,TRUE,TRUE,transit,active,,,,
#440:B-19,B-19,漁場,#440,899,99,,3,TRUE,TRUE,transit,active,,,,
#440:I-15,I-15,漁場,#440,699,799,,3,TRUE,TRUE,transit,active,,,,
#440:D-5,D-5,漁場,#440,199,299,,3,TRUE,TRUE,transit,active,,,,
#440:E-9,E-9,漁場,#440,399,399,,3,TRUE,TRUE,transit,active,,,,
#440:D-7,D-7,漁場,#440,299,299,,3,TRUE,TRUE,transit,active,,,,
#440:A-1,A-1,漁場,#440,20,20,,3,TRUE,TRUE,transit,active,,,,
#440:F-7,F-7,漁場,#440,299,499,,3,TRUE,TRUE,transit,active,,,,
#440:B-7,B-7,漁場,#440,299,99,,3,TRUE,TRUE,transit,active,,,,
#440:H-7,H-7,漁場,#440,299,699,,3,TRUE,TRUE,transit,active,,,,
#440:A-9,A-9,漁場,#440,399,20,,3,TRUE,TRUE,transit,active,,,,
#440:C-9,C-9,漁場,#440,399,199,,3,TRUE,TRUE,transit,active,,,,
#440:b-12,b-12,都市,#440,549,149,,8,TRUE,TRUE,target_only,active,,,,
#440:b-14,b-14,都市,#440,649,149,,8,TRUE,TRUE,target_only,active,,,,
#440:C-11,C-11,漁場,#440,499,199,,3,TRUE,TRUE,transit,active,,,,
#440:e-14,e-14,都市,#440,649,449,,8,TRUE,TRUE,target_only,active,,,,
#440:f-14,f-14,都市,#440,649,549,,8,TRUE,TRUE,target_only,active,,,,
#440:d-14,d-14,都市,#440,649,349,,8,TRUE,TRUE,target_only,active,,,,
#440:H-5,H-5,漁場,#440,199,699,,3,TRUE,TRUE,transit,active,,,,
#440:d-12,d-12,都市,#440,549,349,,8,TRUE,TRUE,target_only,active,,,,
#440:h-4,h-4,都市,#440,149,749,,8,TRUE,TRUE,target_only,active,,,,
#440:I-5,I-5,漁場,#440,199,799,,3,TRUE,TRUE,transit,active,,,,
#440:d-6,d-6,都市,#440,249,349,,8,TRUE,TRUE,target_only,active,,,,
#440:i-6,i-6,都市,#440,249,849,,8,TRUE,TRUE,target_only,active,,,,
#440:f-4,f-4,都市,#440,149,549,,8,TRUE,TRUE,target_only,destroyed,2026/05/30 12:43,,legacy_management_table,都市破壊OCR IMG_1439.PNG / 2026/05/30 12:43:58 / #440 X:149 Y:549 Lv.1都市 / 攻撃側 #476[476M] / 防衛側 #440[IMp] / 宝箱×2 / 破壊済み・復活なし
#440:e-4,e-4,都市,#440,149,449,,8,TRUE,TRUE,target_only,destroyed,2026/05/30 12:43,,legacy_management_table,都市破壊OCR IMG_1438.PNG / 2026/05/30 12:43:32 / #440 X:149 Y:449 Lv.1都市 / 攻撃側 #476[476X] / 防衛側 #440[IMp] / 宝箱×2 / 破壊済み・復活なし
#440:F-5,F-5,漁場,#440,199,499,,3,TRUE,TRUE,transit,active,,,,
#440:G-5,G-5,漁場,#440,199,599,,3,TRUE,TRUE,transit,active,,,,
#440:h-18,h-18,都市,#440,849,749,,8,TRUE,TRUE,target_only,active,,,,
#440:g-20,g-20,都市,#440,949,649,,8,TRUE,TRUE,target_only,active,,,,
#440:d-16,d-16,都市,#440,749,349,,8,TRUE,TRUE,target_only,active,,,,
#440:i-16,i-16,都市,#440,749,849,,8,TRUE,TRUE,target_only,active,,,,
#440:E-7,E-7,漁場,#440,299,399,,3,TRUE,TRUE,transit,active,,,,
#440:D-3,D-3,漁場,#440,99,299,,3,TRUE,TRUE,transit,active,,,,
#440:D-15,D-15,漁場,#440,699,299,,3,TRUE,TRUE,transit,active,,,,
#440:E-17,E-17,漁場,#440,799,399,,3,TRUE,TRUE,transit,active,,,,
#440:j-14,j-14,交易地,#440,649,949,,1,TRUE,FALSE,isolated,active,,,,
#440:j-10,j-10,交易地,#440,449,949,,1,TRUE,FALSE,isolated,active,,,,
#440:j-12,j-12,交易地,#440,549,949,,1,TRUE,FALSE,isolated,active,,,,
#440:j-16,j-16,交易地,#440,749,949,,1,TRUE,FALSE,isolated,active,,,,
#440:j-18,j-18,交易地,#440,849,949,,1,TRUE,FALSE,isolated,active,,,,
#440:j-2,j-2,交易地,#440,49,949,,1,TRUE,FALSE,isolated,active,,,,
#440:j-20,j-20,交易地,#440,949,949,,1,TRUE,FALSE,isolated,active,,,,
#440:j-4,j-4,交易地,#440,149,949,,1,TRUE,FALSE,isolated,active,,,,
#440:j-6,j-6,交易地,#440,249,949,,1,TRUE,FALSE,isolated,active,,,,
#440:j-8,j-8,交易地,#440,349,949,,1,TRUE,FALSE,isolated,active,,,,
#440:E-11,E-11,漁場,#440,499,399,,3,TRUE,TRUE,transit,active,,,,
#440:D-1,D-1,漁場,#440,20,299,,3,TRUE,TRUE,transit,active,,,,
#440:F-3,F-3,漁場,#440,99,499,,3,TRUE,TRUE,transit,active,,,,
#440:E-1,E-1,漁場,#440,20,399,,3,TRUE,TRUE,transit,active,,,,
#440:C-13,C-13,漁場,#440,599,199,,3,TRUE,TRUE,transit,active,,,,
#440:H-17,H-17,漁場,#440,799,699,,3,TRUE,TRUE,transit,active,,,,
#440:D-19,D-19,漁場,#440,899,299,,3,TRUE,TRUE,transit,active,,,,
#440:F-13,F-13,漁場,#440,599,499,,3,TRUE,TRUE,transit,active,,,,
#440:J-7,J-7,漁場,#440,299,899,,3,TRUE,TRUE,transit,active,,,,
#440:J-17,J-17,漁場,#440,799,899,,3,TRUE,TRUE,transit,active,,,,
#440:G-1,G-1,漁場,#440,20,599,,3,TRUE,TRUE,transit,active,,,,
#440:C-17,C-17,漁場,#440,799,199,,3,TRUE,TRUE,transit,active,,,,
#440:C-15,C-15,漁場,#440,699,199,,3,TRUE,TRUE,transit,active,,,,
#440:c-10,c-10,都市,#440,449,249,,8,TRUE,TRUE,target_only,active,,,,
#440:J-13,J-13,漁場,#440,599,899,,3,TRUE,TRUE,transit,active,,,,
#440:g-4,g-4,都市,#440,149,649,,8,TRUE,TRUE,target_only,active,,,,
#440:g-10,g-10,都市,#440,449,649,,8,TRUE,TRUE,target_only,active,,,,
#440:a-20,a-20,都市,#440,949,49,,8,TRUE,TRUE,target_only,active,,,,
#440:g-18,g-18,都市,#440,849,649,,8,TRUE,TRUE,target_only,active,,,,
#440:c-12,c-12,都市,#440,549,249,,8,TRUE,TRUE,target_only,active,,,,
#440:e-16,e-16,都市,#440,749,449,,8,TRUE,TRUE,target_only,active,,,,
#440:e-6,e-6,都市,#440,249,449,,8,TRUE,TRUE,target_only,active,,,,
