node_id,owner_server,owner_alliance,affiliation,acquired_at_jst,source,confidence,last_confirmed_at,last_event_id,status,note
#440:b-10,,WoW3,unknown,2026/05/27 18:15,legacy_management_table,medium,2026/05/27 18:15,,active,手入力ログ 2026/05/27 18:15 / #440 X:449 Y:149 Lv.1 密林の村 / 中立/未登録 -> WoW3 / 種別は都市に正規化 / 最初の連盟
#440:H-3,,BAJ,unknown,2026/05/27 15:08,legacy_management_table,medium,2026/05/27 15:08,,active,手入力ログ 2026/05/27 15:08 / #440 X:99 Y:699 Lv.1 漁場 / 中立/未登録 -> BAJ
#440:E-5,,BAJ,unknown,2026/05/27 6:16,legacy_management_table,medium,2026/05/27 6:16,,active,手入力ログ 2026/05/27 6:16 / #440 X:199 Y:399 Lv.2 漁場 / 中立/未登録 -> BAJ / 画像:269C1960-ECB0-4A5E-8F25-98B00614784B.jpeg
#440:A-5,,WoW3,unknown,2026/05/27 0:33,legacy_management_table,medium,2026/05/27 0:33,,active,手入力ログ 2026/05/27 0:33 / #440 X:199 Y:20 Lv.1 漁場 / 中立/未登録 -> WoW3 / 画像:EC98C0E9-48DF-4F7A-8B3D-02CA2FE91BBE.jpeg / 最初の連盟
#440:C-5,,DOLU,unknown,2026/05/26 21:03,legacy_management_table,medium,2026/05/26 21:03,,active,RAW_OCR_LOG row35 / #440 X:199 Y:199 Lv.2 漁場 / 中立/未登録 -> DOLU / 画像:5EB14927
#440:C-7,,DOLU,unknown,2026/05/26 20:23,legacy_management_table,medium,2026/05/26 20:23,,active,RAW_OCR_LOG row34 / #440 X:299 Y:199 Lv.2 漁場 / 中立/未登録 -> DOLU / 画像:B134A32E
#440:G-17,,TrX,unknown,2026/05/26 19:56,legacy_management_table,medium,2026/05/26 19:56,,active,RAW_OCR_LOG row32 / #440 X:799 Y:599 Lv.2 漁場 / 中立/未登録 -> TrX / 画像:D276CB23
#440:A-7,,WoW3,unknown,2026/05/26 10:58,legacy_management_table,medium,2026/05/26 10:58,,active,RAW_OCR_LOG row31 / #440 X:299 Y:20 Lv.1 漁場 / 中立/未登録 -> WoW3 / 画像:4E8F59DC
#440:B-19,,ANH2,unknown,2026/05/26 5:32,legacy_management_table,medium,2026/05/26 5:32,,active,RAW_OCR_LOG row23 / #440 X:899 Y:99 Lv.1 漁場 / 中立/未登録 -> ANH2 / 画像:1E0D536C
#440:I-15,,GcC,unknown,2026/05/30 23:41,legacy_management_table,medium,2026/05/30 23:41,,active,Dropbox赤字OCR IMG_1454.PNG / #440 X:699 Y:799 Lv.2 漁場 / IMp -> GcC
#440:D-5,,BAJ,unknown,2026/05/26 0:21,legacy_management_table,medium,2026/05/26 0:21,,active,赤字OCR IMG_1090.PNG / #440 X:199 Y:299 Lv.2 漁場 / 中立/未登録 -> BAJ / 最初の連盟
#440:E-9,,SsQ,unknown,2026/05/25 23:41,legacy_management_table,medium,2026/05/25 23:41,,active,赤字OCR IMG_1089.PNG / #440 X:399 Y:399 Lv.4 漁場 / 中立/未登録 -> SsQ
#440:D-7,,BAJ,unknown,2026/05/25 5:06,legacy_management_table,medium,2026/05/25 5:06,,active,手入力ログ 2026/05/25 05:06 / #440 X:299 Y:299 Lv.3 漁場 / 中立/未登録 -> BAJ / 最初の連盟
#440:A-1,,nv8,unknown,2026/05/25 3:42,legacy_management_table,medium,2026/05/25 3:42,,active,手入力ログ 2026/05/25 03:42 / #440 X:20 Y:20 Lv.1 漁場 / 中立/未登録 -> nv8 / 最初の連盟
#440:F-7,,BAJ,unknown,2026/05/25 1:36,legacy_management_table,medium,2026/05/25 1:36,,active,手入力ログ 2026/05/25 01:36 / #440 X:299 Y:499 Lv.3 漁場 / 中立/未登録 -> BAJ
#440:B-7,,WoW3,unknown,2026/05/24 19:26,legacy_management_table,medium,2026/05/24 19:26,,active,手入力ログ 2026/05/24 19:26 / #440 X:299 Y:99 Lv.1 漁場 / 中立/未登録 -> WoW3 / 最初の連盟
#440:H-7,,aTA,unknown,2026/05/24 18:20,legacy_management_table,medium,2026/05/24 18:20,,active,手入力ログ 2026/05/24 18:20 / #440 X:299 Y:699 Lv.3 漁場 / 中立/未登録 -> aTA
#440:A-9,,WoW3,unknown,2026/05/24 9:36,legacy_management_table,medium,2026/05/24 9:36,,active,赤字OCR IMG_0879.PNG / #440 X:399 Y:20 Lv.1 / 中立/未登録 -> WoW3
#440:C-9,,DOLU,unknown,2026/05/24 6:13,legacy_management_table,medium,2026/05/24 6:13,,active,赤字OCR IMG_0870.PNG / #440 X:399 Y:199 Lv.2 / 中立/未登録 -> DOLU
#440:b-12,,DOLU,unknown,2026/05/24 5:17,legacy_management_table,medium,2026/05/24 5:17,,active,赤字OCR IMG_0870.PNG / #440 X:549 Y:149 Lv.1 / 中立/未登録 -> DOLU / 時刻は前後スクショから推定
#440:b-14,,DOLU,unknown,2026/05/24 5:17,legacy_management_table,medium,2026/05/24 5:17,,active,赤字OCR IMG_0869.PNG / #440 X:649 Y:149 Lv.1 / 中立/未登録 -> DOLU
#440:C-11,,DOLU,unknown,2026/05/24 2:38,legacy_management_table,medium,2026/05/24 2:38,,active,赤字OCR IMG_0865.PNG / #440 X:499 Y:199 Lv.2 / 中立/未登録 -> DOLU
#440:e-14,,GcC,unknown,2026/05/23 21:58,legacy_management_table,medium,2026/05/23 21:58,,active,赤字OCR IMG_0744.PNG / #440 X:649 Y:449 Lv.3 / 中立/未登録 -> GcC
#440:f-14,,GcC,unknown,2026/05/23 21:58,legacy_management_table,medium,2026/05/23 21:58,,active,赤字OCR IMG_0744.PNG / #440 X:649 Y:549 Lv.3 / 中立/未登録 -> GcC
#440:d-14,,BAJ,unknown,2026/05/23 21:05,legacy_management_table,medium,2026/05/23 21:05,,active,赤字OCR IMG_0742.PNG / #440 X:649 Y:349 Lv.3 / 中立/未登録 -> BAJ
#440:H-5,,aTA,unknown,2026/05/23 21:05,legacy_management_table,medium,2026/05/23 21:05,,active,赤字OCR IMG_0743.PNG / #440 X:199 Y:699 Lv.2 / 中立/未登録 -> aTA
#440:d-12,,BAJ,unknown,2026/05/23 20:59,legacy_management_table,medium,2026/05/23 20:59,,active,赤字OCR IMG_0742.PNG / #440 X:549 Y:349 Lv.3 / 中立/未登録 -> BAJ
#440:h-4,,aTA,unknown,2026/05/23 20:10,legacy_management_table,medium,2026/05/23 20:10,,active,赤字OCR IMG_0714.PNG / #440 X:149 Y:749 Lv1 密林の村 / 中立/未登録 -> aTA
#440:I-5,,aTA,unknown,2026/05/23 19:15,legacy_management_table,medium,2026/05/23 19:15,,active,赤字OCR IMG_0713.PNG / #440 X:199 Y:799 Lv2 漁場 / 中立/未登録 -> aTA
#440:d-6,,GoDs,unknown,2026/05/23 18:07,legacy_management_table,medium,2026/05/23 18:07,,active,赤字OCR IMG_0710.PNG / #440 X:249 Y:349 Lv2 密林の兵舎 / 中立/未登録 -> GoDs
#440:i-6,,GoDs,unknown,2026/05/23 18:02,legacy_management_table,medium,2026/05/23 18:02,,active,赤字OCR IMG_0710.PNG / #440 X:249 Y:849 Lv1 密林の村 / 中立/未登録 -> GoDs
