優先度,対象ライン,対象座標,対象拠点ID,対象連盟,目標開放,実行時間帯,候補連盟,候補サーバ,候補座標,候補拠点ID,隣接確認,盟約確認,取得上限確認,安全時間影響,候補判定,理由,メモ
高,A,#509 A-3,#509:A-3,SHA,次回交戦日 7:00,23:00〜翌6:59,4tH,534,#509 B-3,#509:B-3,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
高,A,#509 A-17,#509:A-17,KTVS,次回交戦日 7:00,23:00〜翌6:59,SHA,534,#509 a-16,#509:a-16,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#509 B-3,#509:B-3,4tH,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,SHA,534,#509 A-3,#509:A-3,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#509 B-3,#509:B-3,4tH,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,SHA,534,#509 C-3,#509:C-3,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#509 B-3,#509:B-3,4tH,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,SHA,534,#509 b-2,#509:b-2,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
高,A,#534 A-1,#534:A-1,nO9,次回交戦日 7:00,23:00〜翌6:59,KTVS,534,#534 A-3,#534:A-3,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
高,A,#534 A-1,#534:A-1,nO9,次回交戦日 7:00,23:00〜翌6:59,Skh,534候補,#534 B-1,#534:B-1,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
高,A,#534 A-3,#534:A-3,KTVS,次回交戦日 7:00,23:00〜翌6:59,nO9,534,#534 A-1,#534:A-1,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
高,A,#534 A-3,#534:A-3,KTVS,次回交戦日 7:00,23:00〜翌6:59,4tH,534,#534 A-5,#534:A-5,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
高,A,#534 A-3,#534:A-3,KTVS,次回交戦日 7:00,23:00〜翌6:59,Skh,534候補,#534 B-3,#534:B-3,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
高,A,#534 A-5,#534:A-5,4tH,次回交戦日 7:00,23:00〜翌6:59,KTVS,534,#534 A-3,#534:A-3,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
高,A,#534 A-9,#534:A-9,SHA0,次回交戦日 7:00,23:00〜翌6:59,Trh,534候補,#534 A-11,#534:A-11,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
高,A,#534 A-11,#534:A-11,Trh,次回交戦日 7:00,23:00〜翌6:59,SHA,534,#476 K-13,#476:K-13,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（別エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
高,A,#534 A-11,#534:A-11,Trh,次回交戦日 7:00,23:00〜翌6:59,4tH,534,#534 A-13,#534:A-13,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
高,A,#534 A-11,#534:A-11,Trh,次回交戦日 7:00,23:00〜翌6:59,SHA0,534候補,#534 A-9,#534:A-9,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
高,A,#534 A-13,#534:A-13,4tH,次回交戦日 7:00,23:00〜翌6:59,SHA,534,#476 K-13,#476:K-13,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（別エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
高,A,#534 A-13,#534:A-13,4tH,次回交戦日 7:00,23:00〜翌6:59,Trh,534候補,#534 A-11,#534:A-11,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
高,A,#534 A-13,#534:A-13,4tH,次回交戦日 7:00,23:00〜翌6:59,w6F,534候補,#534 A-15,#534:A-15,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
高,A,#534 A-13,#534:A-13,4tH,次回交戦日 7:00,23:00〜翌6:59,SHA,534,#534 B-13,#534:B-13,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
高,A,#534 A-15,#534:A-15,w6F,次回交戦日 7:00,23:00〜翌6:59,SHA,534,#476 K-13,#476:K-13,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（別エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
高,A,#534 A-15,#534:A-15,w6F,次回交戦日 7:00,23:00〜翌6:59,4tH,534,#534 A-13,#534:A-13,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
高,A,#534 A-15,#534:A-15,w6F,次回交戦日 7:00,23:00〜翌6:59,MOE,534候補,#534 B-15,#534:B-15,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
高,A,#534 A-17,#534:A-17,w6F,次回交戦日 7:00,23:00〜翌6:59,KTVS,534,#534 A-19,#534:A-19,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
高,A,#534 A-19,#534:A-19,KTVS,次回交戦日 7:00,23:00〜翌6:59,w6F,534候補,#534 A-17,#534:A-17,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
高,A,#534 A-19,#534:A-19,KTVS,次回交戦日 7:00,23:00〜翌6:59,w6F,534候補,#534 B-19,#534:B-19,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
高,A,#534 A-21,#534:A-21,KTVS,次回交戦日 7:00,23:00〜翌6:59,w6F,534候補,#534 B-21,#534:B-21,隣接あり,要確認,要確認,なし,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-1,#534:B-1,Skh,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,nO9,534,#534 A-1,#534:A-1,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-3,#534:B-3,Skh,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,KTVS,534,#534 A-3,#534:A-3,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-3,#534:B-3,Skh,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,4tH,534,#534 B-5,#534:B-5,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-3,#534:B-3,Skh,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,nO9,534,#534 C-3,#534:C-3,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-3,#534:B-3,Skh,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,nO9,534,#534 b-4,#534:b-4,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-5,#534:B-5,4tH,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,Skh,534候補,#534 B-3,#534:B-3,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-5,#534:B-5,4tH,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,RGWC,534候補,#534 C-5,#534:C-5,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-5,#534:B-5,4tH,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,nO9,534,#534 b-4,#534:b-4,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-9,#534:B-9,SHA0,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,Trh,534候補,#534 B-11,#534:B-11,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-9,#534:B-9,SHA0,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,SHA,534,#534 b-10,#534:b-10,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-11,#534:B-11,Trh,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,SHA,534,#534 B-13,#534:B-13,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-11,#534:B-11,Trh,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,SHA0,534候補,#534 B-9,#534:B-9,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-11,#534:B-11,Trh,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,SHA,534,#534 b-10,#534:b-10,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-11,#534:B-11,Trh,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,SHA,534,#534 b-12,#534:b-12,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-13,#534:B-13,SHA,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,4tH,534,#534 A-13,#534:A-13,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-13,#534:B-13,SHA,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,Trh,534候補,#534 B-11,#534:B-11,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-13,#534:B-13,SHA,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,MOE,534候補,#534 B-15,#534:B-15,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-13,#534:B-13,SHA,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,JDX,534,#534 C-13,#534:C-13,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-13,#534:B-13,SHA,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,Trh,534候補,#534 b-14,#534:b-14,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-15,#534:B-15,MOE,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,w6F,534候補,#534 A-15,#534:A-15,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-15,#534:B-15,MOE,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,SHA,534,#534 B-13,#534:B-13,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-15,#534:B-15,MOE,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,w6F,534候補,#534 B-17,#534:B-17,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-15,#534:B-15,MOE,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,Trh,534候補,#534 C-15,#534:C-15,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-15,#534:B-15,MOE,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,Trh,534候補,#534 b-14,#534:b-14,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-17,#534:B-17,w6F,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,MOE,534候補,#534 B-15,#534:B-15,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-17,#534:B-17,w6F,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,MOE,534候補,#534 C-17,#534:C-17,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-17,#534:B-17,w6F,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,MOE,534候補,#534 b-16,#534:b-16,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-17,#534:B-17,w6F,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,JDX,534,#534 b-18,#534:b-18,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-19,#534:B-19,w6F,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,KTVS,534,#534 A-19,#534:A-19,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-19,#534:B-19,w6F,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,KTVS,534,#534 C-19,#534:C-19,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-19,#534:B-19,w6F,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,JDX,534,#534 b-18,#534:b-18,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-21,#534:B-21,w6F,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,KTVS,534,#534 A-21,#534:A-21,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
中,B,#534 B-21,#534:B-21,w6F,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,SHA,534,#534 C-21,#534:C-21,隣接あり,要確認,要確認,15:00〜16:00除外,候補,青文字連盟の隣接拠点（同一エリア）,同一連盟は除外済み。盟約と取得上限は実行前確認。
