候補連盟,サーバ,色区分,候補座標,拠点ID,隣接先候補数,盟約確認,当日取得上限,使用可否,除外理由,確認状態,メモ
4tH,534,青,#509 B-3,#509:B-3,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
4tH,534,青,#534 A-13,#534:A-13,3,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
4tH,534,青,#534 A-5,#534:A-5,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
4tH,534,青,#534 B-5,#534:B-5,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
JDX,534,青,#534 C-13,#534:C-13,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
JDX,534,青,#534 b-18,#534:b-18,2,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
KTVS,534,青,#534 A-19,#534:A-19,2,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
KTVS,534,青,#534 A-21,#534:A-21,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
KTVS,534,青,#534 A-3,#534:A-3,3,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
KTVS,534,青,#534 C-19,#534:C-19,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
MOE,534候補,青,#534 B-15,#534:B-15,3,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
MOE,534候補,青,#534 C-17,#534:C-17,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
MOE,534候補,青,#534 b-16,#534:b-16,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
RGWC,534候補,青,#534 C-5,#534:C-5,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
SHA,534,青,#476 K-13,#476:K-13,3,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
SHA,534,青,#509 A-3,#509:A-3,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
SHA,534,青,#509 C-3,#509:C-3,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
SHA,534,青,#509 a-16,#509:a-16,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
SHA,534,青,#509 b-2,#509:b-2,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
SHA,534,青,#534 B-13,#534:B-13,3,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
SHA,534,青,#534 C-21,#534:C-21,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
SHA,534,青,#534 b-10,#534:b-10,2,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
SHA,534,青,#534 b-12,#534:b-12,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
SHA0,534候補,青,#534 A-9,#534:A-9,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
SHA0,534候補,青,#534 B-9,#534:B-9,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
Skh,534候補,青,#534 B-1,#534:B-1,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
Skh,534候補,青,#534 B-3,#534:B-3,2,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
Trh,534候補,青,#534 A-11,#534:A-11,2,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
Trh,534候補,青,#534 B-11,#534:B-11,2,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
Trh,534候補,青,#534 C-15,#534:C-15,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
Trh,534候補,青,#534 b-14,#534:b-14,2,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
nO9,534,青,#534 A-1,#534:A-1,2,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
nO9,534,青,#534 C-3,#534:C-3,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
nO9,534,青,#534 b-4,#534:b-4,2,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
w6F,534候補,青,#534 A-15,#534:A-15,2,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
w6F,534候補,青,#534 A-17,#534:A-17,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
w6F,534候補,青,#534 B-17,#534:B-17,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
w6F,534候補,青,#534 B-19,#534:B-19,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
w6F,534候補,青,#534 B-21,#534:B-21,1,要確認,要確認,要確認,,未確認,青文字の隣接候補。担当者と上限を確認。
