ライン,対象種別,座標,拠点ID,現所有連盟,所有サーバ,色区分,敵味方判定,現在状態,目標開放,必要な実行時間帯,対象判定,除外理由,確認状態,メモ
A,漁場,#440 A-1,#440:A-1,nv8,unknown,unknown,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,要確認,連盟所属未解決,要確認,連盟所属未解決
A,漁場,#440 A-3,#440:A-3,WoW3,unknown,green,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
A,漁場,#440 A-5,#440:A-5,WoW3,unknown,green,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
A,漁場,#440 A-7,#440:A-7,WoW3,unknown,green,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
A,漁場,#440 A-9,#440:A-9,WoW3,unknown,green,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
A,漁場,#440 A-11,#440:A-11,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#440 A-13,#440:A-13,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#440 A-15,#440:A-15,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#440 A-17,#440:A-17,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#440 A-19,#440:A-19,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#440 A-21,#440:A-21,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
