node_id,coord,node_type_norm,current_alliance,status_norm,protection_status,safe_until_jst,frontline_group,server_side,enemy_flag,destroyed_flag,strategic_value,risk_score,risk_level,risk_note
#440:b-10,b-10,city,WoW3,owned,safe_time_missing,,other,unknown,FALSE,FALSE,30,30,mid,city +30
#440:H-3,H-3,fishery,BAJ,owned,safe_time_missing,,other,ally,FALSE,FALSE,10,10,low,fishery +10
#440:E-5,E-5,fishery,BAJ,owned,safe_time_missing,,frontline_adjacent,ally,FALSE,FALSE,10,25,low,fishery +10; frontline_adjacent +15
#440:A-5,A-5,fishery,WoW3,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#440:C-5,C-5,fishery,DOLU,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#440:C-7,C-7,fishery,DOLU,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#440:G-17,G-17,fishery,TrX,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#440:A-7,A-7,fishery,WoW3,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#440:B-19,B-19,fishery,ANH2,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#440:I-15,I-15,fishery,IMp,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#440:D-5,D-5,fishery,BAJ,owned,safe_time_missing,,frontline_adjacent,ally,FALSE,FALSE,10,25,low,fishery +10; frontline_adjacent +15
#440:E-9,E-9,fishery,SsQ,owned,safe_time_missing,,frontline_adjacent,ally,FALSE,FALSE,10,25,low,fishery +10; frontline_adjacent +15
#440:D-7,D-7,fishery,BAJ,owned,safe_time_missing,,frontline_adjacent,ally,FALSE,FALSE,10,25,low,fishery +10; frontline_adjacent +15
#440:A-1,A-1,fishery,nv8,owned,safe_time_missing,,other,unknown,FALSE,FALSE,10,10,low,fishery +10
#440:F-7,F-7,fishery,BAJ,owned,safe_time_missing,,other,ally,FALSE,FALSE,10,10,low,fishery +10
