friendly_from_node,friendly_from_coord,friendly_from_alliance,friendly_from_server,enemy_to_node,enemy_to_coord,enemy_to_alliance,enemy_to_server,edge_type,attack_reason,recommended_action,confidence,execution_class,recommended_owner,review_priority,human_check
#480:D-15,D-15,SsQ,509,#480:d-14,d-14,BgNa,480,ally_to_enemy_adjacent,city +30; enemy_flag +40; frontline_core +30,都市破壊候補,medium,ally_coordination,#509/#440/#511,critical,発射元拠点確認; 都市破壊時間確認; 味方連携確認; 協定確認
#480:E-15,E-15,SsQ,509,#480:d-14,d-14,BgNa,480,ally_to_enemy_adjacent,city +30; enemy_flag +40; frontline_core +30,都市破壊候補,medium,ally_coordination,#509/#440/#511,critical,発射元拠点確認; 都市破壊時間確認; 味方連携確認; 協定確認
#480:E-7,E-7,BAJ,440,#480:e-8,e-8,BgNa,480,ally_to_enemy_adjacent,city +30; enemy_flag +40; frontline_adjacent +15,都市破壊候補,medium,ally_coordination,#509/#440/#511,high,発射元拠点確認; 都市破壊時間確認; 味方連携確認; 協定確認
#480:F-7,F-7,GoDs,440,#480:e-8,e-8,BgNa,480,ally_to_enemy_adjacent,city +30; enemy_flag +40; frontline_adjacent +15,都市破壊候補,medium,ally_coordination,#509/#440/#511,high,発射元拠点確認; 都市破壊時間確認; 味方連携確認; 協定確認
#480:F-9,F-9,BAJ,440,#480:e-8,e-8,BgNa,480,ally_to_enemy_adjacent,city +30; enemy_flag +40; frontline_adjacent +15,都市破壊候補,medium,ally_coordination,#509/#440/#511,high,発射元拠点確認; 都市破壊時間確認; 味方連携確認; 協定確認
#509:E-11,E-11,FHX,509,#509:D-11,D-11,476A,476,ally_to_enemy_adjacent,fishery +10; enemy_flag +40; frontline_core +30,味方連携確認,medium,ally_coordination,#509/#440/#511,high,発射元拠点確認; 味方連携確認; 協定確認
#509:c-12,c-12,VEX,509,#509:D-11,D-11,476A,476,ally_to_enemy_adjacent,fishery +10; enemy_flag +40; frontline_core +30,味方連携確認,medium,ally_coordination,#509/#440/#511,high,発射元拠点確認; 味方連携確認; 協定確認
#509:E-13,E-13,FHX,509,#509:D-13,D-13,476A,476,ally_to_enemy_adjacent,fishery +10; enemy_flag +40; frontline_core +30,味方連携確認,medium,ally_coordination,#509/#440/#511,high,発射元拠点確認; 味方連携確認; 協定確認
#509:c-12,c-12,VEX,509,#509:D-13,D-13,476A,476,ally_to_enemy_adjacent,fishery +10; enemy_flag +40; frontline_core +30,味方連携確認,medium,ally_coordination,#509/#440/#511,high,発射元拠点確認; 味方連携確認; 協定確認
#509:c-14,c-14,SsQ,509,#509:D-13,D-13,476A,476,ally_to_enemy_adjacent,fishery +10; enemy_flag +40; frontline_core +30,味方連携確認,medium,ally_coordination,#509/#440/#511,high,発射元拠点確認; 味方連携確認; 協定確認
#509:d-14,d-14,FHX,509,#509:D-13,D-13,476A,476,ally_to_enemy_adjacent,fishery +10; enemy_flag +40; frontline_core +30,味方連携確認,medium,ally_coordination,#509/#440/#511,high,発射元拠点確認; 味方連携確認; 協定確認
