friendly_from_node,friendly_from_coord,friendly_from_alliance,friendly_from_server,enemy_to_node,enemy_to_coord,enemy_to_alliance,enemy_to_server,edge_type,attack_reason,recommended_action,confidence,execution_class,recommended_owner,review_priority,human_check
,,,,#476:d-12,d-12,476B,476,edge_unknown,city +30; enemy_flag +40; frontline_core +30,地図確認,medium,map_check_required,R4/R5確認,critical,発射元拠点確認; 地図確認
,,,,#476:d-14,d-14,476B,476,edge_unknown,city +30; enemy_flag +40; frontline_core +30,地図確認,medium,map_check_required,R4/R5確認,critical,発射元拠点確認; 地図確認
,,,,#480:d-14,d-14,BgNa,480,edge_unknown,city +30; enemy_flag +40; frontline_core +30,地図確認,medium,map_check_required,R4/R5確認,critical,発射元拠点確認; 地図確認
,,,,#476:d-10,d-10,476B,476,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium,map_check_required,R4/R5確認,high,発射元拠点確認; 地図確認
,,,,#476:d-2,d-2,476K,476,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium,map_check_required,R4/R5確認,high,発射元拠点確認; 地図確認
,,,,#476:d-6,d-6,476M,476,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium,map_check_required,R4/R5確認,high,発射元拠点確認; 地図確認
,,,,#476:e-14,e-14,476d,476,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium,map_check_required,R4/R5確認,high,発射元拠点確認; 地図確認
,,,,#476:e-18,e-18,476Z,476,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium,map_check_required,R4/R5確認,high,発射元拠点確認; 地図確認
,,,,#480:e-18,e-18,AAOA,480,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium,map_check_required,R4/R5確認,high,発射元拠点確認; 地図確認
,,,,#480:e-6,e-6,TkTk,480,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium,map_check_required,R4/R5確認,high,発射元拠点確認; 地図確認
,,,,#480:e-8,e-8,BgNa,480,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium,map_check_required,R4/R5確認,high,発射元拠点確認; 地図確認
,,,,#503:d-10,d-10,Lghs,503,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium,map_check_required,R4/R5確認,high,発射元拠点確認; 地図確認
,,,,#503:e-8,e-8,Lghs,503,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium,map_check_required,R4/R5確認,high,発射元拠点確認; 地図確認
,,,,#503:d-2,d-2,GX99,503,edge_unknown,trade +20; enemy_flag +40; frontline_adjacent +15,地図確認,medium,map_check_required,R4/R5確認,high,発射元拠点確認; 地図確認
,,,,#509:d-20,d-20,476A,476,edge_unknown,trade +20; enemy_flag +40; frontline_adjacent +15,地図確認,medium,map_check_required,R4/R5確認,high,発射元拠点確認; 地図確認
,,,,#509:e-20,e-20,476B,476,edge_unknown,trade +20; enemy_flag +40; frontline_adjacent +15,地図確認,medium,map_check_required,R4/R5確認,high,発射元拠点確認; 地図確認
,,,,#511:e-2,e-2,AAOA,480,edge_unknown,trade +20; enemy_flag +40; frontline_adjacent +15,地図確認,medium,map_check_required,R4/R5確認,high,発射元拠点確認; 地図確認
,,,,#523:d-20,d-20,476X,476,edge_unknown,trade +20; enemy_flag +40; frontline_adjacent +15,地図確認,medium,map_check_required,R4/R5確認,high,発射元拠点確認; 地図確認
,,,,#476:a-10,a-10,476M,476,edge_unknown,city +30; enemy_flag +40,地図確認,medium,map_check_required,R4/R5確認,high,発射元拠点確認; 地図確認
,,,,#476:a-12,a-12,476M,476,edge_unknown,city +30; enemy_flag +40,地図確認,medium,map_check_required,R4/R5確認,high,発射元拠点確認; 地図確認
,,,,#476:a-18,a-18,476X,476,edge_unknown,city +30; enemy_flag +40,地図確認,medium,map_check_required,R4/R5確認,high,発射元拠点確認; 地図確認
,,,,#476:b-20,b-20,476Z,476,edge_unknown,city +30; enemy_flag +40,地図確認,medium,map_check_required,R4/R5確認,high,発射元拠点確認; 地図確認
,,,,#476:b-6,b-6,476T,476,edge_unknown,city +30; enemy_flag +40,地図確認,medium,map_check_required,R4/R5確認,high,発射元拠点確認; 地図確認
,,,,#476:b-8,b-8,476T,476,edge_unknown,city +30; enemy_flag +40,地図確認,medium,map_check_required,R4/R5確認,high,発射元拠点確認; 地図確認
,,,,#476:c-2,c-2,476K,476,edge_unknown,city +30; enemy_flag +40,地図確認,medium,map_check_required,R4/R5確認,high,発射元拠点確認; 地図確認
