rank,node_id,coord,node_type_norm,current_alliance,owner_server,server_side,frontline_group,risk_score,risk_level,risk_reason,recommended_action,confidence,memo_short
1,#480:c-10,c-10,city,,none,destroyed,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,都市破壊OCR IMG_1434.PNG / 2026/05/30 12:14:27 / #480 X:449 Y:249 Lv.2都市 / 攻撃側 #440…
2,#480:d-12,d-12,city,,none,destroyed,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,都市破壊ログ 2026/05/27 20:23:21 / #480 X:549 Y:349 Lv.3都市 / 攻撃側 #440[GcC] / 防衛側 #480…
3,#480:d-14,d-14,city,,none,destroyed,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,都市破壊OCR IMG_1433.PNG / 2026/05/30 12:04:51 / #480 X:649 Y:349 Lv.3都市 / 攻撃側 #509…
4,#509:c-10,c-10,city,,none,destroyed,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,都市破壊ログ 2026/05/28 12:22:48 / #509 X:449 Y:249 Lv.2都市 / 攻撃側 #503[Lghs] / 防衛側 #50…
5,#509:c-8,c-8,city,,none,destroyed,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,都市破壊OCR IMG_1430.PNG / 2026/05/30 04:02:33 / #509 X:349 Y:249 Lv.2都市 / 攻撃側 #476…
6,#509:d-12,d-12,city,,none,destroyed,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,都市破壊ログ 2026/05/27 20:04:04 / #509 X:549 Y:349 Lv.3都市 / 攻撃側 #476[476A] / 防衛側 #50…
7,#511:c-10,c-10,city,,none,destroyed,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,Dropbox破壊OCR IMG_1466.PNG / 2026/05/30 20:53:06 / #523[fIrE] が #511[2N7] 領有中の L…
8,#511:d-14,d-14,city,,none,destroyed,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,都市破壊ログ 2026/05/28 12:35:01 / #511 X:649 Y:349 Lv.3都市 / 攻撃側 #480[WbW] / 防衛側 #511…
9,#534:c-10,c-10,city,,none,destroyed,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,都市破壊ログ 2026/05/28 12:11:39 / #534 X:449 Y:249 Lv.2都市 / 攻撃側 #476[476C] / 防衛側 #53…
10,#534:c-8,c-8,city,,none,destroyed,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,都市破壊ログ 2026/05/28 12:13:53 / #534 X:349 Y:249 Lv.2都市 / 攻撃側 #476[476C] / 防衛側 #53…
11,#534:d-12,d-12,city,,none,destroyed,frontline_core,160,critical,city +30; destroyed_flag +100; frontline_core +30,破壊済み確認,high,都市破壊ログ 2026/05/27 20:02:15 / #534 X:549 Y:349 Lv.3都市 / 攻撃側 #476[476B] / 防衛側 #53…
