friendly_from_node,friendly_from_coord,friendly_from_alliance,friendly_from_server,enemy_to_node,enemy_to_coord,enemy_to_alliance,enemy_to_server,edge_type,attack_reason,recommended_action,confidence
,,,,#476:d-12,d-12,476B,476,edge_unknown,city +30; enemy_flag +40; frontline_core +30,地図確認,medium
,,,,#476:d-14,d-14,476B,476,edge_unknown,city +30; enemy_flag +40; frontline_core +30,地図確認,medium
,,,,#476:d-10,d-10,476B,476,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium
,,,,#476:d-2,d-2,476K,476,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium
,,,,#476:d-6,d-6,476M,476,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium
,,,,#476:e-14,e-14,476d,476,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium
,,,,#476:e-18,e-18,476Z,476,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium
,,,,#480:e-18,e-18,AAOA,480,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium
,,,,#503:d-10,d-10,Lghs,503,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium
,,,,#503:e-8,e-8,Lghs,503,edge_unknown,city +30; enemy_flag +40; frontline_adjacent +15,地図確認,medium
#509:E-11,E-11,FHX,509,#509:D-11,D-11,476A,476,ally_to_enemy_adjacent,fishery +10; enemy_flag +40; frontline_core +30,味方連携確認,medium
#509:E-13,E-13,FHX,509,#509:D-13,D-13,476A,476,ally_to_enemy_adjacent,fishery +10; enemy_flag +40; frontline_core +30,味方連携確認,medium
#509:d-14,d-14,FHX,509,#509:D-13,D-13,476A,476,ally_to_enemy_adjacent,fishery +10; enemy_flag +40; frontline_core +30,味方連携確認,medium
#534:D-9,D-9,SHA,534,#534:D-11,D-11,476C,476,self_to_enemy_adjacent,fishery +10; enemy_flag +40; frontline_core +30,攻撃候補,medium
#534:E-11,E-11,SHA,534,#534:D-11,D-11,476C,476,self_to_enemy_adjacent,fishery +10; enemy_flag +40; frontline_core +30,攻撃候補,medium
#534:C-13,C-13,JDX,534,#534:D-13,D-13,476B,476,self_to_enemy_adjacent,fishery +10; enemy_flag +40; frontline_core +30,攻撃候補,medium
#534:c-14,c-14,JDX,534,#534:D-13,D-13,476B,476,self_to_enemy_adjacent,fishery +10; enemy_flag +40; frontline_core +30,攻撃候補,medium
#534:E-11,E-11,SHA,534,#534:E-13,E-13,476C,476,self_to_enemy_adjacent,fishery +10; enemy_flag +40; frontline_core +30,攻撃候補,medium
,,,,#503:d-2,d-2,GX99,503,edge_unknown,trade +20; enemy_flag +40; frontline_adjacent +15,地図確認,medium
,,,,#509:d-20,d-20,476A,476,edge_unknown,trade +20; enemy_flag +40; frontline_adjacent +15,地図確認,medium
,,,,#509:e-20,e-20,476B,476,edge_unknown,trade +20; enemy_flag +40; frontline_adjacent +15,地図確認,medium
,,,,#511:e-2,e-2,AAOA,480,edge_unknown,trade +20; enemy_flag +40; frontline_adjacent +15,地図確認,medium
,,,,#523:d-20,d-20,476X,476,edge_unknown,trade +20; enemy_flag +40; frontline_adjacent +15,地図確認,medium
,,,,#476:a-10,a-10,476M,476,edge_unknown,city +30; enemy_flag +40,地図確認,medium
,,,,#476:a-12,a-12,476M,476,edge_unknown,city +30; enemy_flag +40,地図確認,medium
,,,,#476:a-18,a-18,476X,476,edge_unknown,city +30; enemy_flag +40,地図確認,medium
,,,,#476:b-20,b-20,476Z,476,edge_unknown,city +30; enemy_flag +40,地図確認,medium
,,,,#476:b-6,b-6,476T,476,edge_unknown,city +30; enemy_flag +40,地図確認,medium
,,,,#476:b-8,b-8,476T,476,edge_unknown,city +30; enemy_flag +40,地図確認,medium
,,,,#476:c-2,c-2,476K,476,edge_unknown,city +30; enemy_flag +40,地図確認,medium
,,,,#476:c-6,c-6,476M,476,edge_unknown,city +30; enemy_flag +40,地図確認,medium
,,,,#476:f-14,f-14,476d,476,edge_unknown,city +30; enemy_flag +40,地図確認,medium
,,,,#476:f-16,f-16,476d,476,edge_unknown,city +30; enemy_flag +40,地図確認,medium
