node_id,area,coord,node_type_raw,node_type_norm,x,y,current_alliance,owner_server,owner_server_source,server_side,pact_status,pact_source,status_raw,status_norm,captured_at_jst,safe_until_jst,protection_status,last_event_at,last_event_owner,event_count,confidence,enemy_flag,destroyed_flag,warning_flags,source_row,updated_at_jst,memo
中央:中央-11-15,中央,中央-11-15,祭壇,unknown,724,474,AAOA,480,alliance_directory,enemy,attack_allowed,manual,active,owned,2026/05/27 0:00,,safe_time_missing,2026/05/27 0:00,AAOA,0,medium,TRUE,FALSE,,1774,2026-05-31T14:21:08+09:00,
中央:中央-11-17,中央,中央-11-17,祭壇,unknown,824,474,WbW,,unknown,unknown,unknown,,active,owned,2026/05/27 0:00,,safe_time_missing,2026/05/27 0:00,WbW,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1775,2026-05-31T14:21:08+09:00,
中央:中央-12-15,中央,中央-12-15,祭壇,unknown,724,424,WbW,,unknown,unknown,unknown,,active,owned,2026/05/27 0:00,,safe_time_missing,2026/05/27 0:00,WbW,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1776,2026-05-31T14:21:08+09:00,
中央:中央-14-17,中央,中央-14-17,祭壇,unknown,824,324,RCON,480,alliance_directory,enemy,attack_allowed,manual,active,owned,2026/05/27 0:00,,safe_time_missing,2026/05/27 0:00,RCON,0,medium,TRUE,FALSE,,1777,2026-05-31T14:21:08+09:00,
中央:中央-15-4,中央,中央-15-4,祭壇,unknown,174,274,JL2,,unknown,unknown,unknown,,active,owned,2026/05/27 0:00,,safe_time_missing,2026/05/27 0:00,JL2,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1778,2026-05-31T14:21:08+09:00,
中央:中央-15-5,中央,中央-15-5,祭壇,unknown,224,274,DaNG,511,alliance_directory,ally,attack_allowed,manual,active,owned,2026/05/27 0:00,,safe_time_missing,2026/05/27 0:00,DaNG,0,medium,FALSE,FALSE,,1779,2026-05-31T14:21:08+09:00,
中央:中央-16-16,中央,中央-16-16,祭壇,unknown,774,224,SVa,511,alliance_directory,ally,attack_allowed,manual,active,owned,2026/05/27 0:00,,safe_time_missing,2026/05/27 0:00,SVa,0,medium,FALSE,FALSE,,1780,2026-05-31T14:21:08+09:00,
中央:中央-16-5,中央,中央-16-5,祭壇,unknown,224,224,EDFS,,unknown,unknown,unknown,,active,owned,2026/05/27 0:00,,safe_time_missing,2026/05/27 0:00,EDFS,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1781,2026-05-31T14:21:08+09:00,
中央:中央-17-5,中央,中央-17-5,祭壇,unknown,224,174,FHX,509,alliance_directory,ally,attack_allowed,manual,active,owned,2026/05/27 0:00,,safe_time_missing,2026/05/27 0:00,FHX,0,medium,FALSE,FALSE,,1782,2026-05-31T14:21:08+09:00,
中央:中央-4-7,中央,中央-4-7,祭壇,unknown,324,824,476X,476,ownership_current,enemy,attack_allowed,manual,active,owned,2026/05/27 0:00,,safe_time_missing,2026/05/27 0:00,476X,0,medium,TRUE,FALSE,,1783,2026-05-31T14:21:08+09:00,
中央:中央-5-15,中央,中央-5-15,祭壇,unknown,724,774,one,,unknown,unknown,unknown,,active,owned,2026/05/27 0:00,,safe_time_missing,2026/05/27 0:00,one,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1784,2026-05-31T14:21:08+09:00,
中央:中央-5-16,中央,中央-5-16,祭壇,unknown,774,774,TIKW,,unknown,unknown,unknown,,active,owned,2026/05/27 0:00,,safe_time_missing,2026/05/27 0:00,TIKW,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1785,2026-05-31T14:21:08+09:00,
中央:中央-6-15,中央,中央-6-15,祭壇,unknown,724,724,JDX,534,alliance_directory,self,attack_allowed,manual,active,owned,2026/05/27 0:00,,safe_time_missing,2026/05/27 0:00,JDX,0,medium,FALSE,FALSE,,1786,2026-05-31T14:21:08+09:00,
中央:中央-7-5,中央,中央-7-5,祭壇,unknown,224,674,476H,476,ownership_current,enemy,attack_allowed,manual,active,owned,2026/05/27 0:00,,safe_time_missing,2026/05/27 0:00,476H,0,medium,TRUE,FALSE,,1787,2026-05-31T14:21:08+09:00,
中央:中央-7-7,中央,中央-7-7,祭壇,unknown,324,674,476Z,476,ownership_current,enemy,attack_allowed,manual,active,owned,2026/05/27 0:00,,safe_time_missing,2026/05/27 0:00,476Z,0,medium,TRUE,FALSE,,1788,2026-05-31T14:21:08+09:00,
中央:中央-8-17,中央,中央-8-17,祭壇,unknown,824,624,299,299,ownership_current,enemy,unknown,,active,owned,2026/05/27 0:00,,safe_time_missing,2026/05/27 0:00,299,0,medium,TRUE,FALSE,unknown_affiliation,1789,2026-05-31T14:21:08+09:00,
中央:中央-12-5,中央,中央-12-5,祭壇,unknown,224,424,WUG,,unknown,unknown,unknown,,active,owned,2026/05/26 23:55,,safe_time_missing,2026/05/26 23:55,WUG,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1790,2026-05-31T14:21:08+09:00,
中央:中央-16-4,中央,中央-16-4,祭壇,unknown,174,224,JL2,,unknown,unknown,unknown,,active,owned,2026/05/26 23:55,,safe_time_missing,2026/05/26 23:55,JL2,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1791,2026-05-31T14:21:08+09:00,
中央:中央-4-14,中央,中央-4-14,祭壇,unknown,674,824,xjR,,unknown,unknown,unknown,,active,owned,2026/05/26 23:48,,safe_time_missing,2026/05/26 23:48,xjR,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1792,2026-05-31T14:21:08+09:00,
中央:中央-12-6,中央,中央-12-6,祭壇,unknown,274,424,2N7,511,alliance_directory,ally,attack_allowed,manual,active,owned,2026/05/26 23:38,,safe_time_missing,2026/05/26 23:38,2N7,0,medium,FALSE,FALSE,,1793,2026-05-31T14:21:08+09:00,
