node_id,area,coord,node_type_raw,node_type_norm,x,y,current_alliance,owner_server,owner_server_source,server_side,pact_status,pact_source,status_raw,status_norm,captured_at_jst,safe_until_jst,protection_status,last_event_at,last_event_owner,event_count,confidence,enemy_flag,destroyed_flag,warning_flags,source_row,updated_at_jst,memo
#440:b-10,#440,b-10,都市,city,449,149,WoW3,,unknown,unknown,unknown,,active,owned,2026/05/27 18:15,,safe_time_missing,2026/05/27 18:15,WoW3,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,1,2026-05-30T23:03:59+09:00,
#440:A-5,#440,A-5,漁場,fishery,199,20,WoW3,,unknown,unknown,unknown,,active,owned,2026/05/27 0:33,,safe_time_missing,2026/05/27 0:33,WoW3,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,4,2026-05-30T23:03:59+09:00,
#440:C-5,#440,C-5,漁場,fishery,199,199,DOLU,,unknown,unknown,unknown,,active,owned,2026/05/26 21:03,,safe_time_missing,2026/05/26 21:03,DOLU,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,5,2026-05-30T23:03:59+09:00,
#440:C-7,#440,C-7,漁場,fishery,299,199,DOLU,,unknown,unknown,unknown,,active,owned,2026/05/26 20:23,,safe_time_missing,2026/05/26 20:23,DOLU,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,6,2026-05-30T23:03:59+09:00,
#440:G-17,#440,G-17,漁場,fishery,799,599,TrX,,unknown,unknown,unknown,,active,owned,2026/05/26 19:56,,safe_time_missing,2026/05/26 19:56,TrX,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,7,2026-05-30T23:03:59+09:00,
#440:A-7,#440,A-7,漁場,fishery,299,20,WoW3,,unknown,unknown,unknown,,active,owned,2026/05/26 10:58,,safe_time_missing,2026/05/26 10:58,WoW3,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,8,2026-05-30T23:03:59+09:00,
#440:B-19,#440,B-19,漁場,fishery,899,99,ANH2,,unknown,unknown,unknown,,active,owned,2026/05/26 5:32,,safe_time_missing,2026/05/26 5:32,ANH2,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,9,2026-05-30T23:03:59+09:00,
#440:I-15,#440,I-15,漁場,fishery,699,799,IMp,,unknown,unknown,unknown,,active,owned,2026/05/26 4:30,,safe_time_missing,2026/05/26 4:30,IMp,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,10,2026-05-30T23:03:59+09:00,
#440:A-1,#440,A-1,漁場,fishery,20,20,nv8,,unknown,unknown,unknown,,active,owned,2026/05/25 3:42,,safe_time_missing,2026/05/25 3:42,nv8,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,14,2026-05-30T23:03:59+09:00,
#440:B-7,#440,B-7,漁場,fishery,299,99,WoW3,,unknown,unknown,unknown,,active,owned,2026/05/24 19:26,,safe_time_missing,2026/05/24 19:26,WoW3,0,medium,FALSE,FALSE,missing_owner_server;unknown_affiliation,16,2026-05-30T23:03:59+09:00,
