owner_alliance,inferred_server,directory_server,directory_match_type,node_count,area_counts,node_type_counts,sample_node_ids,sample_node_labels,current_affiliation,reason
,,,none,834,"{""#523"":145,""#440"":133,""#503"":118,""#480"":100,""#476"":95,""#511"":95,""中央"":78,""#509"":52,""#534"":18}","{""都市"":428,""漁場"":406}",#440:f-4;#440:e-4;#440:a-10;#440:A-11;#440:a-12;#440:A-13;#440:a-14;#440:A-15,f-4;e-4;a-10;A-11;a-12;A-13;a-14;A-15,unknown,owner_alliance_empty
WUG,,,none,20,"{""中央"":11,""#511"":5,""#523"":4}","{""漁場"":14,""都市"":4,""祭壇"":2}",#511:D-9;#511:D-7;#511:C-11;#511:G-7;#511:B-13;#523:h-12;#523:h-18;#523:g-12,D-9;D-7;C-11;G-7;B-13;h-12;h-18;g-12,unknown,missing_from_pacts
GcC,,,none,19,"{""中央"":6,""#440"":5,""#480"":5,""#476"":1,""#503"":1,""#523"":1}","{""漁場"":9,""交易地"":4,""都市"":3,""祭壇"":3}",#440:I-15;#440:e-14;#440:f-14;#440:j-10;#440:g-10;#476:j-14;#480:C-15;#480:a-10,I-15;e-14;f-14;j-10;g-10;j-14;C-15;a-10,unknown,missing_from_pacts
one,,,none,19,"{""#509"":6,""#503"":5,""#480"":4,""中央"":3,""#511"":1}","{""漁場"":11,""都市"":4,""交易地"":2,""祭壇"":2}",#480:I-9;#480:H-9;#480:J-9;#480:H-5;#503:b-12;#503:d-12;#503:e-2;#503:d-14,I-9;H-9;J-9;H-5;b-12;d-12;e-2;d-14,unknown,missing_from_pacts
EDFS,,,none,18,"{""#523"":12,""#511"":4,""中央"":2}","{""漁場"":14,""都市"":2,""祭壇"":2}",#511:C-9;#511:F-3;#511:G-3;#511:B-11;#523:C-5;#523:D-5;#523:G-19;#523:B-13,C-9;F-3;G-3;B-11;C-5;D-5;G-19;B-13,unknown,missing_from_pacts
NBNH,,,none,18,"{""#523"":7,""中央"":7,""#511"":4}","{""漁場"":10,""都市"":4,""祭壇"":3,""交易地"":1}",#511:I-3;#511:I-9;#511:E-11;#511:E-9;#523:g-18;#523:g-16;#523:G-17;#523:c-20,I-3;I-9;E-11;E-9;g-18;g-16;G-17;c-20,unknown,missing_from_pacts
TIKW,,,none,18,"{""#503"":7,""#480"":6,""中央"":4,""#509"":1}","{""漁場"":10,""都市"":4,""祭壇"":3,""交易地"":1}",#480:H-7;#480:B-17;#480:B-19;#480:C-19;#480:E-17;#480:F-17;#503:E-17;#503:i-2,H-7;B-17;B-19;C-19;E-17;F-17;E-17;i-2,unknown,missing_from_pacts
WbW,,,none,18,"{""#480"":8,""#511"":5,""中央"":4,""#440"":1}","{""漁場"":12,""都市"":4,""祭壇"":2}",#440:K-17;#480:D-13;#480:D-7;#480:C-7;#480:b-14;#480:d-8;#480:h-14;#480:i-14,K-17;D-13;D-7;C-7;b-14;d-8;h-14;i-14,unknown,missing_from_pacts
BHE,,,none,17,"{""#509"":13,""中央"":4}","{""都市"":8,""漁場"":7,""祭壇"":2}",#509:h-6;#509:F-3;#509:I-11;#509:a-2;#509:d-2;#509:f-2;#509:f-6;#509:g-4,h-6;F-3;I-11;a-2;d-2;f-2;f-6;g-4,unknown,missing_from_pacts
Bye,,,none,17,"{""#503"":13,""中央"":2,""#480"":1,""#509"":1}","{""漁場"":10,""都市"":5,""祭壇"":2}",#480:K-11;#503:A-5;#503:b-6;#503:b-8;#503:C-5;#503:B-5;#503:B-7;#503:B-9,K-11;A-5;b-6;b-8;C-5;B-5;B-7;B-9,unknown,missing_from_pacts
K4TR,,,none,17,"{""#523"":10,""#511"":6,""中央"":1}","{""漁場"":12,""都市"":4,""祭壇"":1}",#511:A-7;#511:B-5;#511:C-3;#511:A-11;#511:A-9;#511:B-9;#523:A-11;#523:b-6,A-7;B-5;C-3;A-11;A-9;B-9;A-11;b-6,unknown,missing_from_pacts
RGWC,,,none,17,"{""#534"":17}","{""漁場"":10,""都市"":7}",#534:d-6;#534:G-7;#534:H-5;#534:H-7;#534:c-4;#534:e-8;#534:C-5;#534:D-3,d-6;G-7;H-5;H-7;c-4;e-8;C-5;D-3,unknown,missing_from_pacts
